,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW
Hydro,0.041310214141177595,12,10000,2036,Breadalbane,60000
Hydro,0.041310214141177595,10,10000,2036,Shin,50000
Hydro,0.041310214141177595,10,10000,2036,Statkraft Energy Ltd,40000
Hydro,0.041310214141177595,8,10000,2036,Magnox North Ltd,30000
Hydro,0.041310214141177595,30,10000,2036,Scottish and Southern Hydro Schemes: Affric/Beauly,20000
Hydro,0.041310214141177595,3,10000,2036,Tummel,10000
Wind Onshore,0.043089398745687735,26,30000,2038,RES-Gen Ltd,30000
Wind Onshore,0.043089398745687735,26,30000,2038,HG Capital,120000
Wind Onshore,0.043089398745687735,9,30000,2038,Infinis Windfarm,150000
Wind Onshore,0.043089398745687735,24,30000,2038,Fenland Windfarms Ltd,180000
Wind Onshore,0.043089398745687735,14,30000,2038,Centrica,210000
Wind Onshore,0.043089398745687735,14,30000,2038,High Hedley Hope Wind Ltd,240000
Wind Onshore,0.043089398745687735,17,30000,2038,Cold Northcott Windfarm Ltd,270000
Wind Onshore,0.043089398745687735,21,30000,2038,Bares of Doune Windfarm,300000
Wind Onshore,0.043089398745687735,10,30000,2038,Dong Energy,90000
Wind Onshore,0.043089398745687735,5,30000,2038,GDF Suez,360000
Wind Onshore,0.043089398745687735,1,30000,2038,Cemmaes Windfarm Ldt,60000
Wind Onshore,0.043089398745687735,28,30000,2038,Statkraft Energy Ltd,420000
Wind Onshore,0.043089398745687735,3,30000,2038,Great Orton Windfarm Ltd,450000
Wind Onshore,0.043089398745687735,13,30000,2038,Fred Olsen,480000
Wind Onshore,0.043089398745687735,19,30000,2038,Beaufort Wind Ltd,510000
Wind Onshore,0.043089398745687735,12,30000,2038,Kirkheaton Wind Ltd,540000
Wind Onshore,0.043089398745687735,19,30000,2038,K/S Winscales,330000
Wind Onshore,0.043089398745687735,2,30000,2038,E.On UK,390000
Hydrogen,0.043987360644663534,8,500000,2037,EDF Energy,500000
Solar,0.05483662470397388,14,100000,2035,Distributed Generation,100000
Wind Offshore,0.05649316051834068,16,50000,2039,Yorkshire Windpower Ltd,50000
Wind Offshore,0.05649316051834068,20,50000,2039,High Hedley Hope Wind Ltd,100000
Wind Offshore,0.05649316051834068,27,50000,2039,Fred Olsen,150000
Wind Offshore,0.05649316051834068,7,50000,2039,GDF Suez,200000
Wind Offshore,0.05649316051834068,1,50000,2039,Bares of Doune Windfarm,250000
Wind Offshore,0.05649316051834068,30,50000,2039,Fenland Windfarms Ltd,300000
Wind Offshore,0.05649316051834068,11,50000,2039,K/S Winscales,350000
Wind Offshore,0.05649316051834068,11,50000,2039,E.On UK,1000000
Wind Offshore,0.05649316051834068,27,50000,2039,Cold Northcott Windfarm Ltd,450000
Wind Offshore,0.05649316051834068,27,50000,2039,Talisman Energy,950000
Wind Offshore,0.05649316051834068,19,50000,2039,Distributed Generation,550000
Wind Offshore,0.05649316051834068,12,50000,2039,HG Capital,600000
Wind Offshore,0.05649316051834068,28,50000,2039,EDF Energy Renewable,650000
Wind Offshore,0.05649316051834068,27,50000,2039,Npower Renewables Ltd,700000
Wind Offshore,0.05649316051834068,27,50000,2039,Llangwyryfon Windfarm Ltd,750000
Wind Offshore,0.05649316051834068,30,50000,2039,Centrica,800000
Wind Offshore,0.05649316051834068,16,50000,2039,Wind,850000
Wind Offshore,0.05649316051834068,28,50000,2039,Infinis Windfarm,900000
Wind Offshore,0.05649316051834068,8,50000,2039,Kirkheaton Wind Ltd,500000
Wind Offshore,0.05649316051834068,12,50000,2039,Cemmaes Windfarm Ldt,400000
Nuclear,0.08289071350208556,11,1000000,2042,British Energy,1000000
BECCS,0.10135253311953081,20,500000,2036,International Power/Mitsui,500000
