,Wind Onshore,Wind Offshore,Solar,Hydro
0,2593342.691873684,18207676.90877625,0.0,62481.0
1,2565529.8065526322,18305118.786055505,0.0,61596.0
2,2464803.151042106,18205317.686272502,0.0,58675.5
3,2453516.532489474,18075752.060546253,0.0,49560.0
4,2391267.802736842,17880013.237526998,0.0,48144.0
5,2310045.5703315786,17605430.87503725,0.0,46728.0
6,2093198.1712894752,17362648.915778253,34.15384615384615,48763.5
7,1920559.1480526326,17386291.4389605,0.0,76995.0
8,1720891.1156684202,16357773.418764751,46.96153846153846,66729.0
9,1663552.227805264,14791786.18981875,2787.8076923076924,90004.5
10,1633976.2072421056,14447093.003847,6630.115384615385,110271.0
11,1626039.4935473683,13971519.254936252,10971.923076923076,108589.5
12,1625653.9379684215,13016908.37057625,15838.846153846152,95668.5
13,1521549.763484211,9917548.666830003,12829.038461538461,96376.5
14,1653940.431426315,9649313.45117775,8973.923076923076,84871.5
15,1825922.7076263146,9324341.9282475,2155.9615384615386,89562.0
16,2080342.2373263142,10982449.01172825,8.538461538461538,128944.5
17,2181917.1151105277,14645900.013696,4.269230769230769,125670.0
18,2322106.1656578947,13770307.51473825,0.0,125935.5
19,2364032.9902736833,15233906.88217125,0.0,106996.5
20,2513354.497831578,16605225.920036249,0.0,87792.0
21,2434275.7460368415,16341067.2492585,0.0,71065.5
22,2290893.3574578934,16701161.24812275,0.0,55401.0
23,2194994.222510527,16952235.21581625,0.0,55755.0
24,2084982.9718421067,15946523.81154,0.0,55312.5
25,1767888.2566578942,15926145.877466999,0.0,55135.5
26,1470070.017868421,15323478.297371998,0.0,49383.0
27,1185606.8512105264,13755117.47502375,0.0,45400.5
28,1044651.118184211,13002470.407883253,0.0,44250.0
29,1064208.1644157898,11922329.725125747,0.0,43542.0
30,1115878.3432263162,12303958.515392251,0.0,43365.0
31,1366118.5025526322,11129417.795538,0.0,45312.0
32,1632484.5239684212,11503125.82558125,38.42307692307692,67702.5
33,1920797.7756947363,12471813.005022,392.7692307692308,97173.0
34,2259967.631857895,10982147.222859751,1502.7692307692307,90801.0
35,2398161.692794738,11668568.39941275,2877.4615384615386,84960.0
36,2717929.245978947,14176886.579950502,4089.9230769230767,82924.5
37,2660363.7139578946,15807847.036164751,4358.884615384615,77703.0
38,2685848.4167052642,16885429.69898925,1951.0384615384614,77791.5
39,2619876.21,17157822.894607503,234.8076923076923,84429.0
40,2134409.1129789473,14611601.469276,89.65384615384615,126466.5
41,2006756.871,15602898.86235675,29.884615384615383,128944.5
42,1866428.7078315795,15457704.88451175,0.0,124696.5
43,2017104.349105264,16003011.023244001,0.0,116997.0
44,2191108.186989474,16756721.536873499,0.0,91332.0
45,2419609.524426316,16930415.401593752,0.0,81951.0
46,2520095.2077,15521181.143186253,0.0,77703.0
47,2531831.727931578,15091630.196721753,0.0,80623.5
48,2567821.257142104,15052067.113151249,0.0,78145.5
49,2741543.7436578968,14827121.834080499,0.0,71685.0
50,2830764.9517736854,15137253.009159751,0.0,60003.0
51,2796895.978247367,14974960.0572495,0.0,58587.0
52,2746416.3325421056,15903047.053278003,0.0,55932.0
53,2640633.688736843,16817261.341954503,0.0,56994.0
54,2600110.494836841,16253052.68139525,0.0,60091.5
55,2549432.0796000008,16257234.612858748,0.0,56197.5
56,2587992.5871947366,17367113.47491225,140.8846153846154,71242.5
57,2691255.0521684214,17630548.810465496,5157.2307692307695,99474.0
58,2725106.0504684206,17543070.756146252,12081.923076923076,102660.0
59,2840436.6655736845,17773539.250540502,15241.153846153846,80269.5
60,2740063.262336842,17925533.058525752,17162.30769230769,80004.0
61,2788842.8163473685,18160571.498642996,13072.384615384615,75667.5
62,2791382.0124473684,18264403.63545525,6587.423076923077,76287.0
63,2586514.7109789485,18239170.732839,870.9230769230769,77791.5
64,2564220.480647368,18127911.236652,59.76923076923077,124785.0
65,2374300.4916473683,18264782.06911575,42.69230769230769,146644.5
66,2335736.3369052634,18225520.77441375,4.269230769230769,139210.5
67,2369979.143036842,18044873.789969254,0.0,103545.0
68,2390857.4986578934,18214598.891553752,0.0,89296.5
69,2349888.050226316,18145965.875467498,0.0,87172.5
70,2186090.2332315785,17882542.515662998,0.0,80269.5
71,1932079.4445473684,17587778.621379748,0.0,76110.0
72,1571161.1276052636,16979420.16547875,0.0,73632.0
73,1349320.00228421,16780464.65634525,0.0,71596.5
74,1043877.4019210527,15481934.219382752,0.0,63012.0
75,865824.9699473688,14009745.84494625,0.0,55578.0
76,820936.1406473689,10861606.521391498,0.0,54781.5
77,832119.0760105266,10147087.843121251,0.0,59029.5
78,965746.9084421054,8709138.134360999,0.0,58321.5
79,1042616.5309736844,6479881.2463454995,0.0,65401.5
80,1015611.4887947369,6339932.646453,546.4615384615385,76641.0
81,942712.5677052628,7061600.846727001,1536.923076923077,105403.5
82,1188916.1164263163,6011524.083631501,5614.038461538461,101067.0
83,1418503.782757895,7273811.114576999,8278.038461538461,76287.0
84,1475858.0407421053,12901054.97716875,9819.23076923077,75756.0
85,1497554.1389052626,15688678.755503252,11185.384615384615,67791.0
86,1495058.9690842098,15989157.477090001,7616.307692307692,66640.5
87,1487972.040726316,16544025.05362425,2313.9230769230767,70534.5
88,1545781.4105999996,16873231.201312497,4.269230769230769,129829.5
89,1590001.7698894741,17119490.9180085,0.0,145759.5
90,1536861.7906894735,17051205.198636,0.0,128590.5
91,1455992.2895368424,16806071.202322498,0.0,105403.5
92,1323108.9961894734,16810296.246481497,0.0,82128.0
93,1145987.3683263154,16932163.86091125,0.0,75048.0
