,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2,Curtailement,Loss of load
0,38080228.38944494,23576452.98528129,7351822.985281289,9619241.703591181,0,0.0,0.0
1,38450284.804367594,23894607.277794898,7669977.277794898,9844764.225780336,0,0.0,0.0
2,36941593.266605996,22518813.58843659,6294183.588436589,8869537.833627412,0,0.0,0.0
3,35605120.29117379,21287399.529411457,5062769.5294114575,7996654.421442561,0,0.0,0.0
4,34046613.46678799,19905829.905395225,3681199.9053952247,7017333.778849816,0,0.0,0.0
5,33949117.8343949,20052501.95963191,3827871.9596319087,7121301.735229682,0,0.0,0.0
6,35469195.723384894,21872581.370176405,5647951.370176405,8411458.45764132,0,0.0,0.0
7,35038649.31756142,21508290.531676225,5283660.531676225,8153232.211313215,0,0.0,0.0
8,36480446.04185624,23805791.977355767,7581161.977355767,9781807.820553891,0,0.0,0.0
9,40405890.62784351,28856895.074508928,12632265.074508928,13362264.024075728,0,0.0,0.0
10,44249495.8143767,32944446.771441422,16719816.771441422,16259710.294524388,0,0.0,0.0
11,47569328.844404,36603150.4639529,20378520.4639529,18853169.204536363,0,0.0,0.0
12,49683631.938125566,39398984.09246596,23174354.09246596,20834985.783347916,0,0.0,0.0
13,49761201.45586897,41739301.67950611,25514671.67950611,22493911.459890094,0,0.0,0.0
14,49314287.17015468,41415678.052416414,25191048.052416414,22264512.01962277,0,0.0,0.0
15,49642356.414922655,41875198.19800097,25650568.198000968,22590241.21664288,0,0.0,0.0
16,53851748.13466788,44731254.40636374,28506624.40636374,24614746.353867836,0,0.0,0.0
17,56109092.265696086,44332112.222349524,28107482.222349524,24331815.85703313,0,0.0,0.0
18,54125020.56414922,42885276.95073426,26660646.950734258,23306231.89565076,0,0.0,0.0
19,51486233.66696997,39196833.79636882,22972203.796368822,22181880.536047492,0,0.0,0.0
20,48104487.35213831,34767038.612487815,18542408.612487815,18542408.612487815,0,0.0,0.0
21,44752630.209281154,31661490.880344644,15436860.880344644,15436860.880344644,0,0.0,0.0
22,40714745.40491355,27464761.890492335,11240131.890492335,12375455.44009531,0,0.0,0.0
23,38150681.437670596,24779552.552401684,8554922.552401684,10472054.490362152,0,0.0,0.0
24,37824747.133757964,25232804.030244805,9008174.030244805,12658636.098003354,0,0.0,0.0
25,38050339.217470415,25662024.995196074,9437394.995196074,12984941.965181207,0,0.0,0.0
26,37411991.90172884,25632731.141326208,9408101.141326208,12962671.952366069,0,0.0,0.0
27,37377121.20109189,26882604.21522923,10657974.215229228,13912860.667608531,0,0.0,0.0
28,37116658.41674249,27240794.38622555,11016164.386225551,14185166.924538009,0,0.0,0.0
29,38147834.849863514,29026883.556367956,12802253.556367956,15543002.219434328,0,0.0,0.0
30,42468243.494085535,33045947.40504294,16821317.40504294,18598407.7598742,0,0.0,0.0
31,48525070.70063694,39785231.32103299,23560601.321032993,23721801.214372758,0,0.0,0.0
32,53179241.76524114,43999698.16209596,27775068.162095957,26817862.575076103,0,0.0,0.0
33,57182255.86897177,47122627.728923894,30897997.728923894,29096889.15904503,0,0.0,0.0
34,59135726.75159236,49933798.07552788,33709168.07552788,31148402.59054493,0,0.0,0.0
35,60083640.491355784,50315237.83016584,34090607.83016584,31426766.646601915,0,0.0,0.0
36,60923383.89444949,49185576.791322894,32960946.791322894,30602371.640789453,0,0.0,0.0
37,60677865.69608734,47821064.80232574,31596434.80232574,29606588.98526594,0,0.0,0.0
38,59744184.895359404,46110277.05632435,29885647.056324348,28358103.974883266,0,0.0,0.0
39,60181136.123748854,46390398.953962795,30165768.953962795,28562529.094889514,0,0.0,0.0
40,63498122.565969065,51773144.49920449,35548514.49920449,32490706.125409838,0,0.0,0.0
41,65647296.360327564,53293672.128702804,37069042.128702804,33600344.62833827,0,0.0,0.0
42,64157107.64331209,51993153.151417844,35768523.151417844,32871766.61342431,0,0.0,0.0
43,60561867.24294814,47926768.06484024,31702138.064840242,31679561.972269963,0,0.0,0.0
44,55904137.94358508,42648865.871882126,26424235.871882126,26424235.871882126,0,0.0,0.0
45,50136951.04640582,36628882.37994447,20404252.379944474,21322255.846278448,0,0.0,0.0
