,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW
Hydro,0.04131021414117759,12,10000,2045,Sloy/Awe,60000
Hydro,0.04131021414117759,6,10000,2045,Magnox North Ltd,50000
Hydro,0.04131021414117759,10,10000,2045,Shin,40000
Hydro,0.04131021414117759,30,10000,2045,Small Hydros,30000
Hydro,0.04131021414117759,12,10000,2045,Statkraft Energy Ltd,20000
Hydro,0.04131021414117759,30,10000,2045,Tummel,10000
Hydrogen,0.0415116568291775,22,500000,2046,EDF Energy,500000
Wind Onshore,0.042025612429878345,6,30000,2047,Fred Olsen,510000
Wind Onshore,0.042025612429878345,20,30000,2047,Infinis Windfarm,480000
Wind Onshore,0.042025612429878345,7,30000,2047,Wind,450000
Wind Onshore,0.042025612429878345,26,30000,2047,E.On UK,120000
Wind Onshore,0.042025612429878345,13,30000,2047,RES-Gen Ltd,390000
Wind Onshore,0.042025612429878345,15,30000,2047,HG Capital,360000
Wind Onshore,0.042025612429878345,2,30000,2047,Bares of Doune Windfarm,330000
Wind Onshore,0.042025612429878345,3,30000,2047,Centrica,300000
Wind Onshore,0.042025612429878345,30,30000,2047,Yorkshire Windpower Ltd,270000
Wind Onshore,0.042025612429878345,30,30000,2047,Great Orton Windfarm Ltd,240000
Wind Onshore,0.042025612429878345,26,30000,2047,Kirkheaton Wind Ltd,210000
Wind Onshore,0.042025612429878345,16,30000,2047,Beaufort Wind Ltd,180000
Wind Onshore,0.042025612429878345,24,30000,2047,EDF Energy Renewable,150000
Wind Onshore,0.042025612429878345,24,30000,2047,Cold Northcott Windfarm Ltd,540000
Wind Onshore,0.042025612429878345,10,30000,2047,Distributed Generation,420000
Wind Onshore,0.042025612429878345,2,30000,2047,Llangwyryfon Windfarm Ltd,90000
Wind Onshore,0.042025612429878345,19,30000,2047,K/S Winscales,30000
Wind Onshore,0.042025612429878345,26,30000,2047,Statkraft Energy Ltd,60000
Solar,0.05013822485493991,30,100000,2044,Distributed Generation,100000
Wind Offshore,0.05197884792838458,13,50000,2048,RES-Gen Ltd,900000
Wind Offshore,0.05197884792838458,10,50000,2048,GDF Suez,50000
Wind Offshore,0.05197884792838458,20,50000,2048,Talisman Energy,100000
Wind Offshore,0.05197884792838458,1,50000,2048,Kirkheaton Wind Ltd,150000
Wind Offshore,0.05197884792838458,28,50000,2048,Fred Olsen,200000
Wind Offshore,0.05197884792838458,19,50000,2048,Vattenfall Wind Power,250000
Wind Offshore,0.05197884792838458,7,50000,2048,K/S Winscales,300000
Wind Offshore,0.05197884792838458,26,50000,2048,Wind,350000
Wind Offshore,0.05197884792838458,16,50000,2048,Beaufort Wind Ltd,950000
Wind Offshore,0.05197884792838458,10,50000,2048,Npower Renewables Ltd,400000
Wind Offshore,0.05197884792838458,1,50000,2048,Centrica,500000
Wind Offshore,0.05197884792838458,8,50000,2048,Cemmaes Windfarm Ldt,550000
Wind Offshore,0.05197884792838458,7,50000,2048,Yorkshire Windpower Ltd,600000
Wind Offshore,0.05197884792838458,16,50000,2048,HG Capital,650000
Wind Offshore,0.05197884792838458,11,50000,2048,High Hedley Hope Wind Ltd,700000
Wind Offshore,0.05197884792838458,7,50000,2048,Llangwyryfon Windfarm Ltd,750000
Wind Offshore,0.05197884792838458,8,50000,2048,Cold Northcott Windfarm Ltd,800000
Wind Offshore,0.05197884792838458,13,50000,2048,Distributed Generation,850000
Wind Offshore,0.05197884792838458,1,50000,2048,Statkraft Energy Ltd,1000000
Wind Offshore,0.05197884792838458,15,50000,2048,E.On UK,450000
Nuclear,0.07918273109359762,5,1000000,2051,British Energy,1000000
BECCS,0.08375209313152779,22,500000,2045,International Power/Mitsui,500000
