,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW
BECCS,0.022520295006755217,13,500000,2021,Eggborough Power Ltd,500000
Hydro,0.041401582813000104,3,10000,2021,Magnox North Ltd,60000
Hydro,0.041401582813000104,3,10000,2021,Small Hydros,50000
Hydro,0.041401582813000104,12,10000,2021,Shin,40000
Hydro,0.041401582813000104,5,10000,2021,Breadalbane,30000
Hydro,0.041401582813000104,1,10000,2021,Tummel,20000
Hydro,0.041401582813000104,9,10000,2021,Scottish Power Hydro schemes: Galloway,10000
Hydrogen,0.04173778994449925,26,500000,2022,EDF Energy,500000
Wind Onshore,0.053206948031821924,7,30000,2023,Fenland Windfarms Ltd,30000
Wind Onshore,0.05320694803182193,6,30000,2023,Bares of Doune Windfarm,510000
Wind Onshore,0.05320694803182193,28,30000,2023,Centrica,480000
Wind Onshore,0.05320694803182193,14,30000,2023,HG Capital,450000
Wind Onshore,0.05320694803182193,1,30000,2023,Wind,120000
Wind Onshore,0.05320694803182193,14,30000,2023,Llangwyryfon Windfarm Ltd,390000
Wind Onshore,0.05320694803182193,5,30000,2023,K/S Winscales,360000
Wind Onshore,0.05320694803182193,20,30000,2023,Dong Energy,330000
Wind Onshore,0.05320694803182193,7,30000,2023,E.On UK,300000
Wind Onshore,0.05320694803182193,1,30000,2023,Fred Olsen,270000
Wind Onshore,0.05320694803182193,21,30000,2023,Great Orton Windfarm Ltd,240000
Wind Onshore,0.05320694803182193,16,30000,2023,GDF Suez,210000
Wind Onshore,0.05320694803182193,25,30000,2023,Kirkheaton Wind Ltd,180000
Wind Onshore,0.05320694803182193,23,30000,2023,Cemmaes Windfarm Ldt,150000
Wind Onshore,0.05320694803182193,24,30000,2023,RES-Gen Ltd,540000
Wind Onshore,0.05320694803182193,24,30000,2023,Cold Northcott Windfarm Ltd,420000
Wind Onshore,0.05320694803182193,4,30000,2023,Beaufort Wind Ltd,90000
Wind Onshore,0.05320694803182193,21,30000,2023,High Hedley Hope Wind Ltd,60000
Solar,0.07978606893711651,23,100000,2020,Distributed Generation,100000
Wind Offshore,0.08242145650055531,20,50000,2024,GDF Suez,50000
Wind Offshore,0.08242145650055531,7,50000,2024,EDF Energy Renewable,100000
Wind Offshore,0.08242145650055531,13,50000,2024,Beaufort Wind Ltd,150000
Wind Offshore,0.08242145650055531,15,50000,2024,Cemmaes Windfarm Ldt,200000
Wind Offshore,0.08242145650055531,10,50000,2024,HG Capital,250000
Wind Offshore,0.08242145650055531,15,50000,2024,K/S Winscales,300000
Wind Offshore,0.08242145650055531,26,50000,2024,Talisman Energy,350000
Wind Offshore,0.08242145650055531,15,50000,2024,Llangwyryfon Windfarm Ltd,400000
Wind Offshore,0.08242145650055531,8,50000,2024,RES-Gen Ltd,1000000
Wind Offshore,0.08242145650055531,26,50000,2024,Fenland Windfarms Ltd,550000
Wind Offshore,0.08242145650055531,28,50000,2024,High Hedley Hope Wind Ltd,600000
Wind Offshore,0.08242145650055531,1,50000,2024,Npower Renewables Ltd,650000
Wind Offshore,0.08242145650055531,28,50000,2024,Infinis Windfarm,700000
Wind Offshore,0.08242145650055531,11,50000,2024,Kirkheaton Wind Ltd,750000
Wind Offshore,0.08242145650055531,20,50000,2024,Centrica,800000
Wind Offshore,0.08242145650055531,15,50000,2024,Statkraft Energy Ltd,850000
Wind Offshore,0.08242145650055531,30,50000,2024,Vattenfall Wind Power,900000
Wind Offshore,0.08242145650055531,15,50000,2024,Distributed Generation,950000
Wind Offshore,0.08242145650055531,12,50000,2024,Wind,500000
Wind Offshore,0.08242145650055531,28,50000,2024,Fred Olsen,450000
Nuclear,0.09086803103080172,27,1000000,2027,British Energy,1000000
