,CCGT,OCGT,Coal,Nuclear,Wind Offshore,Wind Onshore,Solar,Hydro,Biomass,BECCS,Hydrogen,Battery
1,0.0,0.0,0,1000000,0.0,0.0,0.0,4000,0.0,0.0,0,2727272.7272727154
2,1764705.0,750000.0,0,0,0.0,0.0,0.0,0,0.0,2000000.0,0,545454.5454545431
3,470588.0,0.0,0,0,0.0,0.0,0.0,0,500000.0,0.0,0,545454.5454545431
4,1294117.0,500000.0,0,0,0.0,0.0,0.0,0,500000.0,0.0,0,1090909.0909090862
5,3176469.0,2500000.0,0,0,0.0,0.0,0.0,0,1000000.0,0.0,0,1636363.6363636293
6,1647058.0,500000.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,545454.5454545431
7,1176470.0,500000.0,0,0,0.0,0.0,0.0,0,500000.0,500000.0,0,545454.5454545431
8,1176470.0,1250000.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,545454.5454545431
9,1529411.0,750000.0,0,0,150000.0,0.0,0.0,0,500000.0,0.0,0,0.0
10,1176470.0,1000000.0,0,0,62100.0,2951000.0,0.0,0,0.0,0.0,0,1636363.6363636293
11,1294117.0,750000.0,0,0,367200.0,0.0,0.0,0,250000.0,0.0,0,1090909.0909090862
12,705882.0,750000.0,0,0,0.0,0.0,0.0,0,750000.0,500000.0,0,1090909.0909090862
13,823529.0,500000.0,0,500000,428571.0,0.0,0.0,0,250000.0,0.0,0,0.0
14,1294117.0,500000.0,0,500000,0.0,0.0,0.0,0,500000.0,0.0,0,545454.5454545431
15,1294117.0,1000000.0,0,500000,428571.0,0.0,0.0,0,500000.0,0.0,0,1090909.0909090862
16,1882352.0,500000.0,0,0,1567713.0,0.0,0.0,0,1000000.0,500000.0,0,545454.5454545431
17,1529411.0,1000000.0,0,500000,2142855.0,0.0,0.0,0,500000.0,500000.0,0,1090909.0909090862
18,1176470.0,500000.0,0,0,0.0,0.0,0.0,0,500000.0,0.0,0,1090909.0909090862
19,1294117.0,500000.0,0,0,2031284.0,0.0,0.0,0,0.0,500000.0,0,545454.5454545431
20,1647058.0,750000.0,0,2688000,2646855.0,0.0,0.0,0,750000.0,500000.0,0,1090909.0909090862
21,1411764.0,750000.0,0,0,0.0,0.0,111000.0,0,750000.0,0.0,0,1090909.0909090862
22,588235.0,500000.0,0,500000,0.0,0.0,0.0,0,250000.0,1000000.0,0,1090909.0909090862
23,1058823.0,1000000.0,0,0,0.0,0.0,0.0,0,250000.0,0.0,0,545454.5454545431
24,1999999.0,0.0,0,500000,0.0,0.0,0.0,0,250000.0,500000.0,0,0.0
25,1294117.0,1000000.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,2181818.1818181723
26,1176470.0,500000.0,0,500000,0.0,0.0,0.0,0,500000.0,1000000.0,0,545454.5454545431
27,1176470.0,250000.0,0,0,630000.0,0.0,0.0,0,0.0,0.0,0,1090909.0909090862
28,1764705.0,750000.0,0,0,0.0,0.0,0.0,0,250000.0,0.0,0,1636363.6363636293
29,941176.0,1750000.0,0,0,563200.0,0.0,0.0,0,0.0,0.0,0,545454.5454545431
30,1882352.0,1250000.0,0,0,0.0,0.0,0.0,0,500000.0,1000000.0,0,3272727.2727272585
