bidPrice,Capacity,indx,Type,ConstructionTime,DeRateCap,Battery,bidBus,STRIKEPriceGBP
0.0,250000,17.0,Biomass,2,220000.0,0,3,0.0
0.0,117647,14.0,CCGT,3,99999.95,0,8,0.0
0.0,250000,14.0,OCGT,2,230000.0,0,29,0.0
0.0,117647,46.0,CCGT,3,99999.95,0,19,0.0
0.0,117647,0.0,CCGT,3,99999.95,0,27,0.0
0.0,117647,47.0,CCGT,3,99999.95,0,2,0.0
0.0,117647,32.0,CCGT,3,99999.95,0,10,0.0
0.0,117647,20.0,CCGT,3,99999.95,0,12,0.0
0.0,117647,25.0,CCGT,3,99999.95,0,17,0.0
0.0,117647,43.0,CCGT,3,99999.95,0,17,0.0
0.0,250000,13.0,OCGT,2,230000.0,0,18,0.0
