,Nuclear,Biomass,BECCS,CCGT,OCGT
0,5822280.0,9680000.0,7040000.0,6285318.171872337,0.0
1,5822280.0,9680000.0,7040000.0,6516720.275961876,0.0
2,5822280.0,9680000.0,7040000.0,5546207.479818815,0.0
3,5822280.0,9680000.0,7040000.0,4673563.863491012,0.0
4,5822280.0,9680000.0,7040000.0,3689853.6204269496,0.0
5,5822280.0,9680000.0,7040000.0,3764591.4607949425,0.0
6,5822280.0,9680000.0,7040000.0,5009598.023115034,0.0
7,5822280.0,9680000.0,7040000.0,4758672.234620582,0.0
8,5822280.0,9680000.0,7040000.0,6258578.642446714,0.0
9,5822280.0,9680000.0,7040000.0,9629706.206290908,0.0
10,5822280.0,9680000.0,7040000.0,12448963.043075243,0.0
11,5822280.0,9680000.0,7040000.0,14954781.193427445,0.0
12,5822280.0,9680000.0,7040000.0,16810595.04818438,0.0
13,5822280.0,9680000.0,7040000.0,18137260.891685475,0.0
14,5822280.0,9680000.0,7040000.0,17884903.747089315,0.0
15,5822280.0,9680000.0,7040000.0,18174610.50406954,0.0
16,5822280.0,9680000.0,7040000.0,20334836.040094167,0.0
17,5822280.0,9680000.0,7040000.0,20418062.00363601,0.0
18,5822280.0,9680000.0,7040000.0,19322904.704105094,0.0
19,5822280.0,9680000.0,7040000.0,18238699.957587626,0.0
20,5822280.0,9680000.0,7040000.0,15069531.624061083,0.0
21,5822280.0,9680000.0,7040000.0,11884687.820225064,0.0
22,5822280.0,9680000.0,7040000.0,8847719.547792625,0.0
23,5822280.0,9680000.0,7040000.0,6998418.151325124,0.0
24,5822280.0,9680000.0,7040000.0,9058293.653066728,0.0
25,5822280.0,9680000.0,7040000.0,9381776.463714082,0.0
26,5822280.0,9680000.0,7040000.0,9292310.408995822,0.0
27,5822280.0,9680000.0,7040000.0,10074874.893771267,0.0
28,5822280.0,9680000.0,7040000.0,10266097.339178186,0.0
29,5822280.0,9680000.0,7040000.0,11512424.760976536,0.0
30,5822280.0,9680000.0,7040000.0,14620432.269249924,0.0
31,5822280.0,9680000.0,7040000.0,19637375.82177773,0.0
32,5822280.0,9680000.0,7040000.0,22799208.94045871,0.0
33,5822280.0,9680000.0,7040000.0,25189124.003662556,0.0
34,5822280.0,9680000.0,7040000.0,27094238.35559383,0.0
35,5822280.0,9680000.0,7040000.0,27444880.039078712,0.0
36,5822280.0,9680000.0,7040000.0,26879161.38621285,0.0
37,5822280.0,9680000.0,7040000.0,26048434.74345008,0.0
38,5822280.0,9680000.0,7040000.0,24907736.709826775,0.0
39,5822280.0,9680000.0,7040000.0,25141061.502184026,0.0
40,5822280.0,9680000.0,7040000.0,28818065.17909694,0.0
41,5822280.0,9680000.0,7040000.0,30033210.125893544,0.0
42,5822280.0,9680000.0,7040000.0,29131124.300308138,0.0
43,5822280.0,9680000.0,7040000.0,28151606.838192314,0.0
44,5822280.0,9680000.0,7040000.0,23070719.296018295,0.0
45,5822280.0,9680000.0,7040000.0,17863456.273726657,0.0
46,5822280.0,9680000.0,7040000.0,13688963.764347564,0.0
47,5822280.0,9680000.0,7040000.0,10271678.912313465,0.0
48,5822280.0,9680000.0,7040000.0,9459280.331394406,0.0
49,5822280.0,9680000.0,7040000.0,9112058.013364652,0.0
50,5822280.0,9680000.0,7040000.0,8761947.956207082,0.0
51,5822280.0,9680000.0,7040000.0,8443579.03261634,0.0
52,5822280.0,9680000.0,7040000.0,7903207.384794121,0.0
53,5822280.0,9680000.0,7040000.0,8158479.758417293,0.0
54,5822280.0,9680000.0,7040000.0,10253929.73913423,0.0
55,5822280.0,9680000.0,7040000.0,16481347.499291524,0.0
56,5822280.0,9680000.0,7040000.0,19591883.13965932,0.0
57,5822280.0,9680000.0,7040000.0,21445835.88602716,0.0
58,5822280.0,9680000.0,7040000.0,22221187.187180325,0.0
59,5822280.0,9680000.0,7040000.0,22429260.827514343,0.0
60,5822280.0,9680000.0,7040000.0,22815488.589758687,0.0
61,5822280.0,9680000.0,7040000.0,22336782.38784736,0.0
62,5822280.0,9680000.0,7040000.0,22257128.00421448,0.0
63,5822280.0,9680000.0,7040000.0,22827117.149445765,0.0
64,5822280.0,9680000.0,7040000.0,25649365.33598527,0.0
65,5822280.0,9680000.0,7040000.0,27670640.19928577,0.0
66,5822280.0,9680000.0,7040000.0,26808454.432194527,0.0
67,5822280.0,9680000.0,7040000.0,25029237.102930807,0.0
68,5822280.0,9680000.0,7040000.0,21960968.159410346,0.0
69,5822280.0,9680000.0,7040000.0,18138551.85608505,0.0
70,5822280.0,9680000.0,7040000.0,14158532.772179773,0.0
71,5822280.0,9680000.0,7040000.0,11679818.517498387,0.0
72,5822280.0,9680000.0,7040000.0,14017498.580691414,0.0
73,5822280.0,9680000.0,7040000.0,13736036.695157498,0.0
74,5822280.0,9680000.0,7040000.0,13771408.85250492,0.0
75,5822280.0,9680000.0,7040000.0,14092505.533900762,0.0
76,5822280.0,9680000.0,7040000.0,15235966.490049683,0.0
77,5822280.0,9680000.0,7040000.0,16749238.828248627,0.0
78,5822280.0,9680000.0,7040000.0,20660662.274298433,0.0
79,5822280.0,9680000.0,7040000.0,26721488.93754117,0.0
