,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,6,250000,212500.0,2049,False,Cory Energy Company Ltd,250000,212500.0
CCGT,0,5,250000,212500.0,2049,False,Corby Power Ltd,500000,425000.0
CCGT,0,14,250000,212500.0,2049,False,Baglan Generation Ltd,750000,637500.0
CCGT,0,3,250000,212500.0,2049,False,Centrica,1000000,850000.0
CCGT,0,19,250000,212500.0,2049,False,Barking Power,1250000,1062500.0
CCGT,0,2,250000,212500.0,2049,False,E.On UK,1500000,1275000.0
OCGT,0,9,500000,460000.0,2048,False,Citigen (London) UK Ltd,500000,1735000.0
OCGT,0,25,500000,460000.0,2048,False,Drax Power Ltd,1000000,2195000.0
Biomass,0,21,14000,12320.0,2048,False,Sembcorp Utilities (UK) Ltd,14000,2207320.0
Biomass,0,1,14000,12320.0,2048,False,EPR Ely Limited,28000,2219640.0
Biomass,0,21,14000,12320.0,2048,False,E.On UK,42000,2231960.0
CCGT,5.6839197160923485,23,250000,212500.0,2049,False,Derwent Cogeneration,1750000,2444460.0
CCGT,75,30,250000,212500.0,2049,False,EDF Energy,2000000,2656960.0
