,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,10,250000,212500.0,2034,False,Baglan Generation Ltd,250000,212500.0
CCGT,0,5,250000,212500.0,2034,False,Corby Power Ltd,500000,425000.0
CCGT,0,8,250000,212500.0,2034,False,Barking Power,750000,637500.0
CCGT,0,26,250000,212500.0,2034,False,Centrica,1000000,850000.0
OCGT,0,17,500000,460000.0,2033,False,Drax Power Ltd,500000,1310000.0
Biomass,0,19,14000,12320.0,2033,False,EPR Ely Limited,14000,1322320.0
Biomass,0,18,14000,12320.0,2033,False,E.On UK,28000,1334640.0
Biomass,0,9,14000,12320.0,2033,False,Sembcorp Utilities (UK) Ltd,42000,1346960.0
CCGT,28.046606888923407,26,250000,212500.0,2034,False,Cory Energy Company Ltd,1250000,1559460.0
CCGT,75,19,250000,212500.0,2034,False,Derwent Cogeneration,1500000,1771960.0
CCGT,75,14,250000,212500.0,2034,False,EDF Energy,1750000,1984460.0
OCGT,75,21,500000,460000.0,2033,False,Citigen (London) UK Ltd,1000000,2444460.0
CCGT,75,19,250000,212500.0,2034,False,E.On UK,2000000,2656960.0
