,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,25,250000,212500.0,2036,False,Baglan Generation Ltd,250000,212500.0
CCGT,0,21,250000,212500.0,2036,False,Cory Energy Company Ltd,500000,425000.0
CCGT,0,25,250000,212500.0,2036,False,Corby Power Ltd,750000,637500.0
CCGT,0,8,250000,212500.0,2036,False,Centrica,1000000,850000.0
CCGT,0,16,250000,212500.0,2036,False,Barking Power,1250000,1062500.0
OCGT,0,21,500000,460000.0,2035,False,Drax Power Ltd,500000,1522500.0
OCGT,0,30,500000,460000.0,2035,False,Citigen (London) UK Ltd,1000000,1982500.0
Hydrogen,0,15,500000,425000.0,2036,False,EDF Energy,500000,2407500.0
Biomass,0,14,14000,12320.0,2035,False,E.On UK,14000,2419820.0
Biomass,0,6,14000,12320.0,2035,False,EPR Ely Limited,28000,2432140.0
Biomass,0,12,14000,12320.0,2035,False,Sembcorp Utilities (UK) Ltd,42000,2444460.0
BECCS,0,30,500000,440000.0,2035,False,International Power/Mitsui,500000,2884460.0
CCGT,75,5,250000,212500.0,2036,False,Derwent Cogeneration,1500000,3096960.0
CCGT,75,16,250000,212500.0,2036,False,EDF Energy,1750000,3309460.0
CCGT,75,25,250000,212500.0,2036,False,E.On UK,2000000,3521960.0
