bidPrice,Capacity,indx,Type,ConstructionTime,DeRateCap,Battery,bidBus,STRIKEPriceGBP
0.0,117647,36.0,CCGT,3,99999.95,0,30,0.0
0.0,117647,10.0,CCGT,3,99999.95,0,17,0.0
0.0,117647,1.0,CCGT,3,99999.95,0,24,0.0
0.0,117647,32.0,CCGT,3,99999.95,0,28,0.0
0.0,117647,27.0,CCGT,3,99999.95,0,25,0.0
0.0,250000,27.0,OCGT,2,230000.0,0,18,0.0
0.0,117647,48.0,CCGT,3,99999.95,0,4,0.0
0.0,250000,49.0,OCGT,2,230000.0,0,13,0.0
0.0,250000,48.0,OCGT,2,230000.0,0,5,0.0
0.0,117647,21.0,CCGT,3,99999.95,0,11,0.0
0.0,117647,11.0,CCGT,3,99999.95,0,8,0.0
0.0,117647,18.0,CCGT,3,99999.95,0,14,0.0
