,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW
Hydrogen,0.04074822535191817,6,500000,2040,EDF Energy,500000
Hydro,0.041310214141177595,3,10000,2039,Conon,10000
Hydro,0.041310214141177595,6,10000,2039,Small Hydros,20000
Hydro,0.041310214141177595,12,10000,2039,Shin,60000
Hydro,0.041310214141177595,7,10000,2039,Scottish Power Hydro schemes: Galloway,40000
Hydro,0.041310214141177595,9,10000,2039,Breadalbane,50000
Hydro,0.041310214141177595,7,10000,2039,Npower Renewables Ltd,30000
Wind Onshore,0.042577824576304595,12,30000,2041,K/S Winscales,150000
Wind Onshore,0.042577824576304595,2,30000,2041,Great Orton Windfarm Ltd,180000
Wind Onshore,0.042577824576304595,3,30000,2041,Centrica,210000
Wind Onshore,0.042577824576304595,23,30000,2041,Fenland Windfarms Ltd,240000
Wind Onshore,0.042577824576304595,13,30000,2041,Dong Energy,270000
Wind Onshore,0.042577824576304595,9,30000,2041,Kirkheaton Wind Ltd,300000
Wind Onshore,0.042577824576304595,22,30000,2041,Distributed Generation,360000
Wind Onshore,0.042577824576304595,20,30000,2041,Wind,390000
Wind Onshore,0.042577824576304595,5,30000,2041,EDF Energy Renewable,120000
Wind Onshore,0.042577824576304595,16,30000,2041,Cold Northcott Windfarm Ltd,450000
Wind Onshore,0.042577824576304595,11,30000,2041,GDF Suez,480000
Wind Onshore,0.042577824576304595,7,30000,2041,Bares of Doune Windfarm,510000
Wind Onshore,0.042577824576304595,10,30000,2041,E.On UK,540000
Wind Onshore,0.042577824576304595,6,30000,2041,Llangwyryfon Windfarm Ltd,330000
Wind Onshore,0.042577824576304595,20,30000,2041,HG Capital,420000
Wind Onshore,0.042577824576304595,15,30000,2041,Yorkshire Windpower Ltd,90000
Wind Onshore,0.042577824576304595,12,30000,2041,Statkraft Energy Ltd,30000
Wind Onshore,0.042577824576304595,6,30000,2041,Infinis Windfarm,60000
Solar,0.05284873705814338,30,100000,2038,Distributed Generation,100000
Wind Offshore,0.05449618581792336,12,50000,2042,Distributed Generation,900000
Wind Offshore,0.05449618581792336,8,50000,2042,Npower Renewables Ltd,50000
Wind Offshore,0.05449618581792336,26,50000,2042,Vattenfall Wind Power,100000
Wind Offshore,0.05449618581792336,12,50000,2042,Llangwyryfon Windfarm Ltd,150000
Wind Offshore,0.05449618581792336,20,50000,2042,Infinis Windfarm,200000
Wind Offshore,0.05449618581792336,19,50000,2042,Talisman Energy,250000
Wind Offshore,0.05449618581792336,16,50000,2042,Kirkheaton Wind Ltd,300000
Wind Offshore,0.05449618581792336,30,50000,2042,E.On UK,350000
Wind Offshore,0.05449618581792336,13,50000,2042,Yorkshire Windpower Ltd,950000
Wind Offshore,0.05449618581792336,20,50000,2042,High Hedley Hope Wind Ltd,400000
Wind Offshore,0.05449618581792336,11,50000,2042,Beaufort Wind Ltd,500000
Wind Offshore,0.05449618581792336,13,50000,2042,HG Capital,550000
Wind Offshore,0.05449618581792336,28,50000,2042,K/S Winscales,600000
Wind Offshore,0.05449618581792336,20,50000,2042,Cold Northcott Windfarm Ltd,650000
Wind Offshore,0.05449618581792336,10,50000,2042,GDF Suez,700000
Wind Offshore,0.05449618581792336,13,50000,2042,Bares of Doune Windfarm,750000
Wind Offshore,0.05449618581792336,1,50000,2042,Centrica,800000
Wind Offshore,0.05449618581792336,20,50000,2042,EDF Energy Renewable,850000
Wind Offshore,0.05449618581792336,15,50000,2042,RES-Gen Ltd,1000000
Wind Offshore,0.05449618581792336,7,50000,2042,Fenland Windfarms Ltd,450000
Nuclear,0.08092299476053821,7,1000000,2045,British Energy,1000000
BECCS,0.08599892042824285,23,500000,2039,International Power/Mitsui,500000
