,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,21,250000,212500.0,2027,False,Rocksavage Power Co. Ltd,250000,212500.0
CCGT,0,21,250000,212500.0,2027,False,Baglan Generation Ltd,500000,425000.0
CCGT,0,9,250000,212500.0,2027,False,EDF Energy,750000,637500.0
CCGT,0,21,250000,212500.0,2027,False,Centrica,1000000,850000.0
CCGT,0,20,250000,212500.0,2027,False,Marchwood Power Limited,1250000,1062500.0
CCGT,0,28,250000,212500.0,2027,False,GDF Suez,1500000,1275000.0
CCGT,0,30,250000,212500.0,2027,False,International Power/Mitsui,1750000,1487500.0
CCGT,0,23,250000,212500.0,2027,False,Immingham CHP LLP,2000000,1700000.0
BECCS,0,17,500000,440000.0,2026,False,Drax Power Ltd,500000,2140000.0
Biomass,0,27,14000,12320.0,2026,False,E.On UK,14000,2152320.0
Biomass,0,2,14000,12320.0,2026,False,EPR Ely Limited,28000,2164640.0
Biomass,0,18,14000,12320.0,2026,False,Sembcorp Utilities (UK) Ltd,42000,2176960.0
OCGT,75,16,500000,460000.0,2026,False,Citigen (London) UK Ltd,500000,2636960.0
OCGT,75,23,500000,460000.0,2026,False,Drax Power Ltd,1000000,3096960.0
