,Nuclear,Biomass,BECCS,Hydrogen,CCGT,OCGT
0,8515530.0,7324433.876991998,1985976.390891301,0.0,0.0,0.0
1,8515530.0,7586810.955264419,1985976.390891301,0.0,0.0,0.0
2,8515530.0,6369367.056472514,1985976.390891301,0.0,0.0,0.0
3,8515530.0,5289964.051158331,1985976.390891301,0.0,0.0,0.0
4,8515530.0,4093604.778987389,1985976.390891301,0.0,0.0,0.0
5,8515530.0,4314840.764075257,1985976.390891301,0.0,0.0,0.0
6,8515530.0,6057553.95655188,1985976.390891301,0.0,0.0,0.0
7,8515530.0,5717478.2337923385,1985976.390891301,0.0,0.0,0.0
8,8515530.0,8135622.436820505,1985976.390891301,0.0,0.0,0.0
9,8515530.0,9680000.0,2200000.0,22.949999999999996,2319842.044613116,0.0
10,8515530.0,9680000.0,2200000.0,22.949999999999996,5067606.786204119,0.0
11,8515530.0,9680000.0,2200000.0,22.949999999999996,7567590.303679672,0.0
12,8515530.0,9680000.0,2200000.0,22.949999999999996,9608713.600597916,0.0
13,8515530.0,9680000.0,2200000.0,22.949999999999996,11817033.099560559,0.0
14,8515530.0,9680000.0,2200000.0,22.949999999999996,11661328.315945556,0.0
15,8515530.0,9680000.0,2200000.0,22.949999999999996,12025422.535465814,0.0
16,8515530.0,9680000.0,2200000.0,22.949999999999996,13517376.100955501,0.0
17,8515530.0,9680000.0,2200000.0,22.949999999999996,12459301.086720059,0.0
18,8515530.0,9680000.0,2200000.0,22.949999999999996,13056364.932598274,0.0
19,8515530.0,9680000.0,2200000.0,22.949999999999996,10573313.428969191,0.0
20,8515530.0,9680000.0,2200000.0,22.949999999999996,6121643.265611483,0.0
21,8515530.0,9680000.0,2200000.0,22.949999999999996,3797038.566786685,0.0
22,8515530.0,9680000.0,2200000.0,22.949999999999996,979568.2128979217,0.0
23,8515530.0,8822786.469433159,1985976.390891301,0.0,0.0,0.0
24,8515530.0,9544987.962113328,2200000.0,22.949999999999996,833351.7158765586,0.0
25,8515530.0,9680000.0,2200000.0,22.949999999999996,1052825.3338236464,0.0
26,8515530.0,9680000.0,2200000.0,22.949999999999996,1188646.216957015,0.0
27,8515530.0,9680000.0,2200000.0,22.949999999999996,2468932.1000376795,0.0
28,8515530.0,9680000.0,2200000.0,22.949999999999996,2910163.1405745195,0.0
29,8515530.0,9680000.0,2200000.0,22.949999999999996,4445448.25113806,0.0
30,8515530.0,9680000.0,2200000.0,22.949999999999996,7232961.276627585,0.0
31,8515530.0,9680000.0,2200000.0,22.949999999999996,12317435.285781337,0.0
32,8515530.0,9680000.0,2200000.0,22.949999999999996,15125705.964256069,0.0
33,8515530.0,9680000.0,2200000.0,22.949999999999996,17041512.196509268,0.0
34,8515530.0,9680000.0,2200000.0,22.949999999999996,19311072.95546148,0.0
35,8515530.0,9680000.0,2200000.0,22.949999999999996,19413664.042989485,0.0
36,8515530.0,9680000.0,2200000.0,22.949999999999996,18048375.545389846,0.0
37,8515530.0,9680000.0,2200000.0,22.949999999999996,16737311.445023535,0.0
