,Demand,Battery,Wind Onshore,Wind Offshore,Solar,Hydro,Hydrogen,Biomass,BECCS,Nuclear,CCGT,Coal,OCGT
0,38776491.355777994,-2117602.6671842076,3269381.65894737,23610340.834565606,0.0,619162.0,9900000.0,1377606.8622649945,1422200.0,0.0,2117602.6671842076,0.0,0.0
1,39153313.921747044,-2117602.6671842076,3234318.442105258,23736696.104688752,0.0,610392.0,9900000.0,1671907.374953039,1422200.0,0.0,2117602.6671842076,0.0,0.0
2,37617037.30664239,-2117602.6671842076,3107334.113684201,23607281.572931256,0.0,581451.0,9900000.0,420970.62002694234,1422200.0,0.0,2117602.6671842076,0.0,0.0
3,36256128.116469525,-2117602.6671842076,3093105.271578952,23439270.650990613,0.0,491120.0,9232632.193899963,0.0,1422200.0,0.0,2117602.6671842076,0.0,0.0
4,34669125.386715196,-2117602.6671842076,3014629.38947367,23185451.3225175,0.0,477088.0,7991956.67472402,0.0,1422200.0,0.0,2117602.6671842076,0.0,0.0
5,34569847.13375797,-2117602.6671842076,2912233.9452631585,22829393.64431812,0.0,463056.0,8365163.544176694,0.0,1422200.0,0.0,2117602.6671842076,0.0,0.0
6,36117718.28935395,-2117602.6671842076,2638858.2315789466,22514572.32827064,11954.153846153848,483227.0,9900000.0,569106.5756582282,1422200.0,0.0,2117602.6671842076,0.0,0.0
7,35679299.72702457,-2117602.6671842076,2421215.2421052726,22545230.16745124,0.0,762990.0,9900000.0,49864.31746804714,1422200.0,0.0,2117602.6671842076,0.0,0.0
8,37147458.4167425,-2117602.6671842076,2169497.2547368426,21211525.646386888,16436.961538461535,661258.0,9900000.0,3188740.5540803336,1422200.0,0.0,2117602.6671842076,0.0,0.0
9,41144676.25113741,-2117602.6671842076,2097211.1242105206,19180871.631421864,975757.8076923081,891909.0,9900000.0,8098926.687812701,1422200.0,0.0,2117602.6671842076,0.0,0.0
10,45058558.32575068,-1725020.4921563556,2059925.153684205,18733899.530317504,2320600.115384616,1092742.0,9900000.0,8360000.0,1772280.0,0.0,2544132.0185207035,0.0,0.0
11,48439091.537761614,-524803.6697406862,2049919.477894741,18117211.395965636,3840271.923076921,1076079.0,9900000.0,8360000.0,1772280.0,0.0,3848133.4105650242,0.0,0.0
12,50592052.775250226,345512.40669827163,2049433.414736846,16879344.06906563,5543738.846153844,948037.0,9900000.0,8360000.0,1772280.0,0.0,4793707.038595641,0.0,0.0
13,50671040.582347594,2874034.6307519507,1918191.107368413,12860328.390074996,4490279.03846154,955053.0,9900000.0,8360000.0,1772280.0,0.0,7540874.4156906735,0.0,0.0
14,50215954.86806187,3443979.6191954464,2085093.701052637,12512501.212719364,3140953.9230769216,841043.0,9900000.0,8360000.0,1772280.0,0.0,8160103.412017485,0.0,0.0
15,50550022.565969065,4823590.1880614795,2301908.741052629,12091102.675368749,754605.9615384617,887524.0,9900000.0,8360000.0,1772280.0,0.0,9659010.99994774,0.0,0.0
16,54836379.25386715,5866910.8206370585,2622650.9810526245,14241210.763145626,2988.538461538462,1277789.0,9900000.0,8360000.0,1772280.0,0.0,10792549.150570288,0.0,0.0
17,57134996.90627843,4646678.76215608,2750704.648421059,18991697.45184,1494.269230769231,1245340.0,9900000.0,8360000.0,1772280.0,0.0,9466801.774630528,0.0,0.0
18,55114648.22565968,1425144.4062388353,2927438.5263157818,17856295.201670613,0.0,1247971.0,9900000.0,8360000.0,1772280.0,0.0,11625519.091434445,0.0,0.0
19,52427613.46678801,0.0,2980294.93894736,19754180.36755311,0.0,1060293.0,9900000.0,8360000.0,1772280.0,0.0,8600565.160287509,0.0,0.0
20,48984034.94085534,-497247.1535948124,3168541.9452631604,21532403.368715636,0.0,869984.0,9900000.0,8360000.0,1772280.0,0.0,3878072.780471364,0.0,0.0
21,45570892.08371248,-1841696.6782976468,3068848.7494736775,21189862.346996237,0.0,704231.0,9900000.0,8360000.0,1772280.0,0.0,2417366.665540196,0.0,0.0
22,41459178.16196543,-2117602.6671842076,2888089.086315802,21656805.059581865,0.0,549002.0,9900000.0,6465282.016067766,1422200.0,0.0,2117602.6671842076,0.0,0.0
23,38848232.57506825,-2117602.6671842076,2767190.7284210483,21982378.826165617,0.0,552510.0,9900000.0,3646153.020481564,1422200.0,0.0,2117602.6671842076,0.0,0.0
24,38516338.85350319,-3384342.33040388,2628501.4736842145,20678248.202850007,0.0,548125.0,9900000.0,4761464.176968973,1422200.0,0.0,3384342.3304038774,0.0,0.0
25,38746055.68698819,-3384342.33040388,2228745.7263157833,20651823.636367492,0.0,546371.0,9900000.0,5419115.324304897,1422200.0,0.0,3384342.3304038774,0.0,0.0
26,38096036.76069155,-3384342.33040388,1853291.4947368475,19870329.816629976,0.0,489366.0,9900000.0,5983049.449324705,1422200.0,0.0,3384342.3304038774,0.0,0.0
27,38060528.48043676,-3384342.33040388,1494673.7684210564,17836597.90493438,0.0,449901.0,9900000.0,8360000.0,1422200.0,0.0,3384342.3304038774,0.0,0.0
28,37795303.36669699,-3384342.33040388,1316973.3473684166,16860622.00903311,0.0,438500.0,9900000.0,8360000.0,1569208.0102954395,0.0,3384342.3304038774,0.0,0.0
29,38845333.93994541,-2910859.2284882898,1341628.5726315817,15459977.116389379,0.0,431484.0,9900000.0,8360000.0,1772280.0,0.0,4490823.4794127345,0.0,0.0
30,43244737.39763422,-1759744.708867168,1406768.2610526355,15954844.520705635,0.0,429730.0,9900000.0,8360000.0,1772280.0,0.0,7180859.324743116,0.0,0.0
31,49412308.28025478,490922.1526140813,1722241.6421052706,14431788.786645,0.0,449024.0,9900000.0,8360000.0,1772280.0,0.0,12286051.69889044,0.0,0.0
32,54151576.70609647,1709452.6456973813,2058044.6147368383,14916385.147078115,13448.423076923073,670905.0,9900000.0,8360000.0,1772280.0,0.0,14751060.87550724,0.0,0.0
33,58227782.34758873,2384474.6919544972,2421516.0757894716,16172505.550754994,137472.7692307692,962946.0,9900000.0,8360000.0,1772280.0,0.0,16116587.259859031,0.0,0.0
34,60216970.700636975,3432437.006935958,2849101.566315794,14240819.42612438,525982.7692307691,899802.0,9900000.0,8360000.0,1772280.0,0.0,18236547.93203013,0.0,0.0
35,61182216.19654231,3259643.0112658404,3023320.3957894854,15130918.586806878,1007137.4615384617,841920.0,9900000.0,8360000.0,1772280.0,0.0,17886996.741141718,0.0,0.0
36,62037313.557779826,2199472.6598304156,3426445.743157888,18383516.23892624,1431509.9230769235,821749.0,9900000.0,8360000.0,1772280.0,0.0,15742339.992788395,0.0,0.0
37,61787306.278434955,1427131.5349077936,3353873.886315801,20498422.62988687,1525648.8846153843,770006.0,9900000.0,8360000.0,1772280.0,0.0,14179943.34270913,0.0,0.0
38,60836553.95814377,918249.6240904946,3386002.0042105336,21895750.47539815,682881.0384615384,770883.0,9900000.0,8360000.0,1772280.0,0.0,13150507.815983111,0.0,0.0
39,61281494.44949955,1153058.6968828514,3302832.0,22248969.407268725,82184.80769230772,836658.0,9900000.0,8360000.0,1772280.0,0.0,13625511.537655659,0.0,0.0
40,64659129.026387624,3444087.138419412,2690812.143157885,18947221.688789997,31379.65384615386,1253233.0,9900000.0,8360000.0,1772280.0,0.0,18260115.402174234,0.0,0.0
41,66847598.54413105,3794846.3392539583,2529883.1999999904,20232661.31056686,10459.88461538461,1277789.0,9900000.0,8360000.0,1772280.0,0.0,18969678.80969489,0.0,0.0
42,65330163.05732486,3431062.9955818243,2352973.945263152,20044384.72145438,0.0,1235693.0,9900000.0,8360000.0,1772280.0,0.0,18233768.395025555,0.0,0.0
43,61669186.89717926,521626.2582012359,2542928.084210525,20751496.55450998,0.0,1159394.0,9900000.0,8360000.0,1772280.0,0.0,16661462.00025754,0.0,0.0
44,56926295.17743403,0.0,2762291.6715789437,21728851.447533775,0.0,905064.0,9900000.0,8360000.0,1772280.0,0.0,11497808.058321342,0.0,0.0
45,51053660.418562345,-1824559.4302200982,3050359.3010526304,21954084.538359374,0.0,812102.0,9900000.0,8360000.0,1772280.0,0.0,7029394.009370429,0.0,0.0
46,44725215.28662421,-3198782.6500011445,3177039.8399999966,20126695.941590615,0.0,770006.0,9900000.0,8360000.0,1772280.0,0.0,3817976.155034727,0.0,0.0
47,39925075.52320292,-3384342.33040388,3191835.865263142,19569686.702979397,0.0,798947.0,9900000.0,6464605.954960391,1422200.0,0.0,3384342.3304038774,0.0,0.0
48,39096790.5368517,-3153156.310326859,3237207.233684203,19518384.283003107,0.0,774391.0,9900000.0,5666808.020164363,1422200.0,0.0,3153156.3103268566,0.0,0.0
49,38583732.120109186,-3153156.310326859,3456216.126315788,19226692.227251258,0.0,710370.0,9900000.0,5290453.76654214,1422200.0,0.0,3153156.3103268566,0.0,0.0
50,38322130.30027299,-3153156.310326859,3568695.738947354,19628846.92187437,0.0,594606.0,9900000.0,4629981.639451247,1422200.0,0.0,3153156.3103268566,0.0,0.0
51,37764143.03912648,-3153156.310326859,3525997.717894746,19418397.674073745,0.0,580574.0,9900000.0,4339173.647157993,1422200.0,0.0,3153156.3103268566,0.0,0.0
52,37517034.39490445,-3153156.310326859,3462358.913684197,20621870.824995004,0.0,554264.0,9900000.0,2978540.656225238,1422200.0,0.0,3153156.3103268566,0.0,0.0
53,38338072.7934486,-3153156.310326859,3329000.5894736717,21807354.896336228,0.0,564788.0,9900000.0,2736929.3076386675,1422200.0,0.0,3153156.3103268566,0.0,0.0
54,43028789.080982715,-2673377.7274137125,3277913.7094736756,21075731.700013123,0.0,595483.0,9900000.0,8179660.671495918,1422200.0,0.0,2673377.7274137116,0.0,0.0
55,50204360.32757053,0.0,3214024.320000006,21081154.513021853,0.0,556895.0,9900000.0,8360000.0,1772280.0,0.0,5320006.494548657,0.0,0.0
56,54624054.23111919,795238.0174975982,3262636.875789463,22520361.63150564,49310.88461538461,705985.0,9900000.0,8360000.0,1772280.0,0.0,7258241.821711113,0.0,0.0
57,57550951.04640584,1014099.8544032872,3392818.0547368377,22861964.686713744,1805077.2307692298,985748.0,9900000.0,8360000.0,1772280.0,0.0,7458963.219782721,0.0,0.0
58,58654606.36942675,345980.29820137564,3435493.4147368288,22748529.749990627,4228781.92307692,1017320.0,9900000.0,8360000.0,1772280.0,0.0,6846220.983420987,0.0,0.0
59,59148098.999090105,-81271.88691778202,3580888.6989473696,23047383.894401245,5334541.153846156,795439.0,9900000.0,8360000.0,1772280.0,0.0,6438838.1388131,0.0,0.0
60,59737971.24658781,-155987.08606976178,3454349.709473675,23244477.98988937,6006962.307692307,792808.0,9900000.0,8360000.0,1772280.0,0.0,6363080.325602212,0.0,0.0
61,59201723.74886262,130475.06012129504,3515845.2378947367,23549258.09490751,4575452.384615386,749835.0,9900000.0,8360000.0,1772280.0,0.0,6648577.971323692,0.0,0.0
62,59141577.0700637,1207962.2521223212,3519046.3578947415,23683899.771163125,2305657.423076923,755974.0,9900000.0,8360000.0,1772280.0,0.0,7636757.26580658,0.0,0.0
63,59826379.6178344,2752842.615835082,3260773.743157888,23651179.64799746,304830.92307692306,770883.0,9900000.0,8360000.0,1772280.0,0.0,9053589.687766997,0.0,0.0
64,63872149.590536855,4858284.236767793,3232667.7978947265,23506906.732830014,20919.76923076922,1236570.0,9900000.0,8360000.0,1772280.0,0.0,10984521.053813556,0.0,0.0
65,66783828.57142859,6299503.251973042,2993238.9978947467,23684390.49536437,14942.692307692314,1453189.0,9900000.0,8360000.0,1772280.0,0.0,12306284.133888755,0.0,0.0
66,65482341.40127389,5717982.210722815,2944621.844210533,23633479.41240937,1494.269230769231,1379521.0,9900000.0,8360000.0,1772280.0,0.0,11772962.664700417,0.0,0.0
67,62794581.98362148,4600806.41927542,2987791.1494736965,23399230.04084811,0.0,1026090.0,9900000.0,8360000.0,1772280.0,0.0,10748384.374024257,0.0,0.0
68,58444455.32302094,2276825.7830799427,3014112.126315788,23619316.73925937,0.0,884893.0,9900000.0,8360000.0,1772280.0,0.0,8617027.674365815,0.0,0.0
69,52841393.63057324,-520357.56979684904,2962462.6610526214,23530318.625418752,0.0,863845.0,9900000.0,8360000.0,1772280.0,0.0,5972844.913898702,0.0,0.0
70,47044123.38489536,-3021959.016256268,2755965.625263168,23188731.099457495,0.0,795439.0,9900000.0,8360000.0,1772280.0,0.0,3293666.676430967,0.0,0.0
71,43270100.45495906,-3153156.310326859,2435738.677894737,22806503.534424376,0.0,754220.0,9900000.0,7373638.242639948,1422200.0,0.0,3153156.3103268566,0.0,0.0
72,43607066.78798908,-4596412.767737844,1980735.2842105227,22017630.216571882,0.0,729664.0,9900000.0,8360000.0,1422200.0,0.0,4596412.767737839,0.0,0.0
73,42964294.449499555,-4596412.767737844,1701064.0673684292,21759639.732388105,0.0,709493.0,9900000.0,8360000.0,1422200.0,0.0,4596412.767737839,0.0,0.0
74,42074413.466787994,-4588602.943997758,1315997.936842106,20075803.493731864,0.0,624424.0,9900000.0,8360000.0,1772280.0,0.0,4614510.980211769,0.0,0.0
75,41560630.391264796,-4078145.027337484,1091530.3578947377,18166780.75199062,0.0,550756.0,9900000.0,8360000.0,1772280.0,0.0,5797428.308716919,0.0,0.0
76,41311347.77070063,-2903275.724652484,1034939.7978947316,14084511.344628764,0.0,542863.0,9900000.0,8360000.0,1772280.0,0.0,8520029.352829615,0.0,0.0
77,43022991.810737036,-2124952.036707977,1049037.9284210524,13157977.464928119,0.0,584959.0,9900000.0,8360000.0,1772280.0,0.0,10323689.454095831,0.0,0.0
78,47739071.155595995,-148330.13607978635,1217500.1936842154,11293352.840002505,0.0,577943.0,9900000.0,8360000.0,1772280.0,0.0,14766325.257989107,0.0,0.0
79,55164649.68152866,3289579.5266856067,1314408.3789473637,8402620.804413753,0.0,648103.0,9900000.0,8360000.0,1772280.0,0.0,21477657.971482016,0.0,0.0
80,58749536.66969974,4498161.872758094,1280363.5957894707,8221146.025432496,191266.46153846156,759482.0,9900000.0,8360000.0,1772280.0,0.0,23766836.71418131,0.0,0.0
81,60443064.2402184,4573463.167972378,1188461.204210524,9156950.865517499,537936.9230769232,1044507.0,9900000.0,8360000.0,1772280.0,0.0,23909465.079441175,0.0,0.0
82,60645968.69881713,4528587.809871174,1498845.7010526361,7795290.594228755,1964964.0384615397,1001534.0,9900000.0,8360000.0,1772280.0,0.0,23824466.555203125,0.0,0.0
83,61324973.976342134,3860285.823608253,1788282.8463157935,9432129.120142508,2897388.03846154,755974.0,9900000.0,8360000.0,1772280.0,0.0,22558634.147814132,0.0,0.0
84,61613388.17106461,1229057.0615636557,1860588.353684214,16729114.134796886,3436819.230769232,750712.0,9900000.0,8360000.0,1772280.0,0.0,17574817.390250687,0.0,0.0
85,61533675.705186546,-170371.70316291042,1887940.2442105324,20343894.200083107,3914985.384615386,671782.0,9900000.0,8360000.0,1772280.0,0.0,14853165.579440456,0.0,0.0
86,60770610.009099185,-136895.774278054,1884794.6273684113,20733532.32172499,2665776.307692307,660381.0,9900000.0,8360000.0,1772280.0,0.0,14930741.526591558,0.0,0.0
87,61197434.03093721,373356.0690747332,1875860.26105264,21453042.70548563,809893.9230769234,698969.0,9900000.0,8360000.0,1772280.0,0.0,15954032.072247338,0.0,0.0
88,65033777.61601457,1602540.039958749,1948739.5199999916,21879932.38453124,1494.269230769231,1286559.0,9900000.0,8360000.0,1772280.0,0.0,18282232.402293865,0.0,0.0
89,67892556.50591448,2406704.5037434995,2004487.351578952,22199263.393871255,0.0,1444419.0,9900000.0,8360000.0,1772280.0,0.0,19805402.25672085,0.0,0.0
90,66751218.92629665,2124869.566189792,1937494.711578942,22110715.62819001,0.0,1274281.0,9900000.0,8360000.0,1772280.0,0.0,19271578.020337973,0.0,0.0
91,64075054.0491356,1424628.6752319857,1835543.9494736781,21792844.368056245,0.0,1044507.0,9900000.0,8360000.0,1772280.0,0.0,17945250.056373738,0.0,0.0
92,59816234.39490446,88765.88334210031,1668020.3115789418,21798323.086353734,0.0,813856.0,9900000.0,8360000.0,1772280.0,0.0,15414989.113629691,0.0,0.0
93,54477673.15741584,-1491352.2586749997,1444726.1810526347,21956351.808403123,0.0,743696.0,9900000.0,8360000.0,1772280.0,0.0,11791971.426635087,0.0,0.0
94,48860842.948134676,-2314044.840858834,1110403.4021052609,19548597.985723108,0.0,598114.0,9900000.0,8360000.0,1772280.0,0.0,9885492.401165115,0.0,0.0
95,44619415.10464059,-2795925.267265333,972601.2126315755,17040037.609878752,0.0,601622.0,9900000.0,8360000.0,1772280.0,0.0,8768799.549395574,0.0,0.0
96,44621589.080982715,-4839285.145070417,896108.336842109,13987031.156144995,0.0,584959.0,9900000.0,8360000.0,1772280.0,0.0,13960495.733066045,0.0,0.0
97,43996208.553230226,-4134139.613413863,899657.254736844,11011087.037103746,0.0,518307.0,9900000.0,8360000.0,1772280.0,0.0,15669016.87480353,0.0,0.0
98,42702692.62966333,-3996972.7381137926,812727.1578947348,9370068.037931247,0.0,483227.0,9900000.0,8360000.0,1772280.0,0.0,16001363.171951178,0.0,0.0
99,41697590.90081894,-4196495.984986654,797506.4842105265,9070157.904733125,0.0,476211.0,9900000.0,8360000.0,1772280.0,0.0,15517931.496861976,0.0,0.0
100,41085978.889899924,-3821965.7011401765,832592.3621052612,7151991.542431879,0.0,465687.0,9900000.0,8360000.0,1772280.0,0.0,16425393.686503006,0.0,0.0
101,42554137.57961784,-2133687.699416226,839646.8463157868,7124688.020576244,0.0,519184.0,9900000.0,8360000.0,1772280.0,0.0,16172026.412142068,0.0,0.0
102,47644865.51410374,0.0,844941.9789473708,7840148.376751877,0.0,568296.0,9900000.0,8360000.0,1772280.0,0.0,18359199.158404555,0.0,0.0
103,55475528.298453145,49696.743384830654,873401.9621052667,8080777.162929387,0.0,655996.0,9900000.0,8360000.0,1772280.0,0.0,25783376.430033784,0.0,0.0
