,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,25,250000,212500.0,2046,False,Baglan Generation Ltd,250000,212500.0
CCGT,0,12,250000,212500.0,2046,False,Corby Power Ltd,500000,425000.0
CCGT,0,16,250000,212500.0,2046,False,E.On UK,750000,637500.0
CCGT,0,23,250000,212500.0,2046,False,Barking Power,1000000,850000.0
CCGT,0,22,250000,212500.0,2046,False,Centrica,1250000,1062500.0
CCGT,0,21,250000,212500.0,2046,False,Cory Energy Company Ltd,1500000,1275000.0
OCGT,0,4,500000,460000.0,2045,False,Drax Power Ltd,500000,1735000.0
OCGT,0,22,500000,460000.0,2045,False,Citigen (London) UK Ltd,1000000,2195000.0
Biomass,0,12,14000,12320.0,2045,False,EPR Ely Limited,14000,2207320.0
Biomass,0,25,14000,12320.0,2045,False,E.On UK,28000,2219640.0
Biomass,0,23,14000,12320.0,2045,False,Sembcorp Utilities (UK) Ltd,42000,2231960.0
CCGT,75,18,250000,212500.0,2046,False,Derwent Cogeneration,1750000,2444460.0
CCGT,75,10,250000,212500.0,2046,False,EDF Energy,2000000,2656960.0
