bidPrice,Capacity,indx,Type,ConstructionTime,DeRateCap,Battery,bidBus,STRIKEPriceGBP
0.0,250000,35.0,OCGT,2,230000.0,0,20,0.0
0.0,250000,54.0,OCGT,2,230000.0,0,3,0.0
0.0,250000,54.0,Biomass,2,220000.0,0,21,0.0
0.0,117647,55.0,CCGT,3,99999.95,0,27,0.0
0.0,117647,53.0,CCGT,3,99999.95,0,27,0.0
0.0,250000,18.0,OCGT,2,230000.0,0,21,0.0
0.0,117647,18.0,CCGT,3,99999.95,0,27,0.0
0.0,250000,48.0,OCGT,2,230000.0,0,28,0.0
0.0,250000,18.0,Biomass,2,220000.0,0,7,0.0
0.0,250000,21.0,OCGT,2,230000.0,0,25,0.0
0.0,117647,21.0,CCGT,3,99999.95,0,27,0.0
0.0,250000,13.0,OCGT,2,230000.0,0,17,0.0
0.0,250000,37.0,OCGT,2,230000.0,0,11,0.0
0.0,117647,37.0,CCGT,3,99999.95,0,5,0.0
0.0,117647,6.0,CCGT,3,99999.95,0,30,0.0
0.0,117647,0.0,CCGT,3,99999.95,0,11,0.0
0.0,117647,32.0,CCGT,3,99999.95,0,26,0.0
0.0,117647,48.0,CCGT,3,99999.95,0,11,0.0
0.0,117647,14.0,CCGT,3,99999.95,0,4,0.0
0.0,117647,36.0,CCGT,3,99999.95,0,23,0.0
0.0,250000,33.0,OCGT,2,230000.0,0,27,0.0
0.0,250000,17.0,Biomass,2,220000.0,0,9,0.0
0.0,250000,49.0,OCGT,2,230000.0,0,9,0.0
0.0,250000,27.0,OCGT,2,230000.0,0,13,0.0
0.0,117647,27.0,CCGT,3,99999.95,0,12,0.0
0.0,250000,14.0,OCGT,2,230000.0,0,5,0.0
0.0,250000,59.0,OCGT,2,230000.0,0,21,0.0
