,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,4,250000,212500.0,2033,False,Centrica,250000,212500.0
CCGT,0,19,250000,212500.0,2033,False,Corby Power Ltd,500000,425000.0
CCGT,0,12,250000,212500.0,2033,False,Baglan Generation Ltd,750000,637500.0
CCGT,0,15,250000,212500.0,2033,False,Barking Power,1000000,850000.0
Hydrogen,0,4,500000,425000.0,2033,False,EDF Energy,500000,1275000.0
Biomass,0,2,14000,12320.0,2032,False,E.On UK,14000,1287320.0
Biomass,0,8,14000,12320.0,2032,False,Sembcorp Utilities (UK) Ltd,28000,1299640.0
Biomass,0,23,14000,12320.0,2032,False,EPR Ely Limited,42000,1311960.0
BECCS,0,28,500000,440000.0,2032,False,International Power/Mitsui,500000,1751960.0
CCGT,75,1,250000,212500.0,2033,False,Cory Energy Company Ltd,1250000,1964460.0
CCGT,75,28,250000,212500.0,2033,False,Derwent Cogeneration,1500000,2176960.0
CCGT,75,11,250000,212500.0,2033,False,EDF Energy,1750000,2389460.0
OCGT,75,5,500000,460000.0,2032,False,Citigen (London) UK Ltd,500000,2849460.0
OCGT,75,24,500000,460000.0,2032,False,Drax Power Ltd,1000000,3309460.0
CCGT,75,15,250000,212500.0,2033,False,E.On UK,2000000,3521960.0
