,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,1,250000,212500.0,2020,False,Rocksavage Power Co. Ltd,250000,212500.0
CCGT,0,14,250000,212500.0,2020,False,GDF Suez,500000,425000.0
CCGT,0,26,250000,212500.0,2020,False,E.On UK,750000,637500.0
CCGT,0,7,250000,212500.0,2020,False,Centrica,1000000,850000.0
CCGT,0,23,250000,212500.0,2020,False,Baglan Generation Ltd,1250000,1062500.0
CCGT,0,7,250000,212500.0,2020,False,RWE Npower Plc,1500000,1275000.0
CCGT,0,4,250000,212500.0,2020,False,Corby Power Ltd,1750000,1487500.0
CCGT,0,10,250000,212500.0,2020,False,Barking Power,2000000,1700000.0
Hydrogen,0,24,500000,425000.0,2020,False,EDF Energy,500000,2125000.0
Biomass,0,20,14000,12320.0,2019,False,E.On UK,14000,2137320.0
Biomass,0,28,14000,12320.0,2019,False,EPR Ely Limited,28000,2149640.0
Biomass,0,17,14000,12320.0,2019,False,Sembcorp Utilities (UK) Ltd,42000,2161960.0
BECCS,0,30,500000,440000.0,2019,False,International Power/Mitsui,500000,2601960.0
OCGT,75,1,500000,460000.0,2019,False,Citigen (London) UK Ltd,500000,3061960.0
OCGT,75,21,500000,460000.0,2019,False,Drax Power Ltd,1000000,3521960.0
