,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2,Curtailement,Loss of load
0,32295889.899909012,21948168.33396164,13623498.33396164,13623498.33396164,0.0,0.0,0.0
1,32609735.213830758,22351425.62992549,14026755.62992549,14026755.62992549,0.0,0.0,0.0
2,31330212.01091901,21429449.9412348,13104779.941234801,13104779.941234801,0.0,0.0,0.0
3,30196747.588717017,20416173.243138067,12091503.243138067,12091503.243138067,0.0,0.0,0.0
4,28874975.978161965,19322904.65348828,10998234.653488278,10998234.653488278,0.0,0.0,0.0
5,28792289.8089172,19536423.71805404,11211753.718054041,11211753.718054041,0.0,0.0,0.0
6,30081469.79071883,21530510.609632194,13205840.609632194,13205840.609632194,0.0,0.0,0.0
7,29716322.838944487,21495380.852039225,13170710.852039225,13170710.852039225,0.0,0.0,0.0
8,30939112.465878073,23528917.004618157,15204247.004618157,15204247.004618157,0.0,0.0,0.0
9,34268286.988171056,26973412.209345143,18648742.209345143,18648742.209345143,0.0,0.0,0.0
10,37528053.4121929,30182549.502077926,21857879.502077926,21857879.502077926,0.0,0.0,0.0
11,40343608.00727934,33063007.842538446,24738337.842538446,24738337.842538446,0.0,0.0,0.0
12,42136751.13739764,35023680.61796849,26699010.617968492,26699010.617968492,0.0,0.0,0.0
13,42202537.94358508,35675888.11513974,27351218.115139738,27351218.115139738,0.0,0.0,0.0
14,41823509.3721565,34992942.24885772,26668272.24885772,26668272.24885772,0.0,0.0,0.0
15,42101745.31392174,34721600.53494603,26396930.534946032,26396930.534946032,0.0,0.0,0.0
16,45671735.75978162,37025118.61345206,28700448.613452062,28700448.613452062,0.0,0.0,0.0
17,47586192.17470427,38345546.990144745,30020876.990144745,30020876.990144745,0.0,0.0,0.0
18,45903498.45313922,36276534.823623426,27951864.823623426,27951864.823623426,0.0,0.0,0.0
19,43665539.94540492,33938733.727457546,25614063.727457546,25614063.727457546,0.0,0.0,0.0
20,40797476.61510462,30632609.446841463,22307939.446841463,22307939.446841463,0.0,0.0,0.0
21,37954762.32939036,28201507.235316683,19876837.235316683,19876837.235316683,0.0,0.0,0.0
22,34530227.11555959,25338551.158843808,17013881.158843808,17013881.158843808,0.0,0.0,0.0
23,32355641.219290264,23451617.584869213,15126947.584869213,15126947.584869213,0.0,0.0,0.0
24,32079215.92356687,23614953.395882666,15290283.395882666,15290283.395882666,0.0,0.0,0.0
25,32270540.855323017,24835940.274807226,16511270.274807226,16511270.274807226,0.0,0.0,0.0
26,31729157.688808016,25353003.261871174,17028333.261871174,17028333.261871174,0.0,0.0,0.0
27,31699583.80345768,26401244.992036633,18076574.992036633,18076574.992036633,0.0,0.0,0.0
28,31478684.986351226,26705849.983782806,18381179.983782806,18381179.983782806,0.0,0.0,0.0
29,32353227.02456778,27608725.598736197,19284055.598736197,19284055.598736197,0.0,0.0,0.0
30,36017371.06460418,31076638.759951547,22751968.759951547,22751968.759951547,0.0,0.0,0.0
31,41154173.88535031,35481074.55944505,27156404.559445053,27156404.559445053,0.0,0.0,0.0
32,45101382.25659691,38355921.903013915,30031251.903013915,30031251.903013915,0.0,0.0,0.0
33,48496343.58507734,40502274.4105494,32177604.410549402,32177604.410549402,0.0,0.0,0.0
34,50153084.71337579,41227627.26392154,32902957.263921537,32902957.263921537,0.0,0.0,0.0
35,50957011.55595996,41572657.87884741,33247987.878847413,33247987.878847413,0.0,0.0,0.0
36,51669198.99909006,41062948.76328601,32738278.76328601,32738278.76328601,0.0,0.0,0.0
37,51460974.70427662,40952563.592591606,32627893.592591606,32627893.592591606,0.0,0.0,0.0
38,50669118.83530482,39998482.20221737,31673812.20221737,31673812.20221737,0.0,0.0,0.0
