,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW,Cumulative_capacity_kW
Nuclear,0.08092299476053821,7,1000000,2045,British Energy,1000000,1000000
BECCS,0.08599892042824285,23,500000,2039,International Power/Mitsui,500000,1500000
