,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,9,250000,212500.0,2037,False,Corby Power Ltd,250000,212500.0
CCGT,0,13,250000,212500.0,2037,False,Centrica,500000,425000.0
CCGT,0,1,250000,212500.0,2037,False,Barking Power,750000,637500.0
CCGT,0,18,250000,212500.0,2037,False,Baglan Generation Ltd,1000000,850000.0
OCGT,0,13,500000,460000.0,2036,False,Citigen (London) UK Ltd,500000,1310000.0
OCGT,0,1,500000,460000.0,2036,False,Drax Power Ltd,1000000,1770000.0
Biomass,0,4,14000,12320.0,2036,False,EPR Ely Limited,14000,1782320.0
Biomass,0,27,14000,12320.0,2036,False,Sembcorp Utilities (UK) Ltd,28000,1794640.0
Biomass,0,27,14000,12320.0,2036,False,E.On UK,42000,1806960.0
CCGT,48.08231510609222,28,250000,212500.0,2037,False,Cory Energy Company Ltd,1250000,2019460.0
CCGT,75,25,250000,212500.0,2037,False,Derwent Cogeneration,1500000,2231960.0
CCGT,75,28,250000,212500.0,2037,False,EDF Energy,1750000,2444460.0
CCGT,75,4,250000,212500.0,2037,False,E.On UK,2000000,2656960.0
