,GB Electricity Demand,Demand - Renewables,Demand - Renewables - Battery,Peak: 61.76 GW,Peak - Renewables: 50.09 GW,Peak - Renewables - Battery: 50.09 GW,Battery Charge/Discharge
0,33045711.555959966,20062153.21331523,20062153.21331523,61761700.0,50091448.79986657,50091448.79986657,0.0
1,33366843.49408553,20414849.348175004,20414849.348175004,61761700.0,50091448.79986657,50091448.79986657,0.0
2,32057613.284804363,19249328.471935943,19249328.471935943,61761700.0,50091448.79986657,50091448.79986657,0.0
3,30897832.939035483,18184640.537127588,18184640.537127588,61761700.0,50091448.79986657,50091448.79986657,0.0
4,29545373.430391263,16927248.217643894,16927248.217643894,61761700.0,50091448.79986657,50091448.79986657,0.0
5,29460767.515923575,16964556.47124726,16964556.47124726,61761700.0,50091448.79986657,50091448.79986657,0.0
6,30779878.70791629,18528011.19536224,18528011.19536224,61761700.0,50091448.79986657,50091448.79986657,0.0
7,30406254.04913558,18119702.816225056,18119702.816225056,61761700.0,50091448.79986657,50091448.79986657,0.0
8,31657433.48498635,19749867.589324202,19749867.589324202,61761700.0,50091448.79986657,50091448.79986657,0.0
9,35063902.27479528,23140406.91843192,23140406.91843192,61761700.0,50091448.79986657,50091448.79986657,0.0
10,38399351.50136488,26366339.508811846,26366339.508811846,61761700.0,50091448.79986657,50091448.79986657,0.0
11,41280275.5232029,29298659.531586505,29298659.531586505,61761700.0,50091448.79986657,50091448.79986657,0.0
12,43115050.50045496,31299771.57607743,31299771.57607743,61761700.0,50091448.79986657,50091448.79986657,0.0
13,43182364.69517744,31698365.583979063,31698365.583979063,61761700.0,50091448.79986657,50091448.79986657,0.0
14,42794536.123748854,31276905.939716667,31276905.939716667,61761700.0,50091448.79986657,50091448.79986657,0.0
15,43079231.93812557,31360103.555981845,31360103.555981845,61761700.0,50091448.79986657,50091448.79986657,0.0
16,46732107.734303914,34296231.372187115,34296231.372187115,61761700.0,50091448.79986657,50091448.79986657,0.0
17,48691012.55686988,35910877.740397006,35910877.740397006,61761700.0,50091448.79986657,50091448.79986657,0.0
18,46969251.31938125,34090684.70719967,34090684.70719967,61761700.0,50091448.79986657,50091448.79986657,0.0
19,44679333.57597816,31803559.112333424,31803559.112333424,61761700.0,50091448.79986657,50091448.79986657,0.0
20,41744681.71064603,28759571.33536972,28759571.33536972,61761700.0,50091448.79986657,50091448.79986657,0.0
21,38835967.42493176,26092808.100084387,26092808.100084387,61761700.0,50091448.79986657,50091448.79986657,0.0
22,35331923.93084623,22850760.96836465,22850760.96836465,61761700.0,50091448.79986657,50091448.79986657,0.0
23,33106850.13648772,20713066.130895615,20713066.130895615,61761700.0,50091448.79986657,50091448.79986657,0.0
24,32824007.00636943,20627842.98300101,20627842.98300101,61761700.0,50091448.79986657,50091448.79986657,0.0
25,33019773.97634213,21182909.19391055,21182909.19391055,61761700.0,50091448.79986657,50091448.79986657,0.0
26,32465821.383075524,21052200.71680184,21052200.71680184,61761700.0,50091448.79986657,50091448.79986657,0.0
27,32435560.87352138,21483526.073429275,21483526.073429275,61761700.0,50091448.79986657,50091448.79986657,0.0
