,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW,Cumulative_capacity_kW
Hydrogen,0.043987360644663534,8,500000,2037,EDF Energy,500000,500000
Solar,0.05483662470397388,14,100000,2035,Distributed Generation,100000,600000
Wind Offshore,0.05649316051834068,16,50000,2039,Yorkshire Windpower Ltd,50000,650000
Wind Offshore,0.05649316051834068,20,50000,2039,High Hedley Hope Wind Ltd,100000,700000
Wind Offshore,0.05649316051834068,27,50000,2039,Fred Olsen,150000,750000
Wind Offshore,0.05649316051834068,7,50000,2039,GDF Suez,200000,800000
Wind Offshore,0.05649316051834068,1,50000,2039,Bares of Doune Windfarm,250000,850000
Wind Offshore,0.05649316051834068,30,50000,2039,Fenland Windfarms Ltd,300000,900000
Wind Offshore,0.05649316051834068,11,50000,2039,K/S Winscales,350000,950000
Wind Offshore,0.05649316051834068,11,50000,2039,E.On UK,1000000,1000000
Wind Offshore,0.05649316051834068,27,50000,2039,Cold Northcott Windfarm Ltd,450000,1050000
Wind Offshore,0.05649316051834068,27,50000,2039,Talisman Energy,950000,1100000
Wind Offshore,0.05649316051834068,19,50000,2039,Distributed Generation,550000,1150000
Wind Offshore,0.05649316051834068,12,50000,2039,HG Capital,600000,1200000
Wind Offshore,0.05649316051834068,28,50000,2039,EDF Energy Renewable,650000,1250000
Wind Offshore,0.05649316051834068,27,50000,2039,Npower Renewables Ltd,700000,1300000
Wind Offshore,0.05649316051834068,27,50000,2039,Llangwyryfon Windfarm Ltd,750000,1350000
Wind Offshore,0.05649316051834068,30,50000,2039,Centrica,800000,1400000
Wind Offshore,0.05649316051834068,16,50000,2039,Wind,850000,1450000
Wind Offshore,0.05649316051834068,28,50000,2039,Infinis Windfarm,900000,1500000
Wind Offshore,0.05649316051834068,8,50000,2039,Kirkheaton Wind Ltd,500000,1550000
Wind Offshore,0.05649316051834068,12,50000,2039,Cemmaes Windfarm Ldt,400000,1600000
Nuclear,0.08289071350208556,11,1000000,2042,British Energy,1000000,2600000
BECCS,0.10135253311953081,20,500000,2036,International Power/Mitsui,500000,3100000
