,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2
0,33037953.304202624,27965620.057076305,19674390.057076305,19674390.057076305,0.0
1,33359009.849113576,28319511.498866208,20028281.498866208,20028281.498866208,0.0
2,32050087.01216889,27163237.601210997,18872007.601210997,18872007.601210997,0.0
3,30890578.951894324,26100957.979383796,17809727.979383796,17809727.979383796,0.0
4,29538436.96467318,24850692.39221002,16559462.392210022,16559462.392210022,0.0
5,29453850.913417798,24897088.977149375,16605858.977149375,16605858.977149375,0.0
6,30772652.4132828,26479288.596987657,18188058.596987657,18188058.596987657,0.0
7,30399115.471607547,26084982.76486018,17793752.76486018,17793752.76486018,0.0
8,31650001.163895253,27739903.684809826,19448673.684809826,19448673.684809826,0.0
9,35055670.20568148,31112401.331717514,22821171.331717514,22821171.331717514,0.0
10,38390336.357727796,34291620.84423144,26000390.84423144,26000390.84423144,0.0
11,41270584.0154386,37170168.505678274,28878938.505678274,28878938.505678274,0.0
12,43104928.23645872,39114696.53481176,30823466.534811758,30823466.534811758,0.0
13,43172226.62760351,39591625.325241566,31300395.325241566,31300395.325241566,0.0
14,42784489.10798027,39214082.8416989,30922852.8416989,30922852.8416989,0.0
15,43069118.08337248,39378216.98084495,31086986.980844952,31086986.980844952,0.0
16,46721136.28173464,42306260.599014804,34015030.599014804,34015030.599014804,0.0
17,48679581.20569147,43877351.13227892,35586121.13227892,35586121.13227892,0.0
18,46958224.19182274,42054898.42928063,33763668.42928063,33763668.42928063,0.0
19,44668844.060034595,39750963.42730828,31459733.427308276,31459733.427308276,0.0
20,41734881.17269444,36682690.01152602,28391460.01152602,28391460.01152602,0.0
21,38826849.775520205,34025408.36795705,25734178.367957048,25734178.367957048,0.0
22,35323628.93739562,30792097.625453513,22500867.625453513,22500867.625453513,0.0
23,33099077.53102221,28660120.128532737,20368890.128532737,20368890.128532737,0.0
24,32816300.80492755,28593319.172769655,20302089.172769655,20302089.172769655,0.0
25,33012021.814036723,29173666.761494618,20882436.761494618,20882436.761494618,0.0
26,32458199.274065334,29072467.294733755,20781237.294733755,20781237.294733755,0.0
27,32427945.868871797,29541373.367082324,21250143.367082324,21250143.367082324,0.0
28,32201971.454569083,29554170.032553293,21262940.032553293,21262940.032553293,0.0
29,33096607.865292113,30516923.043507904,22225693.043507904,22225693.043507904,0.0
30,36844943.02712755,34174135.015753865,25882905.015753865,25882905.015753865,0.0
31,42099774.284314394,39205638.808067024,30914408.808067024,30914408.808067024,0.0
32,46137677.753002234,42712577.561662965,34421347.561662965,34421347.561662965,0.0
33,49610645.185933255,45519306.09350491,37228076.09350491,37228076.09350491,0.0
