,Year,Wind Onshore,Wind Offshore,Solar,Hydro,Hydrogen,Biomass,BECCS,Nuclear,CCGT,Coal,OCGT
0,2010,3166.5894642814183,4406.385013127853,983.1705349929642,3658.7562785388127,0.0,0.0,0.0,0.0,8192.992490704348,2884.0294035297093,100.51199452065138
1,2011,3166.589464281419,4406.385013127854,983.170534992964,3658.7562785388127,0.0,0.0,0.0,0.0,8109.9432416339205,2516.71081901747,34.52888331195701
2,2012,3166.5894642814187,4406.385013127856,983.170534992964,3658.7562785388127,0.0,0.0,0.0,0.0,7855.611986497004,1929.6980169441642,0.7499284178628256
3,2013,3166.5894642814183,4406.385013127856,983.170534992964,3658.7562785388127,0.0,0.0,0.0,0.0,7394.888572206624,1222.3296897064877,0.0
4,2014,3166.5894642814196,4406.385013127854,983.1705349929639,3658.7562785388127,0.0,0.0,0.0,0.0,7094.117965168082,911.1313504374964,0.0
5,2015,3166.589464281421,4406.385013127854,983.170534992964,3658.7562785388127,0.0,0.0,0.0,0.0,6856.9028957384635,723.1612161566399,0.0
6,2016,3166.5894642814237,4406.385013127856,983.170534992964,3658.7562785388127,0.0,0.0,0.0,0.0,6449.021753213047,507.56046704133524,0.0
7,2017,3166.5894642814255,4406.385013127856,983.170534992964,3658.7562785388127,0.0,0.0,0.0,0.0,6061.369816005261,336.1008079396215,0.0
8,2018,3166.5894642814264,4406.385013127856,983.170534992964,3658.7562785388127,0.0,0.0,0.0,0.0,5814.282236440506,228.93503165066497,0.0
9,2019,3166.5894642814287,4406.385013127856,983.1705349929638,3658.7562785388127,0.0,0.0,0.0,0.0,5441.882061797741,219.47398182108046,0.0
10,2020,3166.58946428143,4406.385013127856,983.1705349929638,3658.7562785388127,0.0,0.0,0.0,0.0,5196.787778420205,209.76251119209564,0.0
11,2021,3166.589464281429,4406.385013127856,983.1705349929638,3658.7562785388127,0.0,0.0,0.0,0.0,4657.070259403691,138.14222842693786,0.0
12,2022,3166.5894642814274,4406.385013127854,983.1705349929637,3658.7562785388127,0.0,0.0,0.0,0.0,4129.8204170477475,119.01427376090798,0.0
13,2023,3166.5894642814274,4406.385013127854,983.1705349929637,3658.7562785388127,0.0,0.0,0.0,0.0,3633.361476356472,78.0193458698598,0.11838739304166489
14,2024,3166.5894642814274,4406.385013127854,983.1705349929638,3658.7562785388127,0.0,0.0,0.0,0.0,3426.5273477487017,145.0755150409972,13.81812947526552
15,2025,3166.589464281428,4406.385013127853,983.1705349929637,3658.7562785388127,0.0,498.6169280411278,161071.02281019022,0.0,2785.457729657222,87.43660520795514,12.454575471879924
16,2026,3166.5894642814274,4406.385013127853,983.1705349929637,3658.7562785388127,0.0,467.2117787118824,160538.48976873478,0.0,2752.488176665072,0.0,39.547184875817344
17,2027,3166.5894642814274,4406.385013127853,983.1705349929636,3658.7562785388127,0.0,428.97769139864874,175522.47175816898,0.0,2342.1590330514055,0.0,17.243143005612236
18,2028,3166.5894642814264,4406.385013127851,983.1705349929636,3658.7562785388127,0.0,807.5691331348228,83521.33332883629,0.0,2064.965605053574,0.0,12.143928200497529
19,2029,3166.589464281428,4406.385013127852,983.1705349929636,3658.7562785388127,0.0,1144.273646074084,55432.926092115216,0.0,1901.446083720601,0.0,8.57897793617524
20,2030,3166.589464281427,4406.385013127853,983.1705349929637,3658.7562785388127,0.0,1171.4063021166287,55787.149137490414,0.0,2109.484233955237,0.0,12.197934527035395
21,2031,3166.5894642814264,4406.385013127851,983.1705349929636,3658.7562785388127,0.0,1468.1988131202952,41416.971319598924,0.0,1896.6064040381104,0.0,11.41194865322512
22,2032,3166.589464281428,4406.385013127851,983.1705349929634,3658.7562785388127,0.0,1454.663027954311,37871.08043257575,0.0,2186.739890318772,0.0,17.424960952857923
23,2033,3166.5894642814374,4406.385013127851,983.1705349929636,3658.7562785388127,0.0,1808.6407412782435,30505.928995019793,0.0,2359.24532870223,0.0,18.551148247007
24,2034,3166.589464281438,4406.385013127851,983.1705349929636,3658.7562785388127,0.0,1725.5130701952685,30333.25696589465,0.0,2206.4758299118057,0.0,14.996277288475811
25,2035,3166.5894642814387,4406.385013127851,983.1705349929636,3658.7562785388127,3724353221.7396393,1988.6825641566654,25253.50292491575,0.017317558609391295,2072.9611745270095,0.0,8.135844536833005
26,2036,3166.58946428144,4406.3850131278505,983.1705349929634,3658.7562785388127,3895097600.8051286,2250.6000493589504,21668.58738805093,0.017382907887162583,2045.8602880035703,0.0,5.720669112161021
27,2037,3166.589464281444,4406.385013127851,983.1705349929636,3658.7562785388127,4016610218.749769,2400.5458941266684,15534.155968300767,0.021100365160039602,2000.290110367303,0.0,3.724077291980993
28,2038,3166.5894642814474,4406.385013127851,983.1705349929636,3658.7562785388127,3811069039.843902,2605.7136553924606,15639.665499028222,0.02237384156567496,2161.261101855688,0.0,3.766411284737214
29,2039,3166.589464281445,4406.385013127849,983.1705349929636,3658.7562785388127,3758009088.192531,2726.1832046815143,15749.742294407011,0.023636964504597846,2480.656284367249,0.0,9.952981298796484
