,CCGT,OCGT,Coal,Nuclear,Biomass,BECCS,Hydrogen
0,0.0,0.0,0,11933730.0,1441440.0,482117.4222954549,0.0
1,0.0,0.0,0,11933730.0,1441440.0,959539.9155488163,0.0
2,0.0,0.0,0,11933730.0,1441440.0,265329.2230641879,0.0
3,0.0,0.0,0,11933730.0,660493.1476341374,0.0,0.0
4,0.0,0.0,0,11773730.0,0.0,0.0,0.0
5,0.0,0.0,0,11933730.0,173209.98046635836,0.0,0.0
6,0.0,0.0,0,11933730.0,1441440.0,1423837.0248903017,0.0
7,0.0,0.0,0,11933730.0,1441440.0,1953576.515080005,0.0
8,0.0,0.0,0,11933730.0,1441440.0,4697307.491850626,0.0
9,0.0,0.0,0,11933730.0,1441440.0,5280000.0,3386272.020930182
10,0.0,0.0,0,11933730.0,1441440.0,5280000.0,6828896.5964689925
11,2136948.9407190084,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
12,4119860.8836912178,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
13,5580109.297013961,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
14,4618968.881796632,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
15,4140189.960654713,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
16,5868367.448261686,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
17,6473036.986944281,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
18,4063556.229875289,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
19,1242088.3335113116,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
20,0.0,0.0,0,11933730.0,1441440.0,5280000.0,4788457.554311696
21,0.0,0.0,0,11933730.0,1441440.0,5280000.0,2429725.004256878
22,0.0,0.0,0,11933730.0,1441440.0,4990684.200103439,0.0
23,0.0,0.0,0,11933730.0,1441440.0,3243184.941384878,0.0
24,0.0,0.0,0,11933730.0,1441440.0,3837080.059004698,0.0
25,0.0,0.0,0,11933730.0,1441440.0,5280000.0,669538.4357611313
26,0.0,0.0,0,11933730.0,1441440.0,5280000.0,2052683.9131228924
27,0.0,0.0,0,11933730.0,1441440.0,5280000.0,4091354.0643217564
28,0.0,0.0,0,11933730.0,1441440.0,5280000.0,4877474.249067478
29,0.0,0.0,0,11933730.0,1441440.0,5280000.0,5909797.767374333
30,1688958.8199061453,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
31,5788354.503170196,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
32,8122586.221755654,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
33,9578410.77758123,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
34,9582539.331293523,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
35,9422794.955775157,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
36,7667669.837148115,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
37,7456933.6242811605,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
38,6319321.683531348,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
39,7068756.024196487,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
40,13296953.413039848,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
41,15741921.216500953,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
42,15318959.697895184,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
43,11147227.991366416,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
44,5928796.441822134,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
45,0.0,0.0,0,11933730.0,1441440.0,5280000.0,7105502.328044392
46,0.0,0.0,0,11933730.0,1441440.0,5280000.0,1327667.7942981422
47,0.0,0.0,0,11933730.0,1441440.0,2447256.7016290277,0.0
48,0.0,0.0,0,11933730.0,1441440.0,1530609.8094473034,0.0
49,0.0,0.0,0,11933730.0,1441440.0,116958.88111449033,0.0
50,0.0,0.0,0,11933730.0,778274.4277375564,0.0,0.0
51,0.0,0.0,0,11933730.0,538732.0769959763,0.0,0.0
52,0.0,0.0,0,11933730.0,437800.19112763554,0.0,0.0
53,0.0,0.0,0,11933730.0,1441440.0,142823.88659287617,0.0
54,0.0,0.0,0,11933730.0,1441440.0,4570795.214923106,0.0
55,0.0,0.0,0,11933730.0,1441440.0,5280000.0,5845893.670742564
56,1492087.0097660571,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
57,3073866.274187967,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
58,3615036.366379656,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
59,3298232.876183454,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
60,4321946.272455193,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
61,3659948.451476127,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
62,3772267.856820956,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
63,5779413.400341552,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
64,9271971.62126045,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
65,12819025.390595064,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
66,11962697.62677434,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
67,9617544.69426369,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
68,5738296.866509683,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
69,1141152.8750355877,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
70,0.0,0.0,0,11933730.0,1441440.0,5280000.0,4827524.358762704
71,0.0,0.0,0,11933730.0,1441440.0,5280000.0,3159158.207101971
72,0.0,0.0,0,11933730.0,1441440.0,5280000.0,5766260.633502226
73,0.0,0.0,0,11933730.0,1441440.0,5280000.0,6594604.910613328
74,328814.8989021294,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
75,1306048.7244301587,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
76,2046852.1670022309,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
77,3603180.3136730865,0.0,0,11933730.0,1441440.0,5280000.0,7650000.0
