,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,16,250000,212500.0,2024,False,Corby Power Ltd,250000,212500.0
CCGT,0,23,250000,212500.0,2024,False,EDF Energy,500000,425000.0
CCGT,0,27,250000,212500.0,2024,False,Centrica,750000,637500.0
CCGT,0,4,250000,212500.0,2024,False,Cory Energy Company Ltd,1000000,850000.0
CCGT,0,19,250000,212500.0,2024,False,Barking Power,1250000,1062500.0
CCGT,0,10,250000,212500.0,2024,False,Baglan Generation Ltd,1500000,1275000.0
CCGT,0,29,250000,212500.0,2024,False,GDF Suez,1750000,1487500.0
CCGT,0,17,250000,212500.0,2024,False,Derwent Cogeneration,2000000,1700000.0
Hydrogen,0,28,500000,425000.0,2024,False,EDF Energy,500000,2125000.0
Biomass,0,20,14000,12320.0,2023,False,E.On UK,14000,2137320.0
Biomass,0,10,14000,12320.0,2023,False,EPR Ely Limited,28000,2149640.0
Biomass,0,13,14000,12320.0,2023,False,Sembcorp Utilities (UK) Ltd,42000,2161960.0
BECCS,0,22,500000,440000.0,2023,False,International Power/Mitsui,500000,2601960.0
OCGT,75,26,500000,460000.0,2023,False,Citigen (London) UK Ltd,500000,3061960.0
OCGT,75,12,500000,460000.0,2023,False,Drax Power Ltd,1000000,3521960.0
