,CCGT,OCGT,Coal,Nuclear,Wind Offshore,Wind Onshore,Solar,Hydro,Biomass,BECCS,Hydrogen,Battery
1,0.0,0.0,0,0,0.0,0.0,0.0,124000,0.0,0.0,0.0,1701068.1818181742
2,1764705.0,250000.0,0,0,0.0,0.0,0.0,0,750000.0,0.0,0.0,850534.0909090871
3,823529.0,0.0,0,0,0.0,0.0,0.0,0,750000.0,0.0,0.0,850534.0909090871
4,1411764.0,1000000.0,0,0,0.0,0.0,0.0,0,250000.0,0.0,1.5,425267.04545454355
5,2352940.0,1250000.0,0,0,0.0,0.0,0.0,2000,1500000.0,0.0,0.0,425267.04545454355
6,1529411.0,500000.0,0,0,0.0,0.0,0.0,3000,0.0,0.0,1.5,425267.04545454355
7,1411764.0,250000.0,0,1205000,0.0,0.0,0.0,0,250000.0,500000.0,0.0,850534.0909090871
8,1411764.0,750000.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.5,0.0
9,1411764.0,1250000.0,0,0,150000.0,0.0,0.0,6000,750000.0,0.0,1.5,850534.0909090871
10,1294117.0,1000000.0,0,1190000,62100.0,2951000.0,0.0,0,0.0,0.0,0.0,425267.04545454355
11,588235.0,1000000.0,0,2390000,367200.0,0.0,0.0,0,500000.0,0.0,0.0,1701068.1818181742
12,1176470.0,250000.0,0,0,285714.0,0.0,0.0,42000,750000.0,500000.0,0.0,425267.04545454355
13,823529.0,250000.0,0,500000,2285712.0,0.0,0.0,0,0.0,0.0,0.0,1275801.1363636306
14,1529411.0,1250000.0,0,500000,0.0,0.0,0.0,0,500000.0,0.0,1.5,1701068.1818181742
15,941176.0,1500000.0,0,500000,1999998.0,0.0,0.0,0,250000.0,0.0,0.0,850534.0909090871
16,1294117.0,750000.0,0,0,1567713.0,0.0,0.0,0,500000.0,0.0,0.0,0.0
17,1529411.0,1000000.0,0,500000,2571426.0,0.0,0.0,0,500000.0,0.0,3.0,0.0
18,1411764.0,250000.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.5,425267.04545454355
19,1294117.0,500000.0,0,0,3316997.0,0.0,0.0,0,0.0,0.0,1.5,850534.0909090871
20,941176.0,1000000.0,0,1688000,3361140.0,0.0,0.0,0,250000.0,0.0,0.0,0.0
21,1411764.0,1500000.0,0,0,0.0,0.0,111000.0,0,500000.0,0.0,0.0,425267.04545454355
22,823529.0,500000.0,0,500000,0.0,0.0,0.0,0,500000.0,500000.0,1.5,850534.0909090871
23,941176.0,500000.0,0,0,0.0,0.0,0.0,0,500000.0,0.0,4.5,425267.04545454355
24,1294117.0,250000.0,0,500000,0.0,0.0,0.0,0,250000.0,0.0,0.0,850534.0909090871
25,1176470.0,750000.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1701068.1818181742
26,1176470.0,500000.0,0,500000,0.0,0.0,0.0,0,250000.0,1000000.0,0.0,850534.0909090871
27,1529411.0,500000.0,0,1040000,630000.0,0.0,0.0,0,500000.0,0.0,1.5,2126335.2272727177
28,1058823.0,0.0,0,0,0.0,0.0,0.0,0,500000.0,0.0,0.0,850534.0909090871
29,1411764.0,750000.0,0,0,563200.0,0.0,0.0,0,0.0,0.0,4.5,850534.0909090871
30,1058823.0,1250000.0,0,0,0.0,0.0,0.0,0,500000.0,500000.0,1.5,425267.04545454355
