,Nuclear,Biomass,BECCS,CCGT,OCGT,Coal
0,8219070.0,6625817.274341382,440000.0,923954.3390419772,0.0,0.0
1,8219070.0,6896871.780547172,440000.0,923954.3390419772,0.0,0.0
2,8219070.0,5924552.471126299,440000.0,923954.3390419772,0.0,0.0
3,8219070.0,4996835.138376754,440000.0,923954.3390419772,0.0,0.0
4,8219070.0,3986914.9368903544,440000.0,923954.3390419772,0.0,0.0
5,8219070.0,4196554.012568384,440000.0,923954.3390419772,0.0,0.0
6,8219070.0,5834040.374656921,440000.0,923954.3390419772,0.0,0.0
7,8219070.0,5649440.223364126,440000.0,923954.3390419772,0.0,0.0
8,8219070.0,7552160.0,440000.0,1054131.5839786336,0.0,0.0
9,8219070.0,7552160.0,440000.0,4251197.706010047,0.0,0.0
10,8219070.0,7552160.0,440000.0,6779978.3840272,0.0,0.0
11,8219070.0,7552160.0,440000.0,9069749.188040843,0.0,0.0
12,8219070.0,7552160.0,440000.0,10861823.076610157,0.0,0.0
13,8219070.0,7552160.0,440000.0,12528855.173341373,0.0,0.0
14,8219070.0,7552160.0,440000.0,12264066.316258745,0.0,0.0
15,8219070.0,7552160.0,440000.0,12430879.301964408,0.0,0.0
16,8219070.0,7552160.0,440000.0,13866865.385981841,0.0,0.0
17,8219070.0,7552160.0,440000.0,13378599.606615473,0.0,0.0
18,8219070.0,7552160.0,440000.0,13021423.828156287,0.0,0.0
19,8219070.0,7552160.0,440000.0,11169894.513648678,0.0,0.0
20,8219070.0,7552160.0,440000.0,7518440.275551917,0.0,0.0
21,8219070.0,7552160.0,440000.0,5377371.963731065,0.0,0.0
22,8219070.0,7552160.0,440000.0,2898895.2119525955,0.0,0.0
23,8219070.0,7552160.0,440000.0,1298323.961994019,0.0,0.0
24,8219070.0,7552160.0,440000.0,2587527.0403817124,0.0,0.0
25,8219070.0,7552160.0,440000.0,3113114.491936736,0.0,0.0
26,8219070.0,7552160.0,440000.0,3363686.5784991765,0.0,0.0
27,8219070.0,7552160.0,440000.0,4482056.766295619,0.0,0.0
28,8219070.0,7552160.0,440000.0,4863521.462887196,0.0,0.0
29,8219070.0,7552160.0,440000.0,6066616.384450266,0.0,0.0
30,8219070.0,7552160.0,440000.0,8625652.744337939,0.0,0.0
31,8219070.0,7552160.0,440000.0,12869381.939587887,0.0,0.0
32,8219070.0,7552160.0,440000.0,15280615.173107669,0.0,0.0
33,8219070.0,7552160.0,440000.0,16944313.88484794,0.0,0.0
34,8219070.0,7552160.0,440000.0,18550804.214329317,0.0,0.0
35,8219070.0,7552160.0,440000.0,18664822.65546278,0.0,0.0
36,8219070.0,7552160.0,440000.0,17592482.306541424,0.0,0.0
37,8219070.0,7552160.0,440000.0,16702267.69733907,0.0,0.0
38,8219070.0,7552160.0,440000.0,15549110.290947918,0.0,0.0
39,8219070.0,7552160.0,440000.0,15751895.26288422,0.0,0.0
40,8219070.0,7552160.0,440000.0,19574240.64110227,0.0,0.0
41,8219070.0,7552160.0,440000.0,20579866.30281045,0.0,0.0
42,8219070.0,7552160.0,440000.0,19916909.28941801,0.0,0.0
43,8219070.0,7552160.0,440000.0,18233558.83732421,0.0,0.0
44,8219070.0,7552160.0,440000.0,13975895.588337619,0.0,0.0
45,8219070.0,7552160.0,440000.0,9656980.72559463,0.0,0.0
46,8219070.0,7552160.0,440000.0,6222992.713651624,0.0,0.0
47,8219070.0,7552160.0,440000.0,3352655.8665945157,0.0,0.0
48,8219070.0,7552160.0,440000.0,2530816.010850945,0.0,0.0
49,8219070.0,7552160.0,440000.0,2140349.3001332697,0.0,0.0
50,8219070.0,7552160.0,440000.0,1746392.7878841294,0.0,0.0
51,8219070.0,7552160.0,440000.0,1520742.6494903227,0.0,0.0
52,8219070.0,6878703.994170807,440000.0,1512268.4044426626,0.0,0.0
53,8219070.0,7092560.3396044355,440000.0,1439939.7323615877,0.0,0.0
54,8219070.0,7552160.0,440000.0,3105641.375646815,0.0,0.0
55,8219070.0,7552160.0,440000.0,8703570.720325444,0.0,0.0
56,8219070.0,7552160.0,440000.0,11016550.827725671,0.0,0.0
57,8219070.0,7552160.0,440000.0,12488814.798620919,0.0,0.0
58,8219070.0,7552160.0,440000.0,13151618.868717333,0.0,0.0
59,8219070.0,7552160.0,440000.0,13255860.177790197,0.0,0.0
60,8219070.0,7552160.0,440000.0,13649468.203750966,0.0,0.0
61,8219070.0,7552160.0,440000.0,13168509.660174886,0.0,0.0
62,8219070.0,7552160.0,440000.0,13082667.039279835,0.0,0.0
63,8219070.0,7552160.0,440000.0,13737258.213193232,0.0,0.0
64,8219070.0,7552160.0,440000.0,16174373.11237646,0.0,0.0
65,8219070.0,7552160.0,440000.0,18038549.17701416,0.0,0.0
66,8219070.0,7552160.0,440000.0,17325728.2602674,0.0,0.0
67,8219070.0,7552160.0,440000.0,15818407.136845784,0.0,0.0
68,8219070.0,7552160.0,440000.0,13103047.766693031,0.0,0.0
69,8219070.0,7552160.0,440000.0,9780960.690451115,0.0,0.0
70,8219070.0,7552160.0,440000.0,6501215.494507933,0.0,0.0
71,8219070.0,7552160.0,440000.0,4591282.754541793,0.0,0.0
72,8219070.0,7552160.0,440000.0,6713932.037650509,0.0,0.0
73,8219070.0,7552160.0,440000.0,6667384.871813144,0.0,0.0
74,8219070.0,7552160.0,440000.0,7125649.753750103,0.0,0.0
75,8219070.0,7552160.0,440000.0,7759245.868037945,0.0,0.0
76,8219070.0,7552160.0,440000.0,9232456.86179582,0.0,0.0
77,8219070.0,7552160.0,440000.0,10640148.831537392,0.0,0.0
78,8219070.0,7552160.0,440000.0,14162561.911090622,0.0,0.0
79,8219070.0,7552160.0,440000.0,19704119.522041194,0.0,0.0
80,8219070.0,7552160.0,440000.0,21943322.450555358,0.0,0.0
81,8219070.0,7552160.0,440000.0,22637727.478967566,0.0,0.0
82,8219070.0,7552160.0,440000.0,23003645.831613928,0.0,0.0
83,8219070.0,7552160.0,440000.0,22601009.614705518,0.0,0.0
84,8219070.0,7552160.0,440000.0,19993134.39492698,0.0,0.0
85,8219070.0,7552160.0,440000.0,18589460.516488843,0.0,0.0
86,8219070.0,7552160.0,440000.0,17991229.63087283,0.0,0.0
87,8219070.0,7552160.0,440000.0,17984883.57180122,0.0,0.0
88,8219070.0,7552160.0,440000.0,19960115.25923588,0.0,0.0
89,8219070.0,7552160.0,440000.0,21486878.22884859,0.0,0.0
90,8219070.0,7552160.0,440000.0,20923853.963768184,0.0,0.0
91,8219070.0,7552160.0,440000.0,20205349.370403048,0.0,0.0
92,8219070.0,7552160.0,440000.0,17401471.93498423,0.0,0.0
