Busbars,CCGT_Derated_Capacity_kW,OCGT_Derated_Capacity_kW,Coal_Derated_Capacity_kW,Nuclear_Derated_Capacity_kW,Wind Offshore_Derated_Capacity_kW,Wind Onshore_Derated_Capacity_kW,Solar_Derated_Capacity_kW,Hydro_Derated_Capacity_kW,Biomass_Derated_Capacity_kW,BECCS_Derated_Capacity_kW,Hydrogen_Derated_Capacity_kW,Battery_Derated_Capacity_kW,CCGT_Capacity_kW,OCGT_Capacity_kW,Coal_Capacity_kW,Nuclear_Capacity_kW,Wind Offshore_Capacity_kW,Wind Onshore_Capacity_kW,Solar_Capacity_kW,Hydro_Capacity_kW,Biomass_Capacity_kW,BECCS_Capacity_kW,Hydrogen_Capacity_kW,Battery_Capacity_kW
1,850000.0,920000.0,0.0,0.0,48000.0,260610.00000000003,0.0,384720.0,12320.0,0.0,0.0,0,1000000.0,1000000.0,0.0,0.0,200000.0,1533000.0,0.0,458000.0,14000.0,0,0,0
2,1215500.0,460000.0,0.0,0.0,0.0,559130.0000000001,0.0,0.0,0.0,0.0,0.0,0,1430000.0,500000.0,0.0,0.0,0.0,3289000.0,100000.0,0.0,0.0,0,0,0
3,212500.0,0.0,0.0,0.0,0.0,14960.0,0.0,173880.0,0.0,0.0,0.0,0,250000.0,0.0,0.0,0.0,0.0,88000.0,0.0,207000.0,0.0,0,0,0
4,425000.0,0.0,0.0,0.0,0.0,273190.0,0.0,105000.0,0.0,0.0,0.0,0,500000.0,0.0,0.0,0.0,0.0,1607000.0,200000.0,125000.0,0.0,0,0,0
5,637500.0,920000.0,0.0,696600.0,2400.0,243610.00000000003,0.0,203280.0,0.0,0.0,0.0,0,750000.0,1000000.0,0.0,860000.0,10000.0,1433000.0,100000.0,242000.0,0.0,0,0,0
6,0.0,0.0,0.0,0.0,0.0,524280.00000000006,0.0,56280.0,12320.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3084000.0,0.0,67000.0,14000.0,0,0,0
7,1796050.0,0.0,1013760.0,976050.0000000001,0.0,203830.00000000003,0.0,26040.0,0.0,0.0,0.0,0,2113000.0,0.0,1152000.0,1205000.0,0.0,1199000.0,200000.0,31000.0,0.0,0,0,0
8,212500.0,0.0,0.0,0.0,36960.0,112880.00000000001,0.0,28560.0,0.0,0.0,0.0,0,250000.0,0.0,0.0,0.0,154000.0,664000.0,0.0,34000.0,0.0,0,0,0
9,0.0,165600.0,0.0,0.0,79200.0,98430.0,0.0,57960.0,38720.0,0.0,0.0,0,0.0,180000.0,0.0,0.0,330000.0,579000.0,300000.0,69000.0,44000.0,0,0,0
10,1275000.0,38640.0,0.0,963900.0000000001,50904.0,393380.00000000006,0.0,33600.0,45760.0,0.0,0.0,0,1500000.0,42000.0,0.0,1190000.0,212100.0,2314000.0,0.0,40000.0,52000.0,0,0,0
11,212500.0,0.0,0.0,1935900.0000000002,145728.0,115770.00000000001,0.0,0.0,12320.0,0.0,0.0,0,250000.0,0.0,0.0,2390000.0,607200.0,681000.0,0.0,0.0,14000.0,0,0,0
12,1385500.0,1380000.0,0.0,793800.0,33600.0,79730.0,0.0,58800.0,0.0,0.0,425000.0,0,1630000.0,1500000.0,0.0,980000.0,140000.0,469000.0,0.0,70000.0,0.0,0,500000,0
13,47600.0,214360.0,0.0,0.0,62400.0,89590.0,0.0,0.0,12320.0,0.0,0.0,0,56000.0,233000.0,0.0,0.0,260000.0,527000.0,0.0,0.0,14000.0,0,0,0
14,1161100.0,68080.0,3491840.0,0.0,0.0,182240.00000000003,0.0,0.0,0.0,440000.0,0.0,0,1366000.0,74000.0,3968000.0,0.0,0.0,1072000.0,0.0,0.0,0.0,500000,0,0
