,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,27,250000,212500.0,2035,False,Centrica,250000,212500.0
CCGT,0,8,250000,212500.0,2035,False,Barking Power,500000,425000.0
CCGT,0,7,250000,212500.0,2035,False,Cory Energy Company Ltd,750000,637500.0
CCGT,0,30,250000,212500.0,2035,False,Corby Power Ltd,1000000,850000.0
CCGT,0,12,250000,212500.0,2035,False,Baglan Generation Ltd,1250000,1062500.0
OCGT,0,22,500000,460000.0,2034,False,Drax Power Ltd,500000,1522500.0
Hydrogen,0,19,500000,425000.0,2035,False,EDF Energy,500000,1947500.0
Biomass,0,13,14000,12320.0,2034,False,Sembcorp Utilities (UK) Ltd,14000,1959820.0
Biomass,0,23,14000,12320.0,2034,False,E.On UK,28000,1972140.0
Biomass,0,30,14000,12320.0,2034,False,EPR Ely Limited,42000,1984460.0
BECCS,0,12,500000,440000.0,2034,False,International Power/Mitsui,500000,2424460.0
CCGT,75,21,250000,212500.0,2035,False,Derwent Cogeneration,1500000,2636960.0
CCGT,75,29,250000,212500.0,2035,False,EDF Energy,1750000,2849460.0
CCGT,75,23,250000,212500.0,2035,False,E.On UK,2000000,3061960.0
OCGT,75,21,500000,460000.0,2034,False,Citigen (London) UK Ltd,1000000,3521960.0
