,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2
0,32873585.37731603,25739490.619830504,16568260.619830504,16568260.619830504,0.0
1,33193044.625983663,26096319.162254713,16925089.162254713,16925089.162254713,0.0
2,31890633.84295413,24990176.73774097,15818946.737740971,15818946.737740971,0.0
3,30736894.47949685,23948169.42123764,14776939.42123764,14776939.42123764,0.0
4,29391479.566838987,22739555.91863372,13568325.918633722,13568325.918633722,0.0
5,29307314.341709245,22832977.469886877,13661747.469886877,13661747.469886877,0.0
6,30619554.64008239,24501394.3605001,15330164.360500101,15330164.360500101,0.0
7,30247876.091151793,24163045.484422844,14991815.484422844,14991815.484422844,0.0
8,31492538.47153756,25948897.7859907,16777667.7859907,16777667.7859907,0.0
9,34881263.88625024,29376384.753921192,20205154.753921192,20205154.753921192,0.0
10,38199339.65943065,32513281.993975185,23342051.993975185,23342051.993975185,0.0
11,41065257.72680459,35351247.999370076,26180017.999370076,26180017.999370076,0.0
12,42890475.85717285,37282632.12756829,28111402.12756829,28111402.12756829,0.0
13,42957439.43045125,38024200.735894166,28852970.735894166,28852970.735894166,0.0
14,42571630.95321421,37671406.33366128,28500176.33366128,28500176.33366128,0.0
15,42854843.86405222,37881101.744143516,28709871.744143516,28709871.744143516,0.0
16,46488692.817646414,40615861.841351174,31444631.841351174,31444631.841351174,0.0
17,48437394.23451889,41920351.48588772,32749121.48588772,32749121.48588772,0.0
18,46724601.18589326,40108015.28718142,30936785.287181422,30936785.287181422,0.0
19,44446611.00500955,37717318.122624025,28546088.122624025,28546088.122624025,0.0
20,41527244.947954684,34531909.438932315,25360679.438932315,25360679.438932315,0.0
21,38633681.36867681,31938613.95172155,22767383.95172155,22767383.95172155,0.0
22,35147889.48994589,28757815.488084048,19586585.488084048,19586585.488084048,0.0
23,32934405.503504686,26656694.298013896,17485464.298013896,17485464.298013896,0.0
24,32653035.626793582,26692197.524530422,17520967.524530422,17520967.524530422,0.0
25,32847782.899539042,27388637.5212022,18217407.5212022,18217407.5212022,0.0
26,32296715.695587393,27436882.80243476,18265652.80243476,18265652.80243476,0.0
27,32266612.80484756,28105442.114406772,18934212.114406772,18934212.114406772,0.0
28,32041762.641362276,28216510.90136096,19045280.90136096,19045280.90136096,0.0
29,32931948.124668773,29232957.90737009,20061727.90737009,20061727.90737009,0.0
30,36661634.85286324,32829708.022698764,23658478.022698764,23658478.022698764,0.0
31,41890322.6709596,37813916.84648065,28642686.846480653,28642686.846480653,0.0
32,45908137.0676639,41174142.692097805,32002912.692097805,32002912.692097805,0.0
33,49363826.05565499,43786862.2937975,34615632.2937975,34615632.2937975,0.0
34,51050202.281794645,45171704.991817415,36000474.991817415,36000474.991817415,0.0
35,51868509.43415092,45687627.75981458,36516397.75981458,36516397.75981458,0.0
36,52593436.19074283,45543430.834285945,36372200.834285945,36372200.834285945,0.0
37,52381487.26614604,45229702.99287651,36058472.99287651,36058472.99287651,0.0
38,51575467.00796929,44299339.98220562,35128109.98220562,35128109.98220562,0.0
39,51952674.65928066,44734452.91318451,35563222.91318451,35563222.91318451,0.0
40,54816135.347818695,48369395.251327194,39198165.251327194,39198165.251327194,0.0
41,56671456.368926786,50267351.908594094,41096121.908594094,41096121.908594094,0.0
42,55385018.54833064,49257532.86665827,40086302.86665827,40086302.86665827,0.0
43,52281349.07858293,45905392.035225034,36734162.035225034,36734162.035225034,0.0
44,48260462.95833376,41719912.66739955,32548682.667399548,32548682.667399548,0.0
45,43281813.43679069,36436687.96097621,27265457.960976213,27265457.960976213,0.0
46,37916741.0933016,31146437.7057266,21975207.7057266,21975207.7057266,0.0
47,33847321.7410433,27094354.51427093,17923124.51427093,17923124.51427093,0.0
48,33145125.73868351,26361876.53174535,17190646.53174535,17190646.53174535,0.0
49,32710169.684728377,25739689.555341534,16568459.555341534,16568459.555341534,0.0
50,32488391.244787965,25431882.834352437,16260652.834352437,16260652.834352437,0.0
51,32015345.818876307,25046447.730305254,15875217.730305254,15875217.730305254,0.0
52,31805854.273115415,24808465.734752256,15637235.734752256,15637235.734752256,0.0
53,32501906.828385442,25533757.545930177,16362527.545930177,16362527.545930177,0.0
54,36478560.12958833,29627073.196808066,20455843.196808066,20455843.196808066,0.0
55,42561801.43787059,35821647.79864559,26650417.798645593,26650417.798645593,0.0
56,46308689.8179164,39223640.5297916,30052410.5297916,30052410.5297916,0.0
57,48790028.09747122,41131379.82058398,31960149.820583977,31960149.820583977,0.0
58,49725675.08924196,41806800.48767587,32635570.487675868,32635570.487675868,0.0
59,50144043.83605476,42110529.834671155,32939299.834671155,32939299.834671155,0.0
60,50644120.42916137,42695502.965884954,33524272.965884954,33524272.965884954,0.0
61,50189505.34451899,42281514.145490244,33110284.145490244,33110284.145490244,0.0
62,50138514.73367398,42387448.153639466,33216218.153639466,33216218.153639466,0.0
63,50719070.48365649,43439528.1556496,34268298.1556496,34268298.1556496,0.0
64,54148956.99387056,46551182.60953412,37379952.60953412,37379952.60953412,0.0
65,56617394.03453689,49116810.068537,39945580.068537,39945580.068537,0.0
66,55514030.93721565,48142403.64451737,38971173.64451737,38971173.64451737,0.0
67,53235426.41162296,46132479.21444269,36961249.21444269,36961249.21444269,0.0
68,49547515.12363888,42506743.36727704,33335513.36727704,33335513.36727704,0.0
