,Demand,Battery,Wind Onshore,Wind Offshore,Solar,Hydro,Hydrogen,Biomass,BECCS,Nuclear,CCGT,Coal,OCGT
0,38080228.38944494,-775185.2184453408,2907863.494736841,21996293.18484936,0.0,591275.0,10340000.0,2244796.709858723,3004950.0,0.0,775185.2184453408,0.0,0.0
1,38450284.804367594,-775185.2184453408,2876677.4605263113,22114010.569217257,0.0,582900.0,10340000.0,2536696.7746240273,3004950.0,0.0,775185.2184453408,0.0,0.0
2,36941593.266605996,-775185.2184453408,2763734.6684210477,21993443.06013875,0.0,555262.5,10340000.0,1289153.0380461924,3004950.0,0.0,775185.2184453408,0.0,0.0
3,35605120.29117379,-775185.2184453408,2751079.207894741,21836917.683264367,0.0,469000.0,10340000.0,208123.40001468733,3004950.0,0.0,775185.2184453408,0.0,0.0
4,34046613.46678799,-775185.2184453408,2681280.9473684095,21600449.925166503,0.0,455600.0,9309282.594253063,0.0,3004950.0,0.0,775185.2184453408,0.0,0.0
5,33949117.8343949,-775185.2184453408,2590208.076315787,21268733.02470886,0.0,442200.0,9647976.733370237,0.0,3004950.0,0.0,775185.2184453408,0.0,0.0
6,35469195.723384894,-775185.2184453408,2347061.407894733,20975433.490528397,11954.153846153848,461462.5,10340000.0,1333284.1711156368,3004950.0,0.0,775185.2184453408,0.0,0.0
7,35038649.31756142,-775185.2184453408,2153484.710526324,21003995.501714744,0.0,728625.0,10340000.0,812544.1053203493,3004950.0,0.0,775185.2184453408,0.0,0.0
8,36480446.04185624,-775185.2184453408,1929600.9236842124,19761465.549570132,16436.961538461535,631475.0,10340000.0,3801467.6070634425,3004950.0,0.0,775185.2184453408,0.0,0.0
9,40405890.62784351,-775185.2184453408,1865307.9710526266,17869630.891903114,975757.8076923081,851737.5,10340000.0,7040000.0,3201750.0,0.0,775185.2184453408,0.0,0.0
10,44249495.8143767,-684214.1078758689,1832144.9684210487,17453214.650806513,2320600.115384616,1043525.0,10340000.0,7040000.0,3744630.0000000005,0.0,1159595.1876404022,0.0,0.0
11,47569328.844404,-225034.1423484641,1823245.689473688,16878684.486169387,3840271.923076921,1027612.5,10340000.0,7040000.0,3744630.0000000005,0.0,3099918.388032482,0.0,0.0
12,49683631.938125566,97757.34251864534,1822813.3736842137,15725440.115949385,5543738.846153844,905337.5,10340000.0,7040000.0,3744630.0000000005,0.0,4463914.759819493,0.0,0.0
13,49761201.45586897,1051772.5326929074,1706083.4368420984,11981171.966284992,4490279.03846154,912037.5,10340000.0,7040000.0,3744630.0000000005,0.0,8495226.981587399,0.0,0.0
14,49314287.17015468,1278900.8549171835,1854530.4552631625,11657122.914033614,3140953.9230769216,803162.5,10340000.0,7040000.0,3744630.0000000005,0.0,9454986.52286379,0.0,0.0
15,49642356.414922655,1828075.2243198492,2047370.7552631528,11264531.97940125,754605.9615384617,847550.0,10340000.0,7040000.0,3744630.0000000005,0.0,11775592.494399948,0.0,0.0
16,53851748.13466788,2268199.160928391,2332646.305263152,13267654.603053382,2988.538461538462,1220237.5,10340000.0,7040000.0,3744630.0000000005,0.0,13635392.026961438,0.0,0.0
17,56109092.265696086,1837666.6224616114,2446540.192105265,17693389.01779199,1494.269230769231,1189250.0,10340000.0,7040000.0,3744630.0000000005,0.0,11816122.164106458,0.0,0.0
18,54125020.56414922,298728.6968391519,2603731.381578944,16635605.017448364,0.0,1191762.5,10340000.0,7040000.0,3744630.0000000005,0.0,12270562.968282765,0.0,0.0
19,51486233.66696997,0.0,2650743.0947368382,18403747.156201866,0.0,1012537.5,10340000.0,7040000.0,3744630.0000000005,0.0,8294575.916031246,0.0,0.0
20,48104487.35213831,-149331.9677811046,2818174.326315789,20060407.462619387,0.0,830800.0,10340000.0,7040000.0,3744630.0000000005,0.0,3419807.5309842424,0.0,0.0
21,44752630.209281154,-682430.8696166719,2729504.8973684185,19741283.194385733,0.0,672512.5,10340000.0,7040000.0,3744630.0000000005,0.0,1167130.4871436646,0.0,0.0
22,40714745.40491355,-775185.2184453408,2568733.0815789574,20176304.818111114,0.0,524275.0,10340000.0,7040000.0,3004950.0,0.0,775185.2184453408,0.0,0.0
23,38150681.437670596,-775185.2184453408,2461203.2921052594,20479621.744929362,0.0,527625.0,10340000.0,4342231.40063595,3004950.0,0.0,775185.2184453408,0.0,0.0
24,37824747.133757964,-1233001.329655661,2337849.868421052,19264643.96283001,0.0,523437.5,10340000.0,5358815.802506909,3004950.0,0.0,1233001.329655661,0.0,0.0
25,38050339.217470415,-1233001.329655661,1982297.8815789397,19240025.829796504,0.0,521762.5,10340000.0,5966253.006094966,3004950.0,0.0,1233001.329655661,0.0,0.0
26,37411991.90172884,-1233001.329655661,1648360.223684215,18511956.408793986,0.0,467325.0,10340000.0,6444350.269250624,3004950.0,0.0,1233001.329655661,0.0,0.0
27,37377121.20109189,-1233001.329655661,1329397.3421052648,16617254.265250625,0.0,429637.5,10340000.0,7040000.0,3201750.0,0.0,1233001.329655661,0.0,0.0
28,37116658.41674249,-1233001.329655661,1171346.4868421014,15707997.931425864,0.0,418750.0,10340000.0,7040000.0,3391830.0,0.0,1233001.329655661,0.0,0.0
29,38147834.849863514,-1118345.364551078,1193275.413157897,14403103.778379638,0.0,412050.0,10340000.0,7040000.0,3744630.0000000005,0.0,2133121.022877074,0.0,0.0
30,42468243.494085535,-688645.2680392601,1251212.1552631594,14864141.108981384,0.0,410375.0,10340000.0,7040000.0,3744630.0000000005,0.0,5506530.4978802465,0.0,0.0
31,48525070.70063694,136603.3030706104,1531801.4605263209,13445204.351650996,0.0,428800.0,10340000.0,7040000.0,3744630.0000000005,0.0,11858031.585389018,0.0,0.0
32,53179241.76524114,601107.4162299745,1830472.3736842081,13896672.786396865,13448.423076923073,640687.5,10340000.0,7040000.0,3744630.0000000005,0.0,15072223.265853187,0.0,0.0
33,57182255.86897177,867101.6022449248,2153752.278947362,15066922.418468999,137472.7692307692,919575.0,10340000.0,7040000.0,3744630.0000000005,0.0,16912801.80007975,0.0,0.0
34,59135726.75159236,1251537.8636061586,2534056.681578948,13267290.018572627,525982.7692307691,859275.0,10340000.0,7040000.0,3744630.0000000005,0.0,19572954.418603927,0.0,0.0
35,60083640.491355784,1193180.1988498345,2689010.928947375,14096540.313566133,1007137.4615384617,804000.0,10340000.0,7040000.0,3744630.0000000005,0.0,19169141.588454064,0.0,0.0
36,60923383.89444949,820162.3426023964,3047559.9157894677,17126784.225319736,1431509.9230769235,784737.5,10340000.0,7040000.0,3744630.0000000005,0.0,16587999.987660993,0.0,0.0
37,60677865.69608734,542873.139454117,2983012.8315789546,19097111.606870115,1525648.8846153843,735325.0,10340000.0,7040000.0,3744630.0000000005,0.0,14669264.233568788,0.0,0.0
38,59744184.895359404,363302.6658242047,3011588.3210526374,20398915.4724129,682881.0384615384,736162.5,10340000.0,7040000.0,3744630.0000000005,0.0,13426704.897608174,0.0,0.0
39,60181136.123748854,454182.7985870205,2937615.0,20727987.688621223,82184.80769230772,798975.0,10340000.0,7040000.0,3744630.0000000005,0.0,14055560.8288483,0.0,0.0
40,63498122.565969065,1286338.653571777,2393270.415789469,17651953.702201985,31379.65384615386,1196787.5,10340000.0,7040000.0,3744630.0000000005,0.0,19813762.640559733,0.0,0.0
41,65647296.360327564,1424250.9558031522,2250136.4999999925,18849518.235054106,10459.88461538461,1220237.5,10340000.0,7040000.0,3744630.0000000005,0.0,20768063.28485498,0.0,0.0
42,64157107.64331209,1284499.7940514237,2092789.3263157806,18674112.590426628,0.0,1180037.5,10340000.0,7040000.0,3744630.0000000005,0.0,19801038.43251832,0.0,0.0
43,60561867.24294814,128989.82126148976,2261738.921052634,19332884.918337986,0.0,1107175.0,10340000.0,7040000.0,3744630.0000000005,0.0,16606448.582296062,0.0,0.0
44,55904137.94358508,0.0,2456845.957894737,20243425.978428263,0.0,864300.0,10340000.0,7040000.0,3744630.0000000005,0.0,11214936.007262101,0.0,0.0
45,50136951.04640582,-660106.09992,2713059.955263157,20453261.70826562,0.0,775525.0,10340000.0,7040000.0,3744630.0000000005,0.0,5730580.482797036,0.0,0.0
46,43922138.216560505,-1178128.9985218954,2825732.549999997,18750796.85954436,0.0,735325.0,10340000.0,7040000.0,3744630.0000000005,0.0,1663782.8055380217,0.0,0.0
47,39208188.80800726,-1233001.329655661,2838892.4763157764,18231865.82822164,0.0,762962.5,10340000.0,7034468.003469847,3004950.0,0.0,1233001.329655661,0.0,0.0
48,38394776.3421292,-1163600.6181362397,2879246.8184210467,18184070.538911857,0.0,739512.5,10340000.0,6251946.484796274,3004950.0,0.0,1163600.6181362397,0.0,0.0
49,37890930.300272964,-1163600.6181362397,3074038.381578946,17912319.104954753,0.0,678375.0,10340000.0,5886197.813739266,3004950.0,0.0,1163600.6181362397,0.0,0.0
50,37634025.75068243,-1163600.6181362397,3174080.34473683,18286981.742422625,0.0,567825.0,10340000.0,5265138.663522959,3004950.0,0.0,1163600.6181362397,0.0,0.0
51,37086057.59781619,-1163600.6181362397,3136103.739473692,18090919.20408024,0.0,554425.0,10340000.0,4964609.65426226,3004950.0,0.0,1163600.6181362397,0.0,0.0
52,36843385.98726115,-1163600.6181362397,3079501.918421041,19212120.649381,0.0,529300.0,10340000.0,3682463.4194590934,3004950.0,0.0,1163600.6181362397,0.0,0.0
53,37649681.98362147,-1163600.6181362397,2960889.947368413,20316562.782677732,0.0,539350.0,10340000.0,3492879.2535753027,3004950.0,0.0,1163600.6181362397,0.0,0.0
54,42256172.70245679,-990393.5720512012,2915452.097368414,19634954.734749887,0.0,568662.5,10340000.0,7040000.0,3201750.0,0.0,990393.5720512012,0.0,0.0
55,49302900.81892629,0.0,2858627.400000005,19640006.83398311,0.0,531812.5,10340000.0,7040000.0,3744630.0000000005,0.0,5147824.084943165,0.0,0.0
56,53643235.577798,279103.4896081835,2901864.528947362,20980827.02602138,49310.88461538461,674187.5,10340000.0,7040000.0,3744630.0000000005,0.0,7633312.148605684,0.0,0.0
57,56517577.61601456,361680.74233755376,3017650.673684209,21299077.448912244,1805077.2307692298,941350.0,10340000.0,7040000.0,3744630.0000000005,0.0,7968111.520311314,0.0,0.0
58,57601415.923566855,104024.3890727656,3055607.123684202,21193397.139464382,4228781.92307692,971500.0,10340000.0,7040000.0,3744630.0000000005,0.0,6923475.348268579,0.0,0.0
59,58086047.497725196,-52138.98288470134,3184925.044736843,21471821.04812474,5334541.153846156,759612.5,10340000.0,7040000.0,3744630.0000000005,0.0,6262656.733902136,0.0,0.0
60,58665328.11646952,-81077.83326897677,3072378.3473684136,21655441.41767961,6006962.307692307,757100.0,10340000.0,7040000.0,3744630.0000000005,0.0,6129893.876998139,0.0,0.0
61,58138709.3721565,30544.459668531083,3127073.889473684,21939386.17704852,4575452.384615386,716062.5,10340000.0,7040000.0,3744630.0000000005,0.0,6625559.961350383,0.0,0.0
62,58079642.67515924,441392.52507937606,3129921.039473686,22064823.49311988,2305657.423076923,721925.0,10340000.0,7040000.0,3744630.0000000005,0.0,8291293.194409372,0.0,0.0
63,58752149.04458599,1018969.525043562,2900207.4157894677,22034340.17959047,304830.92307692306,736162.5,10340000.0,7040000.0,3744630.0000000005,0.0,10633008.501085535,0.0,0.0
64,62725273.97634212,1804769.883788282,2875209.339473678,21899930.034354016,20919.76923076922,1180875.0,10340000.0,7040000.0,3744630.0000000005,0.0,13818939.949495418,0.0,0.0
