Busbars,CCGT_Derated_Capacity_kW,OCGT_Derated_Capacity_kW,Coal_Derated_Capacity_kW,Nuclear_Derated_Capacity_kW,Wind Offshore_Derated_Capacity_kW,Wind Onshore_Derated_Capacity_kW,Solar_Derated_Capacity_kW,Hydro_Derated_Capacity_kW,Biomass_Derated_Capacity_kW,BECCS_Derated_Capacity_kW,Hydrogen_Derated_Capacity_kW,Battery_Derated_Capacity_kW,CCGT_Capacity_kW,OCGT_Capacity_kW,Coal_Capacity_kW,Nuclear_Capacity_kW,Wind Offshore_Capacity_kW,Wind Onshore_Capacity_kW,Solar_Capacity_kW,Hydro_Capacity_kW,Biomass_Capacity_kW,BECCS_Capacity_kW,Hydrogen_Capacity_kW,Battery_Capacity_kW
1,1275000.0,0.0,0,0.0,144000.0,15300.0,0.0,177240.0,86240.0,0.0,0.0,0,1500000,0,0,0.0,600000,90000.0,400000.0,211000.0,98000,0,0,0
2,850000.0,0.0,0,0.0,0.0,30600.0,0.0,0.0,49280.0,440000.0,0.0,0,1000000,0,0,0.0,0,180000.0,0.0,0.0,56000,500000,0,0
3,637500.0,920000.0,0,0.0,0.0,10200.0,0.0,92400.0,24640.0,0.0,850000.0,0,750000,1000000,0,0.0,0,60000.0,0.0,110000.0,28000,0,1000000,0
4,1487500.0,460000.0,0,0.0,0.0,30600.0,0.0,75600.0,86240.0,0.0,425000.0,0,1750000,500000,0,0.0,0,180000.0,100000.0,90000.0,98000,0,500000,0
5,637500.0,460000.0,0,0.0,0.0,51000.0,0.0,52080.0,61600.0,0.0,0.0,0,750000,500000,0,0.0,0,300000.0,300000.0,62000.0,70000,0,0,0
6,425000.0,920000.0,0,0.0,0.0,56100.0,0.0,44520.0,98560.0,0.0,425000.0,0,500000,1000000,0,0.0,0,330000.0,0.0,53000.0,112000,0,500000,0
7,1062500.0,0.0,0,2596050.0,132000.0,76500.0,0.0,67200.0,49280.0,0.0,0.0,0,1250000,0,0,3205000.0,550000,450000.0,100000.0,80000.0,56000,0,0,0
8,1487500.0,920000.0,0,0.0,144000.0,25500.0,0.0,75600.0,49280.0,0.0,425000.0,0,1750000,1000000,0,0.0,600000,150000.0,0.0,90000.0,56000,0,500000,0
9,1062500.0,0.0,0,0.0,0.0,10200.0,0.0,89040.0,36960.0,0.0,0.0,0,1250000,0,0,0.0,0,60000.0,0.0,106000.0,42000,0,0,0
10,1487500.0,460000.0,0,810000.0,120000.0,15300.0,0.0,92400.0,73920.0,440000.0,425000.0,0,1750000,500000,0,1000000.0,500000,90000.0,100000.0,110000.0,84000,500000,500000,0
11,850000.0,920000.0,0,2616300.0,108000.0,51000.0,0.0,0.0,24640.0,0.0,0.0,0,1000000,1000000,0,3230000.0,450000,300000.0,200000.0,0.0,28000,0,0,0
12,1275000.0,920000.0,0,810000.0,108000.0,45900.0,0.0,67200.0,98560.0,440000.0,0.0,0,1500000,1000000,0,1000000.0,450000,270000.0,100000.0,80000.0,112000,500000,0,0
13,1487500.0,0.0,0,0.0,60000.0,10200.0,0.0,0.0,73920.0,0.0,0.0,0,1750000,0,0,0.0,250000,60000.0,0.0,0.0,84000,0,0,0
