,Nuclear,Biomass,CCGT,OCGT,Coal
0,8219070.0,4692160.0,8572298.552619876,0.0,0.0
1,8219070.0,4692160.0,8832433.040167049,0.0,0.0
2,8219070.0,4692160.0,7973958.260394841,0.0,0.0
3,8219070.0,4692160.0,7164483.769796583,0.0,0.0
4,8219070.0,4692160.0,6246619.615749972,0.0,0.0
5,8219070.0,4692160.0,6364292.492340731,0.0,0.0
6,8219070.0,4692160.0,7713910.589747917,0.0,0.0
7,8219070.0,4692160.0,7482215.248509007,0.0,0.0
8,8219070.0,4692160.0,9046862.669015657,0.0,0.0
9,8219070.0,4692160.0,12112005.548899554,0.0,0.0
10,8219070.0,4692160.0,14748357.1865157,0.0,0.0
11,8219070.0,4692160.0,17149957.207738392,0.0,0.0
12,8219070.0,4692160.0,18919669.77673638,0.0,0.0
13,8219070.0,4692160.0,19994339.306395363,0.0,0.0
14,8219070.0,4692160.0,19671062.37619301,0.0,0.0
15,8219070.0,4692160.0,19764431.60733465,0.0,0.0
16,8219070.0,4692160.0,21638858.122754205,0.0,0.0
17,8219070.0,4692160.0,22001019.413779482,0.0,0.0
18,8219070.0,4692160.0,20741517.9360862,0.0,0.0
19,8219070.0,4692160.0,19251635.599455506,0.0,0.0
20,8219070.0,4692160.0,16241883.078110334,0.0,0.0
21,8219070.0,4692160.0,13825754.591301858,0.0,0.0
22,8219070.0,4692160.0,11190921.338789688,0.0,0.0
23,8219070.0,4692160.0,9493628.95811257,0.0,0.0
24,8219070.0,4692160.0,10502593.897721462,0.0,0.0
25,8219070.0,4692160.0,11063341.04801523,0.0,0.0
26,8219070.0,4692160.0,11195253.245498516,0.0,0.0
27,8219070.0,4692160.0,12018369.87735234,0.0,0.0
28,8219070.0,4692160.0,12243124.588342063,0.0,0.0
29,8219070.0,4692160.0,13275493.399791544,0.0,0.0
30,8219070.0,4692160.0,16143580.911494441,0.0,0.0
31,8219070.0,4692160.0,20447642.352285136,0.0,0.0
32,8219070.0,4692160.0,23122551.02131041,0.0,0.0
33,8219070.0,4692160.0,24823944.85,276020.28865936265,0.0
34,8219070.0,4692160.0,24823944.85,1682608.8436460488,0.0
35,8219070.0,4692160.0,24823944.85,1994140.385480302,0.0
36,8219070.0,4692160.0,24823944.85,1452569.8912306498,0.0
37,8219070.0,4692160.0,24823944.85,897499.1733436021,0.0
38,8219070.0,4692160.0,24729100.53351366,0.0,0.0
39,8219070.0,4692160.0,24823944.85,174753.25350253168,0.0
40,8219070.0,4692160.0,24823944.85,3596682.867128156,0.0
41,8219070.0,4692160.0,24823944.85,4930674.861576258,0.0
42,8219070.0,4692160.0,24823944.85,4380959.548854482,0.0
43,8219070.0,4692160.0,24823944.85,2274409.0385128204,0.0
44,8219070.0,4692160.0,22959496.50224245,0.0,0.0
45,8219070.0,4692160.0,18334455.360713836,0.0,0.0
46,8219070.0,4692160.0,14273963.18673841,0.0,0.0
47,8219070.0,4692160.0,11049800.540735219,0.0,0.0
48,8219070.0,4692160.0,10278939.584282508,0.0,0.0
49,8219070.0,4692160.0,9813597.830204831,0.0,0.0
50,8219070.0,4692160.0,9491417.38379653,0.0,0.0
51,8219070.0,4692160.0,9206489.544582956,0.0,0.0
52,8219070.0,4692160.0,8835822.836345455,0.0,0.0
53,8219070.0,4692160.0,9175644.894446941,0.0,0.0
54,8219070.0,4692160.0,11657835.013484415,0.0,0.0
55,8219070.0,4692160.0,17470670.62377758,0.0,0.0
56,8219070.0,4692160.0,20208150.42147924,0.0,0.0
57,8219070.0,4692160.0,21826845.212034225,0.0,0.0
58,8219070.0,4692160.0,22530980.923746023,0.0,0.0
59,8219070.0,4692160.0,22764808.1926702,0.0,0.0
60,8219070.0,4692160.0,23237272.9313991,0.0,0.0
61,8219070.0,4692160.0,22774625.482610904,0.0,0.0
62,8219070.0,4692160.0,22703166.434655756,0.0,0.0
63,8219070.0,4692160.0,23414930.669807456,0.0,0.0
64,8219070.0,4692160.0,24823944.85,1133466.7145669064,0.0
65,8219070.0,4692160.0,24823944.85,3168791.2094678646,0.0
66,8219070.0,4692160.0,24823944.85,2389968.180687761,0.0
67,8219070.0,4692160.0,24823944.85,774569.6932986095,0.0
68,8219070.0,4692160.0,22673578.471171476,0.0,0.0
69,8219070.0,4692160.0,18991163.377874,0.0,0.0
70,8219070.0,4692160.0,15337903.47876734,0.0,0.0
71,8219070.0,4692160.0,13174202.557497904,0.0,0.0
72,8219070.0,4692160.0,14913444.203756446,0.0,0.0
73,8219070.0,4692160.0,14816866.813760415,0.0,0.0
74,8219070.0,4692160.0,15012685.221424567,0.0,0.0
75,8219070.0,4692160.0,15353927.25056873,0.0,0.0
76,8219070.0,4692160.0,16174350.23896769,0.0,0.0
77,8219070.0,4692160.0,17512123.538249366,0.0,0.0
78,8219070.0,4692160.0,20978344.03145996,0.0,0.0
79,8219070.0,4692160.0,24823944.85,1668451.3874134638,0.0
80,8219070.0,4692160.0,24823944.85,4056009.2128963294,0.0
81,8219070.0,4692160.0,24823944.85,4912548.942067518,0.0
82,8219070.0,4692160.0,24823944.85,5074640.346451182,0.0
83,8219070.0,4692160.0,24823944.85,5006660.892240539,0.0
84,8219070.0,4692160.0,24823944.85,3509101.6232818393,0.0
85,8219070.0,4692160.0,24823944.85,2665359.328636648,0.0
86,8219070.0,4692160.0,24823944.85,2085714.5377681388,0.0
87,8219070.0,4692160.0,24823944.85,2201795.869054606,0.0
88,8219070.0,4692160.0,24823944.85,4285929.405426682,0.0
89,8219070.0,4692160.0,24823944.85,5974766.399295545,0.0
