,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,29,250000,212500.0,2023,False,EDF Energy,250000,212500.0
CCGT,0,13,250000,212500.0,2023,False,Corby Power Ltd,500000,425000.0
CCGT,0,7,250000,212500.0,2023,False,Baglan Generation Ltd,750000,637500.0
CCGT,0,27,250000,212500.0,2023,False,E.On UK,1000000,850000.0
CCGT,0,15,250000,212500.0,2023,False,Barking Power,1250000,1062500.0
CCGT,0,10,250000,212500.0,2023,False,Marchwood Power Limited,1500000,1275000.0
CCGT,0,25,250000,212500.0,2023,False,International Power/Mitsui,1750000,1487500.0
CCGT,0,17,250000,212500.0,2023,False,Rocksavage Power Co. Ltd,2000000,1700000.0
Hydrogen,0,19,500000,425000.0,2023,False,EDF Energy,500000,2125000.0
Biomass,0,12,14000,12320.0,2022,False,E.On UK,14000,2137320.0
Biomass,0,6,14000,12320.0,2022,False,EPR Ely Limited,28000,2149640.0
Biomass,0,15,14000,12320.0,2022,False,Sembcorp Utilities (UK) Ltd,42000,2161960.0
BECCS,0,10,500000,440000.0,2022,False,International Power/Mitsui,500000,2601960.0
OCGT,75,8,500000,460000.0,2022,False,Citigen (London) UK Ltd,500000,3061960.0
OCGT,75,14,500000,460000.0,2022,False,Drax Power Ltd,1000000,3521960.0
