,Year,Wind Onshore Capacity,Wind Offshore Capacity,Solar Capacity,Hydro Capacity,Nuclear Capacity,CCGT Capacity,Coal Capacity,OCGT Capacity,BECCS Capacity,Biomass Capacity,Hydrogen Capacity,Wind Onshore Derated Capacity,Wind Offshore Derated Capacity,Solar Derated Capacity,Hydro Derated Capacity,Nuclear Derated Capacity,CCGT Derated Capacity,Coal Derated Capacity,OCGT Derated Capacity,BECCS Derated Capacity,Biomass Derated Capacity,Hydrogen Derated Capacity,Wind Onshore Profit,Wind Offshore Profit,Solar Profit,Hydro Profit,Nuclear Profit,CCGT Profit,Coal Profit,OCGT Profit,BECCS Profit,Biomass Profit,Hydrogen Profit,Wind Onshore Revenue,Wind Offshore Revenue,Solar Revenue,Hydro Revenue,Nuclear Revenue,CCGT Revenue,Coal Revenue,OCGT Revenue,BECCS Revenue,Biomass Revenue,Hydrogen Revenue,Wind Onshore Cost,Wind Offshore Cost,Solar Cost,Hydro Cost,Nuclear Cost,CCGT Cost,Coal Cost,OCGT Cost,BECCS Cost,Biomass Cost,Hydrogen Cost,Wind Onshore Emissions,Wind Offshore Emissions,Solar Emissions,Hydro Emissions,Nuclear Emissions,CCGT Emissions,Coal Emissions,OCGT Emissions,BECCS Emissions,Biomass Emissions,Hydrogen Emissions,Wind Onshore Generation,Wind Offshore Generation,Solar Generation,Hydro Generation,Nuclear Generation,CCGT Generation,Coal Generation,OCGT Generation,BECCS Generation,Biomass Generation,Hydrogen Generation,Battery Capacity kW,Battery Discharge kWh,Battery Cost GBP,Battery Cap Subs GBP
0,2010,0.0,0.0,0.0,0.0,0.0,214000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181900.0,0.0,0.0,0.0,0.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,233629416.47690183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59286827.16502364,0.0,0.0,0.0,0.0,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,-174342589.3118887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579458132.1998727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1587556526.5749936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2011,0.0,0.0,0.0,0.0,0.0,214000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181900.0,0.0,0.0,0.0,0.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,244634050.27796143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86224809.27529757,0.0,0.0,0.0,0.0,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,-158409241.00262544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568545970.1533499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557660192.2009587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2012,0.0,0.0,0.0,0.0,0.0,214000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181900.0,0.0,0.0,0.0,0.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,228072460.31989294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73093704.23329033,0.0,0.0,0.0,0.0,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,-154978756.08661518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580882988.1014221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591460241.373759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2013,0.0,0.0,0.0,0.0,0.0,331647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281899.95,0.0,0.0,0.0,0.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,321270269.26084006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102668567.06324878,0.0,0.0,0.0,0.0,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,-218601702.19762048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866360965.1888304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2373591685.448827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2014,0.0,0.0,0.0,0.0,0.0,449294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381899.89999999997,0.0,0.0,0.0,0.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,399660543.72117186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70117450.60077736,0.0,0.0,0.0,0.0,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,-329543093.12041605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520286095.57718074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425441357.7457004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2015,0.0,0.0,0.0,0.0,0.0,449294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381899.89999999997,0.0,0.0,0.0,0.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,393909758.01192486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126305870.96242279,0.0,0.0,0.0,0.0,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,-267603887.04946458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220445821.7824454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3343687182.9655695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2016,0.0,0.0,0.0,0.0,0.0,449294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381899.89999999997,0.0,0.0,0.0,0.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,393036904.527084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89372145.22448486,0.0,0.0,0.0,0.0,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,-303664759.302587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776489884.6042013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127369546.8606858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2017,0.0,0.0,0.0,0.0,0.0,566941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481899.85,0.0,0.0,0.0,0.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,491643631.9408528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171582923.45383525,0.0,0.0,0.0,0.0,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,-320060708.48705864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535935166.297649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4208041551.500355,0.0,0.0,0.0,0.0,0.0,64107.142857142855,0.0,0.0,0.0
8,2018,0.0,0.0,0.0,0.0,0.0,684588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581899.7999999999,0.0,0.0,0.0,0.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,543961563.6338432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46684749.00222414,0.0,0.0,0.0,0.0,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,-497276814.6316288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280146874.753309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767525684.2556639,0.0,0.0,0.0,0.0,0.0,67684.15178571425,0.0,0.0,0.0
9,2019,0.0,0.0,0.0,0.0,0.0,802235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681899.75,0.0,0.0,0.0,0.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,624260484.063008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89002675.47404577,0.0,0.0,0.0,0.0,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,-535257808.5889722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689776720.0809325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1889799233.0984592,0.0,0.0,0.0,0.0,0.0,71261.16071428561,0.0,0.0,0.0
