,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,10,250000,212500.0,2026,False,Baglan Generation Ltd,250000,212500.0
CCGT,0,23,250000,212500.0,2026,False,Cory Energy Company Ltd,500000,425000.0
CCGT,0,30,250000,212500.0,2026,False,Barking Power,750000,637500.0
CCGT,0,28,250000,212500.0,2026,False,EDF Energy,1000000,850000.0
CCGT,0,3,250000,212500.0,2026,False,E.On UK,1250000,1062500.0
CCGT,0,12,250000,212500.0,2026,False,Derwent Cogeneration,1500000,1275000.0
CCGT,0,27,250000,212500.0,2026,False,Centrica,1750000,1487500.0
CCGT,0,13,250000,212500.0,2026,False,Corby Power Ltd,2000000,1700000.0
Hydrogen,0,6,500000,425000.0,2026,False,EDF Energy,500000,2125000.0
Biomass,0,18,14000,12320.0,2025,False,E.On UK,14000,2137320.0
Biomass,0,10,14000,12320.0,2025,False,EPR Ely Limited,28000,2149640.0
Biomass,0,30,14000,12320.0,2025,False,Sembcorp Utilities (UK) Ltd,42000,2161960.0
BECCS,0,28,500000,440000.0,2025,False,International Power/Mitsui,500000,2601960.0
