,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,14,250000,212500.0,2030,False,Corby Power Ltd,250000,212500.0
CCGT,0,2,250000,212500.0,2030,False,Centrica,500000,425000.0
CCGT,0,9,250000,212500.0,2030,False,Baglan Generation Ltd,750000,637500.0
CCGT,0,14,250000,212500.0,2030,False,Barking Power,1000000,850000.0
Hydrogen,0,25,500000,425000.0,2030,False,EDF Energy,500000,1275000.0
Biomass,0,22,14000,12320.0,2029,False,E.On UK,14000,1287320.0
Biomass,0,1,14000,12320.0,2029,False,EPR Ely Limited,28000,1299640.0
BECCS,0,20,500000,440000.0,2029,False,International Power/Mitsui,500000,1739640.0
Biomass,4.055609286497494,28,14000,12320.0,2029,False,Sembcorp Utilities (UK) Ltd,42000,1751960.0
CCGT,28.295496546527684,2,250000,212500.0,2030,False,Cory Energy Company Ltd,1250000,1964460.0
CCGT,75,28,250000,212500.0,2030,False,Derwent Cogeneration,1500000,2176960.0
CCGT,75,13,250000,212500.0,2030,False,EDF Energy,1750000,2389460.0
CCGT,75,7,250000,212500.0,2030,False,E.On UK,2000000,2601960.0
