,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2,Curtailement,Loss of load
0,31920979.071883526,10736792.731492069,1343402.7314920686,1343402.7314920686,0.0,0.0,0.0
1,32231181.073703367,11189844.526486244,1796454.526486244,1796454.526486244,0.0,0.0,0.0
2,30966511.373976346,10573408.910877675,1180018.9108776748,1180018.9108776748,0.0,0.0,0.0
3,29846204.91355778,9643286.597613718,249896.59761371836,249896.59761371836,0.0,0.0,0.0
4,28539777.252047315,8773364.613507833,0.0,0.0,0.0,98905.38649216667,0.0
5,28458050.955414016,9262793.694246266,0.0,0.0,0.0,0.0,0.0
6,29732265.33212011,11862169.224791411,2468779.2247914113,2468779.2247914113,0.0,0.0,0.0
7,29371357.23384895,12242754.835381858,2849364.835381858,2849364.835381858,0.0,0.0,0.0
8,30579951.95632393,15022995.734837838,5629605.7348378375,5629605.7348378375,0.0,0.0,0.0
9,33870479.34485896,18863465.381468028,9470075.381468028,9470075.381468028,0.0,0.0,0.0
10,37092404.36760692,22128275.417844772,12734885.417844772,12734885.417844772,0.0,0.0,0.0
11,39875274.24931756,25066496.057039488,15673106.057039488,15673106.057039488,0.0,0.0,0.0
12,41647601.455868974,27191118.406546336,17797728.406546336,17797728.406546336,0.0,0.0,0.0
13,41712624.56778889,28807946.565495357,19414556.565495357,19414556.565495357,0.0,0.0,0.0
14,41337995.99636033,27885459.15194408,18492069.15194408,18492069.15194408,0.0,0.0,0.0
15,41613002.00181984,27276985.888869938,17883595.888869938,17883595.888869938,0.0,0.0,0.0
16,45141549.772520475,28475888.09144076,19082498.09144076,19082498.09144076,0.0,0.0,0.0
17,47033781.983621486,28721740.401329998,19328350.401329998,19328350.401329998,0.0,0.0,0.0
18,45370622.0200182,26491471.97017939,17098081.97017939,17098081.97017939,0.0,0.0,0.0
19,43158643.130118296,23779568.87997683,14386178.879976831,14386178.879976831,0.0,0.0,0.0
20,40323874.06733394,19844121.329416174,10450731.329416174,10450731.329416174,0.0,0.0,0.0
21,37514159.78161965,17733839.273705162,8340449.273705162,8340449.273705162,0.0,0.0,0.0
22,34129378.70791629,15231825.766452461,5838435.7664524615,5838435.7664524615,0.0,0.0,0.0
23,31980036.760691542,13568067.698510632,4174677.698510632,4174677.698510632,0.0,0.0,0.0
24,31706820.382165607,14241584.387691922,4848194.3876919225,4848194.3876919225,0.0,0.0,0.0
25,31895924.294813465,16299919.686537143,6906529.686537143,6906529.686537143,0.0,0.0,0.0
26,31360825.84167425,17745107.21477953,8351717.21477953,8351717.21477953,0.0,0.0,0.0
27,31331595.26842585,19886046.763869934,10492656.763869934,10492656.763869934,0.0,0.0,0.0
28,31113260.782529578,20728099.363019716,11334709.363019716,11334709.363019716,0.0,0.0,0.0
29,31977650.591446765,21803027.28770663,12409637.287706628,12409637.287706628,0.0,0.0,0.0
30,35599258.962693356,25010362.321459796,15616972.321459796,15616972.321459796,0.0,0.0,0.0
31,40676430.5732484,28946702.867906306,19553312.867906306,19553312.867906306,0.0,0.0,0.0
32,44577817.28844404,30963168.0251791,21569778.0251791,21569778.0251791,0.0,0.0,0.0
33,47933367.78889901,32059397.33216015,22666007.33216015,22666007.33216015,0.0,0.0,0.0
34,49570876.43312101,32193074.463484094,22799684.463484094,22799684.463484094,0.0,0.0,0.0
35,50365470.79162876,32013764.711721607,22620374.711721607,22620374.711721607,0.0,0.0,0.0
36,51069390.7188353,30106268.806139432,20712878.806139432,20712878.806139432,0.0,0.0,0.0
37,50863583.62147407,29803349.0550487,20409959.0550487,20409959.0550487,0.0,0.0,0.0
38,50080920.10919017,28578570.812597286,19185180.812597286,19185180.812597286,0.0,0.0,0.0
39,50447197.08826205,29208102.58311784,19814712.58311784,19814712.58311784,0.0,0.0,0.0
40,53227680.80072794,35196242.71708019,25802852.71708019,25802852.71708019,0.0,0.0,0.0
41,55029238.58052776,37432077.632628724,28038687.632628724,28038687.632628724,0.0,0.0,0.0
42,53780078.98089172,37089838.23759897,27696448.23759897,27696448.23759897,0.0,0.0,0.0
