bidPrice,Capacity,indx,Type,ConstructionTime,DeRateCap,Battery,bidBus,STRIKEPriceGBP
0.0,117647,20.0,CCGT,3,99999.95,0,17,0.0
0.0,117647,43.0,CCGT,3,99999.95,0,11,0.0
0.0,250000,43.0,OCGT,2,230000.0,0,9,0.0
0.0,117647,25.0,CCGT,3,99999.95,0,27,0.0
0.0,117647,10.0,CCGT,3,99999.95,0,14,0.0
0.0,117647,1.0,CCGT,3,99999.95,0,6,0.0
0.0,117647,46.0,CCGT,3,99999.95,0,22,0.0
0.0,117647,14.0,CCGT,3,99999.95,0,15,0.0
0.0,250000,14.0,OCGT,2,230000.0,0,29,0.0
0.0,117647,0.0,CCGT,3,99999.95,0,9,0.0
0.0,250000,17.0,Biomass,2,220000.0,0,16,0.0
0.0,250000,7.0,OCGT,2,230000.0,0,7,0.0
0.0,250000,48.0,Biomass,2,220000.0,0,17,0.0
0.0,117647,31.0,CCGT,3,99999.95,0,29,0.0
0.0,117647,32.0,CCGT,3,99999.95,0,2,0.0
