,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,27,250000,212500.0,2039,False,Cory Energy Company Ltd,250000,212500.0
CCGT,0,19,250000,212500.0,2039,False,Baglan Generation Ltd,500000,425000.0
CCGT,0,18,250000,212500.0,2039,False,Centrica,750000,637500.0
CCGT,0,9,250000,212500.0,2039,False,Corby Power Ltd,1000000,850000.0
CCGT,0,27,250000,212500.0,2039,False,Barking Power,1250000,1062500.0
OCGT,0,26,500000,460000.0,2038,False,Drax Power Ltd,500000,1522500.0
OCGT,0,23,500000,460000.0,2038,False,Citigen (London) UK Ltd,1000000,1982500.0
Hydrogen,0,3,500000,425000.0,2039,False,EDF Energy,500000,2407500.0
Biomass,0,20,14000,12320.0,2038,False,EPR Ely Limited,14000,2419820.0
Biomass,0,19,14000,12320.0,2038,False,Sembcorp Utilities (UK) Ltd,28000,2432140.0
Biomass,0,30,14000,12320.0,2038,False,E.On UK,42000,2444460.0
BECCS,0,23,500000,440000.0,2038,False,International Power/Mitsui,500000,2884460.0
CCGT,75,20,250000,212500.0,2039,False,Derwent Cogeneration,1500000,3096960.0
CCGT,75,9,250000,212500.0,2039,False,EDF Energy,1750000,3309460.0
CCGT,75,23,250000,212500.0,2039,False,E.On UK,2000000,3521960.0
