,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW
Hydrogen,0.04110228909003482,13,500000,2043,EDF Energy,500000
Hydro,0.04131021414117759,1,10000,2042,Scottish and Southern Hydro Schemes: Affric/Beauly,10000
Hydro,0.04131021414117759,6,10000,2042,Tummel,20000
Hydro,0.04131021414117759,9,10000,2042,Conon,60000
Hydro,0.04131021414117759,12,10000,2042,Breadalbane,40000
Hydro,0.04131021414117759,30,10000,2042,Small Hydros,50000
Hydro,0.04131021414117759,12,10000,2042,Npower Renewables Ltd,30000
Wind Onshore,0.04206625040692144,16,30000,2044,Cold Northcott Windfarm Ltd,150000
Wind Onshore,0.04206625040692144,8,30000,2044,Fenland Windfarms Ltd,180000
Wind Onshore,0.04206625040692144,21,30000,2044,Bares of Doune Windfarm,210000
Wind Onshore,0.04206625040692144,2,30000,2044,Llangwyryfon Windfarm Ltd,240000
Wind Onshore,0.04206625040692144,17,30000,2044,Dong Energy,270000
Wind Onshore,0.04206625040692144,20,30000,2044,Infinis Windfarm,300000
Wind Onshore,0.04206625040692144,16,30000,2044,Beaufort Wind Ltd,360000
Wind Onshore,0.04206625040692144,22,30000,2044,RES-Gen Ltd,390000
Wind Onshore,0.04206625040692144,1,30000,2044,Yorkshire Windpower Ltd,120000
Wind Onshore,0.04206625040692144,10,30000,2044,Great Orton Windfarm Ltd,450000
Wind Onshore,0.04206625040692144,6,30000,2044,GDF Suez,480000
Wind Onshore,0.04206625040692144,27,30000,2044,Cemmaes Windfarm Ldt,510000
Wind Onshore,0.04206625040692144,21,30000,2044,Centrica,540000
Wind Onshore,0.04206625040692144,26,30000,2044,Npower Renewables Ltd,330000
Wind Onshore,0.04206625040692144,11,30000,2044,HG Capital,420000
Wind Onshore,0.04206625040692144,11,30000,2044,Wind,90000
Wind Onshore,0.04206625040692144,4,30000,2044,Statkraft Energy Ltd,30000
Wind Onshore,0.04206625040692144,13,30000,2044,High Hedley Hope Wind Ltd,60000
Solar,0.05122140946673716,6,100000,2041,Distributed Generation,100000
Wind Offshore,0.05280730585326542,26,50000,2045,Cemmaes Windfarm Ldt,900000
Wind Offshore,0.05280730585326542,1,50000,2045,EDF Energy Renewable,50000
Wind Offshore,0.05280730585326542,13,50000,2045,E.On UK,100000
Wind Offshore,0.05280730585326542,7,50000,2045,Cold Northcott Windfarm Ltd,150000
Wind Offshore,0.05280730585326542,11,50000,2045,Infinis Windfarm,200000
Wind Offshore,0.05280730585326542,8,50000,2045,Wind,250000
Wind Offshore,0.05280730585326542,13,50000,2045,Bares of Doune Windfarm,300000
Wind Offshore,0.05280730585326542,15,50000,2045,Distributed Generation,350000
Wind Offshore,0.05280730585326542,1,50000,2045,Fenland Windfarms Ltd,950000
Wind Offshore,0.05280730585326542,13,50000,2045,GDF Suez,400000
Wind Offshore,0.05280730585326542,27,50000,2045,High Hedley Hope Wind Ltd,500000
Wind Offshore,0.05280730585326542,19,50000,2045,RES-Gen Ltd,550000
Wind Offshore,0.05280730585326542,13,50000,2045,Talisman Energy,600000
Wind Offshore,0.05280730585326542,27,50000,2045,Npower Renewables Ltd,650000
Wind Offshore,0.05280730585326542,7,50000,2045,Kirkheaton Wind Ltd,700000
Wind Offshore,0.05280730585326542,8,50000,2045,Vattenfall Wind Power,750000
Wind Offshore,0.05280730585326542,19,50000,2045,K/S Winscales,800000
Wind Offshore,0.05280730585326542,13,50000,2045,Centrica,850000
Wind Offshore,0.05280730585326542,20,50000,2045,HG Capital,1000000
Wind Offshore,0.05280730585326542,30,50000,2045,Fred Olsen,450000
Nuclear,0.07918273109359762,27,1000000,2048,British Energy,1000000
BECCS,0.08470660219035406,18,500000,2042,International Power/Mitsui,500000
