Busbars,CCGT_Derated_Capacity_kW,OCGT_Derated_Capacity_kW,Coal_Derated_Capacity_kW,Nuclear_Derated_Capacity_kW,Wind Offshore_Derated_Capacity_kW,Wind Onshore_Derated_Capacity_kW,Solar_Derated_Capacity_kW,Hydro_Derated_Capacity_kW,Biomass_Derated_Capacity_kW,BECCS_Derated_Capacity_kW,Hydrogen_Derated_Capacity_kW,Battery_Derated_Capacity_kW,CCGT_Capacity_kW,OCGT_Capacity_kW,Coal_Capacity_kW,Nuclear_Capacity_kW,Wind Offshore_Capacity_kW,Wind Onshore_Capacity_kW,Solar_Capacity_kW,Hydro_Capacity_kW,Biomass_Capacity_kW,BECCS_Capacity_kW,Hydrogen_Capacity_kW,Battery_Capacity_kW
1,1062500.0,920000.0,0,0.0,72000.0,267920.0,0.0,189000.0,12320.0,0.0,0.0,0,1250000.0,1000000.0,0,0.0,300000.0,1576000.0,0.0,225000.0,14000.0,0,0,0
2,1428000.0,460000.0,0,0.0,0.0,559130.0000000001,0.0,0.0,0.0,0.0,0.0,0,1680000.0,500000.0,0,0.0,0.0,3289000.0,100000.0,0.0,0.0,0,0,0
3,212500.0,460000.0,0,0.0,0.0,13600.0,0.0,53760.0,0.0,0.0,0.0,0,250000.0,500000.0,0,0.0,0.0,80000.0,0.0,64000.0,0.0,0,0,0
4,850000.0,0.0,0,0.0,0.0,278290.0,0.0,53760.0,24640.0,0.0,0.0,0,1000000.0,0.0,0,0.0,0.0,1637000.0,200000.0,64000.0,28000.0,0,0,0
5,637500.0,920000.0,0,696600.0,2400.0,248710.00000000003,0.0,52080.0,0.0,0.0,0.0,0,750000.0,1000000.0,0,860000.0,10000.0,1463000.0,200000.0,62000.0,0.0,0,0,0
6,0.0,0.0,0,0.0,0.0,529380.0,0.0,41160.0,24640.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3114000.0,0.0,49000.0,28000.0,0,0,0
7,2221050.0,0.0,0,976050.0000000001,36000.0,214030.00000000003,0.0,33600.0,0.0,0.0,0.0,0,2613000.0,0.0,0,1205000.0,150000.0,1259000.0,200000.0,40000.0,0.0,0,0,0
8,637500.0,460000.0,0,0.0,72000.0,112880.00000000001,0.0,25200.0,12320.0,0.0,0.0,0,750000.0,500000.0,0,0.0,300000.0,664000.0,0.0,30000.0,14000.0,0,0,0
9,212500.0,0.0,0,0.0,79200.0,92140.0,0.0,55440.0,38720.0,0.0,0.0,0,250000.0,0.0,0,0.0,330000.0,542000.0,300000.0,66000.0,44000.0,0,0,0
10,1700000.0,38640.0,0,963900.0000000001,62904.0,393380.00000000006,0.0,33600.0,70400.0,440000.0,0.0,0,2000000.0,42000.0,0,1190000.0,262100.0,2314000.0,0.0,40000.0,80000.0,500000,0,0
11,425000.0,0.0,0,1935900.0000000002,181728.0,114920.00000000001,0.0,0.0,24640.0,0.0,0.0,0,500000.0,0.0,0,2390000.0,757200.0,676000.0,100000.0,0.0,28000.0,0,0,0
12,212500.0,1840000.0,0,793800.0,45600.0,75310.0,0.0,43680.0,12320.0,0.0,425000.0,0,250000.0,2000000.0,0,980000.0,190000.0,443000.0,0.0,52000.0,14000.0,0,500000,0
13,260100.0,173880.0,0,0.0,98400.0,89590.0,0.0,0.0,36960.0,0.0,0.0,0,306000.0,189000.0,0,0.0,410000.0,527000.0,0.0,0.0,42000.0,0,0,0
14,472600.0,920000.0,0,0.0,0.0,192440.00000000003,0.0,0.0,24640.0,440000.0,0.0,0,556000.0,1000000.0,0,0.0,0.0,1132000.0,0.0,0.0,28000.0,500000,0,0
15,212500.0,920000.0,0,0.0,84000.0,13430.0,0.0,0.0,36960.0,0.0,0.0,0,250000.0,1000000.0,0,0.0,350000.0,79000.0,0.0,0.0,42000.0,0,0,0
16,2082500.0,460000.0,0,0.0,162960.0,119510.00000000001,0.0,0.0,24640.0,0.0,0.0,0,2450000.0,500000.0,0,0.0,679000.0,703000.0,100000.0,0.0,28000.0,0,0,0
17,1190000.0,460000.0,0,351540.0,0.0,125800.00000000001,0.0,0.0,36960.0,0.0,0.0,0,1400000.0,500000.0,0,434000.0,0.0,740000.0,0.0,0.0,42000.0,0,0,0
18,637500.0,460000.0,0,0.0,0.0,0.0,0.0,0.0,24640.0,440000.0,425000.0,0,750000.0,500000.0,0,0.0,0.0,0.0,100000.0,0.0,28000.0,500000,500000,0
19,2490500.0,460000.0,0,0.0,159360.0,143140.0,0.0,0.0,61600.0,0.0,425000.0,0,2930000.0,500000.0,0,0.0,664000.0,842000.0,0.0,0.0,70000.0,0,500000,0
20,357000.0,0.0,0,1772280.0,219360.0,93500.0,0.0,0.0,49280.0,0.0,0.0,0,420000.0,0.0,0,2188000.0,914000.0,550000.0,0.0,0.0,56000.0,0,0,0
21,0.0,475640.0,0,0.0,0.0,78370.0,0.0,0.0,33440.0,0.0,0.0,0,0.0,517000.0,0,0.0,0.0,461000.0,100000.0,0.0,38000.0,0,0,0
22,212500.0,0.0,0,0.0,0.0,575960.0000000001,0.0,0.0,24640.0,440000.0,850000.0,0,250000.0,0.0,0,0.0,0.0,3388000.0,0.0,0.0,28000.0,500000,1000000,0
23,1062500.0,460000.0,0,0.0,0.0,25500.0,0.0,0.0,36960.0,0.0,425000.0,0,1250000.0,500000.0,0,0.0,0.0,150000.0,100000.0,0.0,42000.0,0,500000,0
24,773500.0,9200.0,0,0.0,0.0,20400.0,0.0,0.0,36960.0,0.0,425000.0,0,910000.0,10000.0,0,0.0,0.0,120000.0,0.0,0.0,42000.0,0,500000,0
25,758200.0,9200.0,0,0.0,0.0,10200.0,0.0,0.0,36960.0,0.0,0.0,0,892000.0,10000.0,0,0.0,0.0,60000.0,100000.0,0.0,42000.0,0,0,0
26,1742500.0,460000.0,0,0.0,183168.0,225760.00000000003,0.0,0.0,24640.0,0.0,425000.0,0,2050000.0,500000.0,0,0.0,763200.0,1328000.0,111000.0,0.0,28000.0,0,500000,0
27,1402500.0,9200.0,0,1652400.0,256800.0,10200.0,0.0,0.0,12320.0,0.0,0.0,0,1650000.0,10000.0,0,2040000.0,1070000.0,60000.0,200000.0,0.0,14000.0,0,0,0
28,1140700.0,62560.0,0,0.0,36000.0,15300.0,0.0,0.0,24640.0,0.0,425000.0,0,1342000.0,68000.0,0,0.0,150000.0,90000.0,0.0,0.0,28000.0,0,500000,0
29,1194250.0,9200.0,0,1506600.0,0.0,276250.00000000006,0.0,0.0,24640.0,0.0,0.0,0,1405000.0,10000.0,0,1860000.0,0.0,1625000.0,100000.0,0.0,28000.0,0,0,0
