,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW
Hydrogen,0.041054662174194095,20,500000,2049,EDF Energy,500000
Hydro,0.04131021414117759,1,10000,2048,Shin,10000
Hydro,0.04131021414117759,3,10000,2048,Npower Renewables Ltd,20000
Hydro,0.04131021414117759,6,10000,2048,Lanark,60000
Hydro,0.04131021414117759,6,10000,2048,Statkraft Energy Ltd,40000
Hydro,0.04131021414117759,8,10000,2048,Scottish and Southern Hydro Schemes: Affric/Beauly,50000
Hydro,0.04131021414117759,4,10000,2048,Great Glen,30000
Wind Onshore,0.04198512153644996,20,30000,2050,Great Orton Windfarm Ltd,150000
Wind Onshore,0.04198512153644996,3,30000,2050,GDF Suez,180000
Wind Onshore,0.04198512153644996,24,30000,2050,Npower Renewables Ltd,210000
Wind Onshore,0.04198512153644996,20,30000,2050,HG Capital,240000
Wind Onshore,0.04198512153644996,2,30000,2050,Bares of Doune Windfarm,270000
Wind Onshore,0.04198512153644996,19,30000,2050,Llangwyryfon Windfarm Ltd,300000
Wind Onshore,0.04198512153644996,27,30000,2050,Centrica,360000
Wind Onshore,0.04198512153644996,3,30000,2050,RES-Gen Ltd,390000
Wind Onshore,0.04198512153644996,6,30000,2050,EDF Energy Renewable,120000
Wind Onshore,0.04198512153644996,29,30000,2050,Cemmaes Windfarm Ldt,450000
Wind Onshore,0.04198512153644996,13,30000,2050,Statkraft Energy Ltd,480000
Wind Onshore,0.04198512153644996,15,30000,2050,Infinis Windfarm,510000
Wind Onshore,0.04198512153644996,16,30000,2050,Dong Energy,540000
Wind Onshore,0.04198512153644996,8,30000,2050,Cold Northcott Windfarm Ltd,330000
Wind Onshore,0.04198512153644996,20,30000,2050,K/S Winscales,420000
Wind Onshore,0.04198512153644996,25,30000,2050,Yorkshire Windpower Ltd,90000
Wind Onshore,0.04198512153644996,22,30000,2050,Wind,30000
Wind Onshore,0.04198512153644996,26,30000,2050,Distributed Generation,60000
Solar,0.049502999928472596,26,100000,2047,Distributed Generation,100000
Wind Offshore,0.05120059957470862,12,50000,2051,Bares of Doune Windfarm,900000
Wind Offshore,0.05120059957470862,10,50000,2051,Vattenfall Wind Power,50000
Wind Offshore,0.05120059957470862,10,50000,2051,Llangwyryfon Windfarm Ltd,100000
Wind Offshore,0.05120059957470862,10,50000,2051,Statkraft Energy Ltd,150000
Wind Offshore,0.05120059957470862,27,50000,2051,Npower Renewables Ltd,200000
Wind Offshore,0.05120059957470862,11,50000,2051,Talisman Energy,250000
Wind Offshore,0.05120059957470862,30,50000,2051,RES-Gen Ltd,300000
Wind Offshore,0.05120059957470862,28,50000,2051,High Hedley Hope Wind Ltd,350000
Wind Offshore,0.05120059957470862,10,50000,2051,Infinis Windfarm,950000
Wind Offshore,0.05120059957470862,12,50000,2051,K/S Winscales,400000
Wind Offshore,0.05120059957470862,20,50000,2051,Cold Northcott Windfarm Ltd,500000
Wind Offshore,0.05120059957470862,10,50000,2051,Cemmaes Windfarm Ldt,550000
Wind Offshore,0.05120059957470862,26,50000,2051,Yorkshire Windpower Ltd,600000
Wind Offshore,0.05120059957470862,30,50000,2051,Fred Olsen,650000
Wind Offshore,0.05120059957470862,26,50000,2051,Wind,700000
Wind Offshore,0.05120059957470862,8,50000,2051,Beaufort Wind Ltd,750000
Wind Offshore,0.05120059957470862,10,50000,2051,Fenland Windfarms Ltd,800000
Wind Offshore,0.05120059957470862,28,50000,2051,GDF Suez,850000
Wind Offshore,0.05120059957470862,8,50000,2051,Kirkheaton Wind Ltd,1000000
Wind Offshore,0.05120059957470862,15,50000,2051,E.On UK,450000
Nuclear,0.07918273109359762,7,1000000,2054,British Energy,1000000
BECCS,0.08218802973452072,12,500000,2048,International Power/Mitsui,500000
