,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,12,250000,212500.0,2044,False,Centrica,250000,212500.0
CCGT,0,18,250000,212500.0,2044,False,Baglan Generation Ltd,500000,425000.0
CCGT,0,13,250000,212500.0,2044,False,Cory Energy Company Ltd,750000,637500.0
CCGT,0,30,250000,212500.0,2044,False,Corby Power Ltd,1000000,850000.0
CCGT,0,2,250000,212500.0,2044,False,Barking Power,1250000,1062500.0
OCGT,0,16,500000,460000.0,2043,False,Citigen (London) UK Ltd,500000,1522500.0
OCGT,0,3,500000,460000.0,2043,False,Drax Power Ltd,1000000,1982500.0
Hydrogen,0,22,500000,425000.0,2044,False,EDF Energy,500000,2407500.0
Biomass,0,20,14000,12320.0,2043,False,Sembcorp Utilities (UK) Ltd,14000,2419820.0
Biomass,0,2,14000,12320.0,2043,False,EPR Ely Limited,28000,2432140.0
Biomass,0,3,14000,12320.0,2043,False,E.On UK,42000,2444460.0
BECCS,0,30,500000,440000.0,2043,False,International Power/Mitsui,500000,2884460.0
CCGT,75,8,250000,212500.0,2044,False,Derwent Cogeneration,1500000,3096960.0
CCGT,75,27,250000,212500.0,2044,False,EDF Energy,1750000,3309460.0
CCGT,75,1,250000,212500.0,2044,False,E.On UK,2000000,3521960.0
