,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,15,250000,212500.0,2018,False,Rocksavage Power Co. Ltd,250000,212500.0
CCGT,0,10,250000,212500.0,2018,False,EDF Energy,500000,425000.0
CCGT,0,29,250000,212500.0,2018,False,Centrica,750000,637500.0
CCGT,0,12,250000,212500.0,2018,False,Baglan Generation Ltd,1000000,850000.0
CCGT,0,29,250000,212500.0,2018,False,RWE Npower Plc,1250000,1062500.0
CCGT,0,4,250000,212500.0,2018,False,Marchwood Power Limited,1500000,1275000.0
CCGT,0,1,250000,212500.0,2018,False,International Power/Mitsui,1750000,1487500.0
CCGT,0,21,250000,212500.0,2018,False,Thermal,2000000,1700000.0
OCGT,0,8,500000,460000.0,2017,False,RWE Npower Plc,500000,2160000.0
OCGT,0,21,500000,460000.0,2017,False,International Power/Mitsui,1000000,2620000.0
Biomass,44.981696424808945,25,14000,12320.0,2017,False,EPR Ely Limited,14000,2632320.0
Biomass,45.48394651768729,16,14000,12320.0,2017,False,E.On UK,28000,2644640.0
Biomass,46.34231626935362,29,14000,12320.0,2017,False,Sembcorp Utilities (UK) Ltd,42000,2656960.0
