,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,19,250000,212500.0,2022,False,Corby Power Ltd,250000,212500.0
CCGT,0,9,250000,212500.0,2022,False,EDF Energy,500000,425000.0
CCGT,0,16,250000,212500.0,2022,False,E.On UK,750000,637500.0
CCGT,0,2,250000,212500.0,2022,False,Baglan Generation Ltd,1000000,850000.0
CCGT,0,18,250000,212500.0,2022,False,Derwent Cogeneration,1250000,1062500.0
CCGT,0,17,250000,212500.0,2022,False,Barking Power,1500000,1275000.0
CCGT,0,11,250000,212500.0,2022,False,Cory Energy Company Ltd,1750000,1487500.0
CCGT,0,23,250000,212500.0,2022,False,Marchwood Power Limited,2000000,1700000.0
Biomass,0,19,14000,12320.0,2021,False,Sembcorp Utilities (UK) Ltd,14000,1712320.0
Biomass,0,4,14000,12320.0,2021,False,E.On UK,28000,1724640.0
Biomass,0,14,14000,12320.0,2021,False,EPR Ely Limited,42000,1736960.0
OCGT,75,14,500000,460000.0,2021,False,Citigen (London) UK Ltd,500000,2196960.0
OCGT,75,3,500000,460000.0,2021,False,Drax Power Ltd,1000000,2656960.0
