,Strike_Price_GBP/kWh,Busbar,Capacity_kW,Start_Year,Generation_Company,Cumulative_Capacity_kW
Hydrogen,0.04089380044369799,7,500000,2052,EDF Energy,500000
Hydro,0.041310214141177595,5,10000,2051,Magnox North Ltd,10000
Hydro,0.041310214141177595,10,10000,2051,Shin,20000
Hydro,0.041310214141177595,4,10000,2051,Scottish and Southern Hydro Schemes: Affric/Beauly,60000
Hydro,0.041310214141177595,12,10000,2051,Tummel,40000
Hydro,0.041310214141177595,6,10000,2051,Conon,50000
Hydro,0.041310214141177595,4,10000,2051,Statkraft Energy Ltd,30000
Wind Onshore,0.04194477772663627,8,30000,2053,Cemmaes Windfarm Ldt,150000
Wind Onshore,0.04194477772663627,9,30000,2053,Great Orton Windfarm Ltd,180000
Wind Onshore,0.04194477772663627,9,30000,2053,Beaufort Wind Ltd,210000
Wind Onshore,0.04194477772663627,30,30000,2053,Fred Olsen,240000
Wind Onshore,0.04194477772663627,5,30000,2053,Centrica,270000
Wind Onshore,0.04194477772663627,5,30000,2053,Wind,300000
Wind Onshore,0.04194477772663627,16,30000,2053,Fenland Windfarms Ltd,360000
Wind Onshore,0.04194477772663627,12,30000,2053,EDF Energy Renewable,390000
Wind Onshore,0.04194477772663627,27,30000,2053,Bares of Doune Windfarm,120000
Wind Onshore,0.04194477772663627,11,30000,2053,Yorkshire Windpower Ltd,450000
Wind Onshore,0.04194477772663627,14,30000,2053,Statkraft Energy Ltd,480000
Wind Onshore,0.04194477772663627,26,30000,2053,Infinis Windfarm,510000
Wind Onshore,0.04194477772663627,30,30000,2053,Npower Renewables Ltd,540000
Wind Onshore,0.04194477772663627,17,30000,2053,Dong Energy,330000
Wind Onshore,0.04194477772663627,3,30000,2053,HG Capital,420000
Wind Onshore,0.04194477772663627,17,30000,2053,K/S Winscales,90000
Wind Onshore,0.04194477772663627,28,30000,2053,Llangwyryfon Windfarm Ltd,30000
Wind Onshore,0.04194477772663627,29,30000,2053,E.On UK,60000
Solar,0.04909284212545991,28,100000,2050,Distributed Generation,100000
Wind Offshore,0.05042235122103267,13,50000,2054,Npower Renewables Ltd,900000
Wind Offshore,0.05042235122103267,28,50000,2054,High Hedley Hope Wind Ltd,50000
Wind Offshore,0.05042235122103267,7,50000,2054,EDF Energy Renewable,100000
Wind Offshore,0.05042235122103267,1,50000,2054,Statkraft Energy Ltd,150000
Wind Offshore,0.05042235122103267,19,50000,2054,Infinis Windfarm,200000
Wind Offshore,0.05042235122103267,20,50000,2054,E.On UK,250000
Wind Offshore,0.05042235122103267,16,50000,2054,Fred Olsen,300000
Wind Offshore,0.05042235122103267,8,50000,2054,Cemmaes Windfarm Ldt,350000
Wind Offshore,0.05042235122103267,7,50000,2054,Talisman Energy,950000
Wind Offshore,0.05042235122103267,28,50000,2054,Distributed Generation,400000
Wind Offshore,0.05042235122103267,13,50000,2054,Beaufort Wind Ltd,500000
Wind Offshore,0.05042235122103267,12,50000,2054,RES-Gen Ltd,550000
Wind Offshore,0.05042235122103267,16,50000,2054,Vattenfall Wind Power,600000
Wind Offshore,0.05042235122103267,16,50000,2054,Centrica,650000
Wind Offshore,0.05042235122103267,13,50000,2054,Llangwyryfon Windfarm Ltd,700000
Wind Offshore,0.05042235122103267,15,50000,2054,GDF Suez,750000
Wind Offshore,0.05042235122103267,7,50000,2054,Yorkshire Windpower Ltd,800000
Wind Offshore,0.05042235122103267,19,50000,2054,Fenland Windfarms Ltd,850000
Wind Offshore,0.05042235122103267,8,50000,2054,Wind,1000000
Wind Offshore,0.05042235122103267,1,50000,2054,K/S Winscales,450000
BECCS,0.07139047003780043,22,500000,2051,International Power/Mitsui,500000
Nuclear,0.07918273109359762,5,1000000,2057,British Energy,1000000
