,Wind Onshore,Wind Offshore,Solar,Hydro
0,3651176.27671579,8762061.056135623,0.0,226626.0
1,3612018.4178684214,8808952.90743675,0.0,223416.0
2,3470205.006094738,8760925.72999125,0.0,212823.0
3,3454314.5362263164,8698575.001280624,0.0,179760.0
4,3366674.3311578943,8604379.8149895,0.0,174624.0
5,3252321.265121052,8472242.835784124,0.0,169488.0
6,2947021.0510263173,8355409.130912624,34.15384615384615,176871.0
7,2703961.964368422,8366786.59727925,0.0,279270.0
8,2422848.6408789465,7871833.960792875,46.96153846153846,242034.0
9,2342121.0194368428,7118235.586771876,2787.8076923076924,326457.0
10,2300480.836294737,6952359.2503095,6630.115384615385,399966.0
11,2289306.7092315787,6723499.399295626,10971.923076923076,393867.0
12,2288763.8841789477,6264113.015435625,15838.846153846152,347001.0
13,2142195.2515894743,4772611.430955001,12829.038461538461,349569.0
14,2328588.53758421,4643528.882493375,8973.923076923076,307839.0
15,2570722.987784209,4487143.18102875,2155.9615384615386,324852.0
16,2928921.136484209,5285072.2949876245,8.538461538461538,467697.0
17,3071928.7633736855,7048030.936896,4.269230769230769,455820.0
18,3269301.4196052635,6626670.486872626,0.0,456783.0
19,3328330.343115788,7330996.858843125,0.0,388089.0
20,3538560.617621052,7990915.265645625,0.0,318432.0
21,3427225.3654578943,7863794.46855225,0.0,257763.0
22,3225356.7974052615,8037082.121875875,0.0,200946.0
23,3090340.0687736846,8157906.181175625,0.0,202230.0
24,2935454.842894738,7673928.7482900005,0.0,200625.0
25,2489016.080605263,7664122.2966795005,0.0,199983.0
26,2069716.7370789472,7374101.216022,0.0,179118.0
27,1669220.0464736843,6619360.600164374,0.0,164673.0
28,1470767.975289474,6257165.049955125,0.0,160500.0
29,1498302.4093105267,5737370.094291376,0.0,157932.0
30,1571049.0353842108,5921020.912451625,0.0,157290.0
31,1923363.0338684218,5355797.9270130005,0.0,164352.0
32,2298380.690178947,5535637.046128125,38.42307692307692,245565.0
33,2704297.929063157,6001797.350547,392.7692307692308,352458.0
34,3181816.3598052636,5284927.065450375,1502.7692307692307,329346.0
35,3376380.2631631587,5615252.800540876,2877.4615384615386,308160.0
36,3826582.123452631,6822328.099394251,4089.9230769230767,300777.0
37,3745535.408905263,7607193.470692875,4358.884615384615,281838.0
38,3781415.411336843,8125757.433136124,1951.0384615384614,282159.0
39,3688532.9099999997,8256840.921888751,234.8076923076923,306234.0
40,3005042.0804526317,7031525.484726,89.65384615384615,458709.0
41,2825320.0409999997,7508566.478284875,29.884615384615383,467697.0
42,2627751.527621053,7438694.934252376,0.0,452289.0
43,2839888.291736843,7701112.029293999,0.0,424362.0
44,3084868.9057263164,8063819.340729751,0.0,331272.0
45,3406576.7405842105,8147405.855109376,0.0,297246.0
46,3548050.8866999997,7469241.546920625,0.0,281838.0
47,3564574.7747210516,7262529.200337375,0.0,292431.0
48,3615244.5591947357,7243490.299573125,0.0,283443.0
49,3859829.0576052647,7135240.12139925,0.0,260010.0
50,3985443.9096157905,7284484.218000375,0.0,217638.0
51,3937759.6629315773,7206384.15280575,0.0,212502.0
52,3866689.1925947373,7653006.474003,0.0,202872.0
53,3717757.437157896,8092952.846948251,0.0,206724.0
54,3660704.6902578934,7821439.311367125,0.0,217959.0
55,3589354.3716,7823451.777811876,0.0,203835.0
56,3643643.845563158,8357557.605971625,140.8846153846154,258405.0
57,3789027.4323789473,8484330.313221749,5157.2307692307695,360804.0
58,3836686.3716789475,8442233.341880625,12081.923076923076,372360.0
59,3999060.7494157897,8553141.45110925,15241.153846153846,291147.0
60,3857744.6827578945,8626285.270191373,17162.30769230769,290184.0
61,3926421.588031579,8739392.569555502,13072.384615384615,274455.0
62,3929996.531131579,8789359.598677125,6587.423076923077,276702.0
63,3641563.138452633,8777216.7957015,870.9230769230769,282159.0
64,3610175.013331578,8723675.506302001,59.76923076923077,452610.0
65,3342785.9943315787,8789541.711906375,42.69230769230769,531897.0
66,3288491.385536842,8770648.040679377,4.269230769230769,504933.0
67,3336701.9524578936,8683715.483866125,0.0,375570.0
68,3366096.6626052614,8765392.114569377,0.0,323889.0
69,3308415.6323842104,8732363.92099875,0.0,316185.0
70,3077804.111021052,8605596.9768255,0.0,291147.0
71,2720181.430231579,8463748.060470376,0.0,276060.0
72,2212043.2652368424,8170988.365681875,0.0,267072.0
73,1899712.3663894732,8075245.216942126,0.0,259689.0
74,1469678.6574473686,7450354.791385876,0.0,228552.0
75,1218998.0136315795,6741895.140680624,0.0,201588.0
76,1155798.8733315794,5226919.391472749,0.0,198699.0
77,1171543.3672736846,4883072.325418126,0.0,214107.0
78,1359678.4614947368,4191089.3114985004,0.0,211539.0
79,1467903.4728157897,3118306.38260175,0.0,237219.0
80,1429882.979163158,3050959.0662405,546.4615384615385,277986.0
81,1327248.3323368416,3398246.6891894997,1536.923076923077,382311.0
82,1673879.172584211,2892919.36171275,5614.038461538461,366582.0
83,1997116.4537052633,3500368.4114145,8278.038461538461,276702.0
84,2077865.714794737,6208361.009746875,9819.23076923077,274776.0
85,2108411.7275368413,7549846.245325125,11185.384615384615,245886.0
86,2104898.7691894732,7694445.301965001,7616.307692307692,241713.0
87,2094921.0578842107,7961463.637583626,2313.9230769230767,255837.0
88,2176311.0725999996,8119887.163031249,4.269230769230769,470907.0
89,2238569.0716263163,8238394.46542725,0.0,528687.0
90,2163753.1084263157,8205533.401086001,0.0,466413.0
91,2049896.653957895,8087567.8279162515,0.0,382311.0
92,1862809.7989263155,8089601.041437751,0.0,297888.0
