,CCGT,OCGT,Coal,Nuclear,Wind Offshore,Wind Onshore,Solar,Hydro,Biomass,BECCS,Hydrogen,Battery
1,0.0,0.0,0,0,0.0,350600.0,0.0,323000,0.0,0,0,1437136.3636363593
2,2121176.0,0.0,0,0,0.0,206400.0,0.0,0,1000000.0,0,0,0.0
3,588235.0,0.0,0,0,0.0,28000.0,0.0,123000,750000.0,0,0,479045.45454545313
4,823529.0,500000.0,2304000,0,0.0,463800.0,0.0,3000,0.0,0,0,479045.45454545313
5,588235.0,0.0,0,860000,10000.0,436800.0,0.0,232000,1250000.0,0,0,718568.1818181797
6,823529.0,500000.0,0,0,0.0,939500.0,0.0,47000,0.0,0,0,239522.72727272657
7,946529.0,0.0,0,1205000,0.0,314900.0,0.0,0,0.0,0,0,958090.9090909063
8,588235.0,500000.0,0,0,4000.0,48000.0,0.0,14000,0.0,0,0,239522.72727272657
9,588235.0,750000.0,0,0,330000.0,150200.0,0.0,39000,794000.0,0,0,0.0
10,470588.0,250000.0,0,1190000,62100.0,3069900.0,0.0,0,38000.0,0,0,479045.45454545313
11,117647.0,250000.0,0,2390000,457200.0,43300.0,0.0,0,0.0,0,0,0.0
12,823529.0,0.0,0,980000,1232856.0,62000.0,0.0,42000,250000.0,0,0,239522.72727272657
13,291294.0,0.0,1980000,0,1202856.0,108000.0,0.0,0,250000.0,0,0,718568.1818181797
14,1571882.0,790000.0,3968000,0,0.0,18100.0,0.0,0,250000.0,0,0,239522.72727272657
15,470588.0,1250000.0,0,0,857142.0,19000.0,0.0,0,0.0,0,0,239522.72727272657
16,1435294.0,575000.0,3870000,0,379000.0,63000.0,0.0,0,0.0,0,0,718568.1818181797
17,1038235.0,250000.0,2000000,434000,0.0,25000.0,0.0,0,250000.0,0,0,0.0
18,823529.0,0.0,1006000,0,0.0,0.0,0.0,0,0.0,0,0,239522.72727272657
19,2032941.0,250000.0,0,0,2128284.0,104000.0,0.0,0,0.0,0,0,0.0
20,772941.0,750000.0,0,1188000,1278285.0,177100.0,0.0,0,250000.0,0,0,718568.1818181797
21,705882.0,750000.0,0,0,0.0,50000.0,111000.0,0,250000.0,0,0,958090.9090909063
22,470588.0,250000.0,0,0,0.0,27500.0,0.0,0,500000.0,0,0,718568.1818181797
23,352941.0,250000.0,0,0,0.0,0.0,0.0,0,250000.0,0,0,958090.9090909063
24,1457294.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,479045.45454545313
25,980235.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0
26,1270588.0,0.0,0,0,0.0,28100.0,0.0,0,0.0,0,0,479045.45454545313
27,1105882.0,500000.0,1940000,1040000,720000.0,60000.0,0.0,0,250000.0,0,0,718568.1818181797
28,2018235.0,0.0,0,0,0.0,0.0,0.0,0,250000.0,0,0,718568.1818181797
29,1610882.0,0.0,0,860000,563200.0,93400.0,0.0,0,0.0,0,0,0.0
30,1722647.0,1000000.0,363000,0,0.0,82100.0,0.0,0,250000.0,0,0,0.0
