,Wind Offshore,Wind Onshore,Solar,Hydro
0,2546064.682875,14707502.01094738,0.0,523852.0
1,2559690.43665,14549768.107105277,0.0,516432.0
2,2545734.78175,13978521.779684197,0.0,491946.0
3,2527617.0138749997,13914512.51257893,0.0,415520.0
4,2500245.9381,13561484.229473691,0.0,403648.0
5,2461849.801175,13100852.416263143,0.0,391776.0
6,2427900.463475,11871055.99657895,126.46153846153847,408842.0
7,2431206.50815,10891976.452105252,0.0,645540.0
8,2287384.019425,9759608.563736849,173.88461538461542,559468.0
9,2068404.6956249997,9434425.235210516,10322.423076923076,754614.0
10,2020204.6341000004,9266692.145684218,24549.346153846152,924532.0
11,1953702.930875,9221681.035894718,40625.76923076923,910434.0
12,1820215.222875,9219494.452736858,58646.538461538454,802102.0
13,1386817.2490000003,8629093.361368435,47502.11538461539,808038.0
14,1349308.663325,9379914.308052637,33227.76923076923,711578.0
15,1303866.3742499999,10355269.274052639,7982.884615384615,750904.0
16,1535727.248475,11798146.74505264,31.615384615384617,1081094.0
17,2048004.7488,12374203.555421047,15.807692307692308,1053640.0
18,1925566.551475,13169251.101315783,0.0,1055866.0
19,2130228.501375,13407028.722947387,0.0,897078.0
20,2321986.460875,14253868.741263159,0.0,736064.0
21,2285047.91755,13805393.148473699,0.0,595826.0
22,2335401.5468249996,12992235.375315804,0.0,464492.0
23,2370510.394875,12448367.137421042,0.0,467460.0
24,2229877.062,11824465.523684211,0.0,463750.0
25,2227027.5201000003,10026141.231315795,0.0,462266.0
26,2142753.6916,8337138.709736827,0.0,414036.0
27,1923442.457125,6723876.1784210475,0.0,380646.0
28,1818196.294975,5924480.582368415,0.0,371000.0
29,1667155.1677250003,6035393.535631584,0.0,365064.0
30,1720520.107675,6328428.1820526365,0.0,363580.0
31,1556278.5814,7747603.387105253,0.0,379904.0
32,1608535.9243750002,9258232.432736855,142.26923076923077,567630.0
33,1743991.9866,10893329.76978947,1454.3076923076924,814716.0
34,1535685.0479249998,12816847.767315812,5564.307692307693,761292.0
35,1631670.533825,13600581.222789496,10654.384615384615,712320.0
36,1982420.40515,15414063.855157914,15143.769230769232,695254.0
37,2210485.239425,15087595.170315808,16139.653846153848,651476.0
38,2361168.666775,15232125.362210553,7224.115384615384,652218.0
39,2399258.6822499996,14857980.299999982,869.423076923077,707868.0
40,2043208.6228000002,12104773.665157873,331.96153846153845,1060318.0
41,2181826.3770250003,11380825.529999996,110.65384615384615,1081094.0
42,2161523.223525,10584989.041263144,0.0,1045478.0
43,2237775.9332,11439508.69421053,0.0,980924.0
44,2343170.80205,12426328.447578961,0.0,765744.0
45,2367459.2281250004,13722217.298052618,0.0,687092.0
46,2170399.405875,14292097.011000011,0.0,651476.0
47,2110333.286525,14358657.784263138,0.0,675962.0
48,2104800.995375,14562763.502684217,0.0,655186.0
49,2073345.8441500003,15547987.641315775,0.0,601020.0
50,2116712.937925,16053983.66794734,0.0,503076.0
51,2094018.75485,15861904.156894732,0.0,491204.0
52,2223797.5034,15575621.324684186,0.0,468944.0
53,2351636.36635,14975701.209473662,0.0,477848.0
54,2272740.428575,14745883.932473686,0.0,503818.0
55,2273325.207625,14458473.827999992,0.0,471170.0
56,2428524.763675,14677160.214789458,521.6538461538462,597310.0
57,2465362.15965,15262787.758736841,19095.692307692305,834008.0
58,2453129.693875,15454765.327736836,44735.76923076923,860720.0
59,2485357.18215,16108834.401947381,56433.461538461546,672994.0
60,2506611.187725,15539591.457473703,63546.92307692307,670768.0
61,2539477.7129000006,15816232.63989475,48403.153846153844,634410.0
62,2553997.046575,15830633.062894717,24391.269230769227,639604.0
63,2550468.6117000002,14668778.80515791,3224.769230769231,652218.0
