,Year,Wind Onshore Capacity,Wind Offshore Capacity,Solar Capacity,Hydro Capacity,Nuclear Capacity,CCGT Capacity,Coal Capacity,OCGT Capacity,BECCS Capacity,Biomass Capacity,Hydrogen Capacity,Wind Onshore Derated Capacity,Wind Offshore Derated Capacity,Solar Derated Capacity,Hydro Derated Capacity,Nuclear Derated Capacity,CCGT Derated Capacity,Coal Derated Capacity,OCGT Derated Capacity,BECCS Derated Capacity,Biomass Derated Capacity,Hydrogen Derated Capacity,Wind Onshore Profit,Wind Offshore Profit,Solar Profit,Hydro Profit,Nuclear Profit,CCGT Profit,Coal Profit,OCGT Profit,BECCS Profit,Biomass Profit,Hydrogen Profit,Wind Onshore Revenue,Wind Offshore Revenue,Solar Revenue,Hydro Revenue,Nuclear Revenue,CCGT Revenue,Coal Revenue,OCGT Revenue,BECCS Revenue,Biomass Revenue,Hydrogen Revenue,Wind Onshore Cost,Wind Offshore Cost,Solar Cost,Hydro Cost,Nuclear Cost,CCGT Cost,Coal Cost,OCGT Cost,BECCS Cost,Biomass Cost,Hydrogen Cost,Wind Onshore Emissions,Wind Offshore Emissions,Solar Emissions,Hydro Emissions,Nuclear Emissions,CCGT Emissions,Coal Emissions,OCGT Emissions,BECCS Emissions,Biomass Emissions,Hydrogen Emissions,Wind Onshore Generation,Wind Offshore Generation,Solar Generation,Hydro Generation,Nuclear Generation,CCGT Generation,Coal Generation,OCGT Generation,BECCS Generation,Biomass Generation,Hydrogen Generation,Battery Capacity kW,Battery Discharge kWh,Battery Cost GBP,Battery Cap Subs GBP
0,2010,26000.0,284000.0,0.0,0.0,0.0,4319000.0,0.0,0.0,0.0,0.0,0.0,4420.0,68160.0,0.0,0.0,0.0,3671150.0,0.0,0.0,0.0,0.0,0.0,665639.956362934,68639.58830478218,2415.699999999522,2415.699999999522,0.0,3969709330.5443277,0.0,0.0,0.0,0.0,0.0,2696083.162916902,41355883.87078754,0.0,0.0,0.0,1200343469.406144,0.0,0.0,0.0,0.0,0.0,2030443.2065539742,41287244.2824828,-2415.699999999522,-2415.699999999522,0.0,-2769365861.1385875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11738135010.0,0.0,0.0,0.0,0.0,0.0,72122241.63847375,1096238089.1059983,0.0,0.0,0.0,32159274000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2011,26000.0,284000.0,0.0,0.0,0.0,4319000.0,0.0,0.0,0.0,0.0,0.0,4420.0,68160.0,0.0,0.0,0.0,3671150.0,0.0,0.0,0.0,0.0,0.0,1931955.850909246,68639.58830478218,2415.699999999522,2415.699999999522,0.0,4191723169.068653,0.0,0.0,0.0,0.0,0.0,3962399.0574632213,41355883.87078754,0.0,0.0,0.0,1763273146.435732,0.0,0.0,0.0,0.0,0.0,2030443.2065539742,41287244.2824828,-2415.699999999522,-2415.699999999522,0.0,-2428450022.6327014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11737596334.86222,0.0,0.0,0.0,0.0,0.0,72122241.63847375,1096238089.1059983,0.0,0.0,0.0,32157798177.704712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2012,56000.0,284000.0,0.0,0.0,0.0,4319000.0,0.0,0.0,0.0,0.0,0.0,9520.0,68160.0,0.0,0.0,0.0,3671150.0,0.0,0.0,0.0,0.0,0.0,2719193.965623812,68639.58830478218,2415.699999999522,2415.699999999522,0.0,3856083098.0517936,0.0,0.0,0.0,0.0,0.0,7098572.512134731,41355883.87078754,0.0,0.0,0.0,1476476074.2795439,0.0,0.0,0.0,0.0,0.0,4379378.546510912,41287244.2824828,-2415.699999999522,-2415.699999999522,0.0,-2379607023.7721834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11738135010.0,0.0,0.0,0.0,0.0,0.0,155340212.75978976,1096238089.1059983,0.0,0.0,0.0,32159274000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2013,86000.0,426857.0,0.0,0.0,0.0,4436647.0,0.0,0.0,0.0,0.0,0.0,14620.0,102445.68,0.0,0.0,0.0,3771149.9499999997,0.0,0.0,0.0,0.0,0.0,3388248.1833221465,109752.41868726816,2415.699999999522,2415.699999999522,0.0,3748899700.2644157,0.0,0.0,0.0,0.0,0.0,10116693.819226598,62176841.321297266,0.0,0.0,0.0,1418140392.4838827,0.0,0.0,0.0,0.0,0.0,6728445.635904463,62067088.902610004,-2415.699999999522,-2415.699999999522,0.0,-2330759307.780224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12057874850.130049,0.0,0.0,0.0,0.0,0.0,238558183.88110578,1647665147.892675,0.0,0.0,0.0,33035273562.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2014,116000.0,576857.0,0.0,0.0,0.0,4554294.0,0.0,0.0,0.0,0.0,0.0,19720.0,138445.68,0.0,0.0,0.0,3871149.9,0.0,0.0,0.0,0.0,0.0,3333229.662041587,426333.99741526827,2415.699999999522,2415.699999999522,0.0,3940591237.7427497,0.0,0.0,0.0,0.0,0.0,12410968.501571897,84311864.44147657,0.0,0.0,0.0,1333540099.2128015,0.0,0.0,0.0,0.0,0.0,9077738.839530291,83885530.44406137,-2415.699999999522,-2415.699999999522,0.0,-2607051138.5300174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12377614690.260098,0.0,0.0,0.0,0.0,0.0,321776155.0024218,2226664138.617674,0.0,0.0,0.0,33911273124.000237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2015,146000.0,576857.0,0.0,0.0,0.0,4554294.0,0.0,0.0,0.0,0.0,0.0,24820.0,138445.68,0.0,0.0,0.0,3871149.9,0.0,0.0,0.0,0.0,0.0,3666360.7871600715,-234467.61782452848,2415.699999999522,2415.699999999522,0.0,3926875886.215033,0.0,0.0,0.0,0.0,0.0,15093301.339520754,83651062.8262367,0.0,0.0,0.0,1229633316.3477888,0.0,0.0,0.0,0.0,0.0,11426940.552360687,83885530.44406137,-2415.699999999522,-2415.699999999522,0.0,-2697242569.867318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11821743849.784935,0.0,0.0,0.0,0.0,0.0,404994126.1237378,2226664138.617674,0.0,0.0,0.0,32388339314.479218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2016,176000.0,719714.0,0.0,0.0,0.0,4554294.0,0.0,0.0,0.0,0.0,0.0,29920.0,172731.36,0.0,0.0,0.0,3871149.9,0.0,0.0,0.0,0.0,0.0,5620488.517419758,1271539.182213125,2415.699999999522,2415.699999999522,0.0,4077296175.6301866,0.0,0.0,0.0,0.0,0.0,19396971.518523,105935500.4818328,0.0,0.0,0.0,1324053507.1949244,0.0,0.0,0.0,0.0,0.0,13776483.001103194,104663961.29961959,-2415.699999999522,-2415.699999999522,0.0,-2753242668.435177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11978311890.992945,0.0,0.0,0.0,0.0,0.0,488212097.2450538,2778091197.4043503,0.0,0.0,0.0,32817292852.035423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2017,206000.0,719714.0,0.0,0.0,0.0,4442941.0,0.0,0.0,0.0,0.0,0.0,35020.0,172731.36,0.0,0.0,0.0,3776499.85,0.0,0.0,0.0,0.0,0.0,6851063.28677411,1547324.3897158576,2415.699999999522,2415.699999999522,0.0,3744658438.3559175,0.0,0.0,0.0,0.0,0.0,22977328.10309079,106211285.68933551,0.0,0.0,0.0,778887213.0920321,0.0,0.0,0.0,0.0,0.0,16126264.816316674,104663961.29961959,-2415.699999999522,-2415.699999999522,0.0,-2965771225.2638636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6479088073.424784,0.0,0.0,0.0,0.0,0.0,571430068.3663698,2778091197.4043503,0.0,0.0,0.0,17750926228.561005,0.0,0.0,0.0,0.0,0.0,64107.142857142855,0.0,0.0,0.0
8,2018,236000.0,719714.0,0.0,0.0,0.0,4560588.0,0.0,0.0,0.0,0.0,0.0,40120.0,172731.36,0.0,0.0,0.0,3876499.8,0.0,0.0,0.0,0.0,0.0,7531396.642496657,1275829.8346461516,2415.699999999522,2415.699999999522,0.0,3683887202.559296,0.0,0.0,0.0,0.0,0.0,26007435.724908,105939791.13426572,0.0,0.0,0.0,468101471.83522177,0.0,0.0,0.0,0.0,0.0,18476039.082411326,104663961.29961959,-2415.699999999522,-2415.699999999522,0.0,-3215785730.7240715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3432631131.4013143,0.0,0.0,0.0,0.0,0.0,654648039.4876859,2778091197.4043503,0.0,0.0,0.0,9404468853.154306,0.0,0.0,0.0,0.0,0.0,67684.15178571425,0.0,0.0,0.0
9,2019,266000.0,862571.0,0.0,0.0,0.0,4013235.0,0.0,0.0,0.0,0.0,0.0,45220.0,207017.03999999998,0.0,0.0,0.0,3411249.75,0.0,0.0,0.0,0.0,0.0,8838418.135422707,1513490.0463263006,2415.699999999522,2415.699999999522,0.0,3288673136.693608,0.0,0.0,0.0,0.0,0.0,29664163.064252026,126958160.42337921,0.0,0.0,0.0,1224186692.3848124,0.0,0.0,0.0,0.0,0.0,20825744.928829376,125444670.37705296,-2415.699999999522,-2415.699999999522,0.0,-2064486444.3087134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10825275339.562748,0.0,0.0,0.0,0.0,0.0,737866010.6090019,3329518256.1910267,0.0,0.0,0.0,29658288601.541683,0.0,0.0,0.0,0.0,0.0,71261.16071428561,0.0,0.0,0.0
