,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,10,250000,212500.0,2028,False,Cory Energy Company Ltd,250000,212500.0
CCGT,0,14,250000,212500.0,2028,False,Centrica,500000,425000.0
CCGT,0,21,250000,212500.0,2028,False,Corby Power Ltd,750000,637500.0
CCGT,0,27,250000,212500.0,2028,False,Baglan Generation Ltd,1000000,850000.0
CCGT,0,3,250000,212500.0,2028,False,Barking Power,1250000,1062500.0
Biomass,0,1,14000,12320.0,2027,False,Sembcorp Utilities (UK) Ltd,14000,1074820.0
Biomass,0,29,14000,12320.0,2027,False,E.On UK,28000,1087140.0
Biomass,0,26,14000,12320.0,2027,False,EPR Ely Limited,42000,1099460.0
CCGT,33.77317551202941,8,250000,212500.0,2028,False,Derwent Cogeneration,1500000,1311960.0
CCGT,75,21,250000,212500.0,2028,False,EDF Energy,1750000,1524460.0
CCGT,75,13,250000,212500.0,2028,False,E.On UK,2000000,1736960.0
