bidPrice,Capacity,indx,Type,ConstructionTime,DeRateCap,Battery,bidBus,STRIKEPriceGBP
0.0,117647,9.0,CCGT,3,99999.95,0,8,0.0
0.0,117647,37.0,CCGT,3,99999.95,0,2,0.0
0.0,250000,33.0,OCGT,2,230000.0,0,6,0.0
0.0,250000,49.0,OCGT,2,230000.0,0,4,0.0
0.0,250000,17.0,Biomass,2,220000.0,0,25,0.0
0.0,250000,54.0,OCGT,2,230000.0,0,29,0.0
0.0,250000,54.0,Biomass,2,220000.0,0,27,0.0
0.0,250000,37.0,OCGT,2,230000.0,0,13,0.0
0.0,250000,27.0,OCGT,2,230000.0,0,6,0.0
0.0,117647,55.0,CCGT,3,99999.95,0,26,0.0
0.0,250000,13.0,OCGT,2,230000.0,0,4,0.0
0.0,117647,26.0,CCGT,3,99999.95,0,23,0.0
0.0,117647,10.0,CCGT,3,99999.95,0,7,0.0
0.0,117647,11.0,CCGT,3,99999.95,0,15,0.0
0.0,117647,52.0,CCGT,3,99999.95,0,15,0.0
0.0,117647,27.0,CCGT,3,99999.95,0,26,0.0
0.0,250000,52.0,OCGT,2,230000.0,0,18,0.0
0.0,250000,14.0,OCGT,2,230000.0,0,20,0.0
