,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,12,250000,212500.0,2040,False,Centrica,250000,212500.0
CCGT,0,7,250000,212500.0,2040,False,Barking Power,500000,425000.0
CCGT,0,13,250000,212500.0,2040,False,Baglan Generation Ltd,750000,637500.0
CCGT,0,17,250000,212500.0,2040,False,Cory Energy Company Ltd,1000000,850000.0
CCGT,0,25,250000,212500.0,2040,False,Corby Power Ltd,1250000,1062500.0
CCGT,0,10,250000,212500.0,2040,False,Derwent Cogeneration,1500000,1275000.0
OCGT,0,12,500000,460000.0,2039,False,Citigen (London) UK Ltd,500000,1735000.0
OCGT,0,29,500000,460000.0,2039,False,Drax Power Ltd,1000000,2195000.0
Biomass,0,6,14000,12320.0,2039,False,EPR Ely Limited,14000,2207320.0
Biomass,0,15,14000,12320.0,2039,False,Sembcorp Utilities (UK) Ltd,28000,2219640.0
Biomass,0,15,14000,12320.0,2039,False,E.On UK,42000,2231960.0
CCGT,75,28,250000,212500.0,2040,False,EDF Energy,1750000,2444460.0
CCGT,75,21,250000,212500.0,2040,False,E.On UK,2000000,2656960.0
