,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,16,250000,212500.0,2047,False,Cory Energy Company Ltd,250000,212500.0
CCGT,0,16,250000,212500.0,2047,False,Barking Power,500000,425000.0
CCGT,0,12,250000,212500.0,2047,False,E.On UK,750000,637500.0
CCGT,0,20,250000,212500.0,2047,False,Baglan Generation Ltd,1000000,850000.0
CCGT,0,1,250000,212500.0,2047,False,Corby Power Ltd,1250000,1062500.0
CCGT,0,20,250000,212500.0,2047,False,Centrica,1500000,1275000.0
OCGT,0,23,500000,460000.0,2046,False,Drax Power Ltd,500000,1735000.0
OCGT,0,2,500000,460000.0,2046,False,Citigen (London) UK Ltd,1000000,2195000.0
Hydrogen,0,10,500000,425000.0,2047,False,EDF Energy,500000,2620000.0
Biomass,0,29,14000,12320.0,2046,False,E.On UK,14000,2632320.0
Biomass,0,18,14000,12320.0,2046,False,Sembcorp Utilities (UK) Ltd,28000,2644640.0
Biomass,0,11,14000,12320.0,2046,False,EPR Ely Limited,42000,2656960.0
BECCS,0,18,500000,440000.0,2046,False,International Power/Mitsui,500000,3096960.0
CCGT,75,2,250000,212500.0,2047,False,Derwent Cogeneration,1750000,3309460.0
CCGT,75,28,250000,212500.0,2047,False,EDF Energy,2000000,3521960.0
