,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company,Cumulative_Capacity_kW,Cumulative_DeRated_Capacity_kW
CCGT,0,23,250000,212500.0,2029,False,Immingham CHP LLP,250000,212500.0
CCGT,0,25,250000,212500.0,2029,False,EDF Energy,500000,425000.0
CCGT,0,1,250000,212500.0,2029,False,Centrica,750000,637500.0
CCGT,0,27,250000,212500.0,2029,False,Corby Power Ltd,1000000,850000.0
CCGT,0,14,250000,212500.0,2029,False,Baglan Generation Ltd,1250000,1062500.0
CCGT,0,21,250000,212500.0,2029,False,GDF Suez,1500000,1275000.0
CCGT,0,14,250000,212500.0,2029,False,Cory Energy Company Ltd,1750000,1487500.0
CCGT,0,13,250000,212500.0,2029,False,Derwent Cogeneration,2000000,1700000.0
BECCS,0,15,500000,440000.0,2028,False,Drax Power Ltd,500000,2140000.0
Biomass,0,3,14000,12320.0,2028,False,Sembcorp Utilities (UK) Ltd,14000,2152320.0
Biomass,0,20,14000,12320.0,2028,False,E.On UK,28000,2164640.0
Biomass,0,16,14000,12320.0,2028,False,EPR Ely Limited,42000,2176960.0
OCGT,75,14,500000,460000.0,2028,False,Citigen (London) UK Ltd,500000,2636960.0
OCGT,75,9,500000,460000.0,2028,False,Drax Power Ltd,1000000,3096960.0
