,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2
0,32654428.141467262,19998764.095846936,8187534.095846936,9107266.494842358,0
1,32971757.661810435,20352487.309343092,8541257.309343092,9408940.576218273,0
2,31678029.617334448,19344666.243447475,7533436.243447475,8549416.8507598,0
3,30531981.849633534,18359781.24602215,6548551.24602215,7709454.231618791,0
4,29195536.369726725,17242609.423933934,5431379.423933934,6756670.330792947,0
5,29111932.246097855,17447438.875855997,5636208.875855997,6931359.846181488,0
6,30415424.275815174,19289004.564817943,7477774.564817943,8501945.593212303,0
7,30046223.58387745,19012906.33275511,7201676.332755111,8266474.249096024,0
8,31282588.21506064,21143808.11933896,9332578.11933896,10083821.30024444,0
9,34648722.127008565,24648934.03277094,12837704.03277094,13073180.21053548,0
10,37944677.395034455,27510014.202432595,15698784.202432595,15513262.452790992,0
11,40791489.34195921,30085466.106424224,18274236.106424224,17709745.628393956,0
12,42604539.35145837,31832333.995465573,20021103.995465573,19199568.02512894,0
13,42671056.50091492,33522057.03166751,21710827.03166751,20640654.233997382,0
14,42287820.08019278,33473147.203736033,21661917.203736033,20598941.315962844,0
15,42569144.90495856,34180011.7804061,22368781.780406103,21201793.245629683,0
16,46178768.198862106,36491960.15241447,24680730.15241447,23173546.511186156,0
17,48114478.27295544,36966871.03204284,25155641.03204284,23578575.918024536,0
18,46413103.84465397,35257859.56469269,23446629.56469269,22121039.503102858,0
19,44150300.26497615,32585000.40981082,20773770.40981082,20394865.20550615,0
20,41250396.64830165,29072965.549410798,17261735.549410798,17261735.549410798,0
21,38376123.49288564,26632237.999286354,14821007.999286354,14821007.999286354,0
22,34913570.22667959,23517893.31470882,11706663.314708821,12108568.173209136,0
23,32714842.80014799,21439958.414271872,9628728.414271872,10336394.116402192,0
24,32435348.72261496,21756095.281285483,9944865.281285483,11401450.400395732,0
25,32628797.680208784,22657360.36708126,10846130.367081258,12197914.9678434,0
26,32081404.257616814,23033061.89938692,11221831.89938692,12529929.33646064,0
27,32051502.052815255,24213897.361656636,12402667.361656636,13573455.398332985,0
28,31828150.890419863,24573743.034695163,12762513.034695163,13891457.651878057,0
29,32712401.80383765,25796482.336303346,13985252.336303346,14972014.908899423,0
30,36417223.95384415,29256864.22597098,17445634.22597098,18030018.162763823,0
31,41611053.85315321,34286804.195078366,22475574.195078366,22475574.195078366,0
32,45602082.82054615,37332532.22622143,25521302.226221427,25114961.215011697,0
33,49034733.881950624,39460012.73913308,27648782.739133082,26959010.300905667,0
34,50709867.599916,40847554.393589,29036324.393588997,28161698.130011745,0
35,51522719.37125659,41027332.20811848,29216102.208118483,28317525.228090968,0
36,52242813.28280455,40061868.45550071,28250638.455500707,27480684.40173625,0
37,52032277.35103841,39435925.64244102,27624695.64244102,26938132.183166273,0
38,51231630.56124949,38465580.30378559,26654350.303785592,26097060.115107656,0
39,51606323.49488546,39010746.42159527,27199516.421595268,26569597.03147707,0
40,54450694.445499904,43402464.07196479,31591234.071964793,30376232.56563042,0
41,56293646.65980063,45164745.44382176,33353515.443821758,31903735.79451465,0
42,55015785.091341786,44292367.62980043,32481137.62980043,31562045.689494282,0
43,51932806.751392394,40765355.17227471,28954125.17227471,28954125.17227471,0
44,47938726.538611524,36383621.96301039,24572391.963010393,24572391.963010393,0
45,42993268.013878755,30968273.939329084,19157043.939329084,19542422.46928588,0
46,37663962.819346264,25948646.969147515,14137416.969147515,15106485.599475509,0
47,33621672.92943635,22000147.364084996,10188917.364084996,11617123.724066073,0
