,Year,Wind Onshore Capacity,Wind Offshore Capacity,Solar Capacity,Hydro Capacity,Nuclear Capacity,CCGT Capacity,Coal Capacity,OCGT Capacity,BECCS Capacity,Biomass Capacity,Hydrogen Capacity,Wind Onshore Derated Capacity,Wind Offshore Derated Capacity,Solar Derated Capacity,Hydro Derated Capacity,Nuclear Derated Capacity,CCGT Derated Capacity,Coal Derated Capacity,OCGT Derated Capacity,BECCS Derated Capacity,Biomass Derated Capacity,Hydrogen Derated Capacity,Wind Onshore Profit,Wind Offshore Profit,Solar Profit,Hydro Profit,Nuclear Profit,CCGT Profit,Coal Profit,OCGT Profit,BECCS Profit,Biomass Profit,Hydrogen Profit,Wind Onshore Revenue,Wind Offshore Revenue,Solar Revenue,Hydro Revenue,Nuclear Revenue,CCGT Revenue,Coal Revenue,OCGT Revenue,BECCS Revenue,Biomass Revenue,Hydrogen Revenue,Wind Onshore Cost,Wind Offshore Cost,Solar Cost,Hydro Cost,Nuclear Cost,CCGT Cost,Coal Cost,OCGT Cost,BECCS Cost,Biomass Cost,Hydrogen Cost,Wind Onshore Emissions,Wind Offshore Emissions,Solar Emissions,Hydro Emissions,Nuclear Emissions,CCGT Emissions,Coal Emissions,OCGT Emissions,BECCS Emissions,Biomass Emissions,Hydrogen Emissions,Wind Onshore Generation,Wind Offshore Generation,Solar Generation,Hydro Generation,Nuclear Generation,CCGT Generation,Coal Generation,OCGT Generation,BECCS Generation,Biomass Generation,Hydrogen Generation,Battery Capacity kW,Battery Discharge kWh,Battery Cost GBP,Battery Cap Subs GBP
0,2010,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246400.0,0.0,0.0,33440.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,0.0,176008749.56557012,0.0,0.0,24856639.280358896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23401891.508587353,0.0,0.0,10933763.430243043,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,0.0,-152606858.0569999,0.0,0.0,-13922875.850115353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546122459.6986779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602119580.7041458,0.0,0.0,292934400.0,0.0,0.0,0.0,0.0,0.0
1,2011,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246400.0,0.0,0.0,33440.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,0.0,176008749.56557012,0.0,0.0,29984718.396660317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72370490.2651846,0.0,0.0,16061842.54654357,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,0.0,-103638259.30040039,0.0,0.0,-13922875.850115353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047000552.783572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154355626.001829,0.0,0.0,292934400.0,0.0,0.0,0.0,0.0,0.0
2,2012,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,538000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246400.0,0.0,0.0,473440.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,0.0,176008749.56557012,0.0,0.0,366183743.4440626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50804721.54406799,0.0,0.0,190409771.49041092,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,0.0,-125204028.02151372,0.0,0.0,-175773971.95368648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869786204.3864374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958970456.8759507,0.0,0.0,4147334400.0,0.0,0.0,0.0,0.0,0.0
3,2013,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,788000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246400.0,0.0,0.0,693440.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,0.0,176008749.56557012,0.0,0.0,567323656.5111753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15180600.353371542,0.0,0.0,260768011.56207508,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,0.0,-160828149.21220815,0.0,0.0,-306555644.94904506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271930414.84612536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299813026.2912082,0.0,0.0,6074534400.0,0.0,0.0,0.0,0.0,0.0
4,2014,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,788000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246400.0,0.0,0.0,693440.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,0.0,176008749.56557012,0.0,0.0,545432999.2974856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11063846.247632125,0.0,0.0,238877354.34842855,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,0.0,-164944903.31794605,0.0,0.0,-306555644.94904506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202698443.9552253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223482297.63530886,0.0,0.0,6074534400.0,0.0,0.0,0.0,0.0,0.0
5,2015,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,1038000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246400.0,0.0,0.0,913440.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,0.0,176008749.56557012,0.0,0.0,696025188.6852405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7980860.608514236,0.0,0.0,302243689.3843981,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,0.0,-168027888.95706296,0.0,0.0,-393781499.3008399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160880923.67070317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177376983.09890017,0.0,0.0,8001734400.0,0.0,0.0,0.0,0.0,0.0
6,2016,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,1288000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246400.0,0.0,0.0,1133440.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,0.0,176008749.56557012,0.0,0.0,909095082.4427251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5990285.567669238,0.0,0.0,399573280.0321023,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,0.0,-170018463.99790716,0.0,0.0,-509521802.41070396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112916449.23979981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124494431.35589845,0.0,0.0,9928934400.0,0.0,0.0,0.0,0.0,0.0
7,2017,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,1538000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246400.0,0.0,0.0,1353440.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,0.0,176008749.56557012,0.0,0.0,1070079941.9049287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4570513.425086963,0.0,0.0,483221005.2541972,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,0.0,-171438236.14048883,0.0,0.0,-586858936.6508352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74771997.19748731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82438806.17143022,0.0,0.0,11856134400.0,0.0,64107.142857142855,0.0,0.0,0.0
8,2018,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,2038000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246400.0,0.0,0.0,1793440.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,0.0,176008749.56557012,0.0,0.0,1400379875.7430272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3479193.9807830653,0.0,0.0,632220000.6814256,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,0.0,-172529555.5847923,0.0,0.0,-768159875.0615418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50930938.398890615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56153184.5632751,0.0,0.0,15710534400.0,0.0,67684.15178571425,0.0,0.0,0.0
9,2019,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,2288000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246400.0,0.0,0.0,2013440.0,0.0,2415.699999999522,2415.699999999522,2415.699999999522,2415.699999999522,0.0,0.0,176008749.56557012,0.0,0.0,1572244537.2484791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274098.9358126307,0.0,0.0,725084941.4901171,0.0,-2415.699999999522,-2415.699999999522,-2415.699999999522,-2415.699999999522,0.0,0.0,-172734650.62976182,0.0,0.0,-847159595.7583824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48826148.48279468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53832578.261074625,0.0,0.0,17637734400.0,0.0,71261.16071428561,0.0,0.0,0.0
