,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966559.5266839863,2378952.2878862843,4228900.0,9727114.410764605,10535107.503507994,12565810.89802777,13926900.0,13926900.0,13926900.0,13926900.0,12652900.0,12652900.0,12652900.0,12652900.0,12652900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,9064900.0,6009900.0,6009900.0,6009900.0,6009900.0,2844400.0,2844400.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324234.74500109255,1734661.0284636617,3595444.883649215,9111915.446010917,10292100.0,11949856.785484597,13926900.0,13926900.0,13926900.0,13926900.0,12652900.0,12652900.0,12652900.0,12652900.0,12652900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,9064900.0,6009900.0,6009900.0,6009900.0,6009900.0,2844400.0,2844400.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1772186.2462754548,3046350.5667376146,4993687.973080784,10365801.600431614,11542141.821223252,13254806.888010554,13926900.0,13926900.0,13926900.0,13926900.0,12652900.0,12652900.0,12652900.0,12652900.0,12652900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,9064900.0,6009900.0,6009900.0,6009900.0,6009900.0,2844400.0,2844400.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3181714.504703425,4557657.982997827,6386207.230351955,11839100.0,12957241.936507411,14491100.0,13926900.0,13926900.0,13926900.0,13926900.0,12652900.0,12652900.0,12652900.0,12652900.0,12652900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,9064900.0,6009900.0,6009900.0,6009900.0,6009900.0,2844400.0,2844400.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4829475.900298316,6061998.781058252,7897685.621845558,13191100.0,13191100.0,14491100.0,13926900.0,13926900.0,13926900.0,13926900.0,12652900.0,12652900.0,12652900.0,12652900.0,12652900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,9064900.0,6009900.0,6009900.0,6009900.0,6009900.0,2844400.0,2844400.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4247637.78468347,5463362.270069659,7289621.886853442,12926598.416626394,13191100.0,14491100.0,13926900.0,13926900.0,13926900.0,13926900.0,12652900.0,12652900.0,12652900.0,12652900.0,12652900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,9064900.0,6009900.0,6009900.0,6009900.0,6009900.0,2844400.0,2844400.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416804.4378079325,2684500.0,4237523.207666729,9753489.270918958,10539552.69882302,12613964.83917807,13926900.0,13926900.0,13926900.0,13926900.0,12652900.0,12652900.0,12652900.0,12652900.0,12652900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,9064900.0,6009900.0,6009900.0,6009900.0,6009900.0,2844400.0,2844400.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566500.0,2684500.0,4337134.801429763,9776206.640377007,10553808.676200487,12652683.549850695,13926900.0,13926900.0,13926900.0,13926900.0,12652900.0,12652900.0,12652900.0,12652900.0,12652900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,10416900.0,9064900.0,6009900.0,6009900.0,6009900.0,6009900.0,2844400.0,2844400.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676972.5014362931,5975142.119234119,6883196.927241027,8580595.348011449,12254864.65796747,13100708.827787153,10658839.208811045,13926900.0,12328662.464828305,10375136.184700906,12652900.0,12652900.0,12091898.44767055,10416900.0,10416900.0,8675576.318087406,10416900.0,10416900.0,10416900.0,10416900.0,9064900.0,6009900.0,6009900.0,6009900.0,6009900.0,2844400.0,2844400.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257942.552861333,3138200.0,6269351.175870359,7314879.364805572,4940190.786382422,8581109.728710048,5996900.0,4129254.5696133897,6646900.0,6646900.0,5819619.417086437,6867900.0,4691092.536616795,2216500.0,6689993.512924224,6551568.899639413,5286755.253625244,8640094.92546358,6545564.638839357,650000.0,4001152.7189121395,3476587.085609123,2851181.7726594135,1602886.9611486197,2844400.0
