Busbars,CCGT_Derated_Capacity_kW,OCGT_Derated_Capacity_kW,Coal_Derated_Capacity_kW,Nuclear_Derated_Capacity_kW,Wind Offshore_Derated_Capacity_kW,Wind Onshore_Derated_Capacity_kW,Solar_Derated_Capacity_kW,Hydro_Derated_Capacity_kW,Biomass_Derated_Capacity_kW,BECCS_Derated_Capacity_kW,Hydrogen_Derated_Capacity_kW,Battery_Derated_Capacity_kW,CCGT_Capacity_kW,OCGT_Capacity_kW,Coal_Capacity_kW,Nuclear_Capacity_kW,Wind Offshore_Capacity_kW,Wind Onshore_Capacity_kW,Solar_Capacity_kW,Hydro_Capacity_kW,Biomass_Capacity_kW,BECCS_Capacity_kW,Hydrogen_Capacity_kW,Battery_Capacity_kW
1,1062500.0,920000.0,0,0.0,96000.0,10200.0,0.0,179760.0,98560.0,0.0,0.0,0,1250000,1000000,0,0.0,400000,60000.0,400000.0,214000.0,112000,0,0,0
2,850000.0,0.0,0,0.0,0.0,25500.0,0.0,0.0,24640.0,440000.0,0.0,0,1000000,0,0,0.0,0,150000.0,0.0,0.0,28000,500000,0,0
3,425000.0,460000.0,0,0.0,0.0,15300.0,0.0,75600.0,12320.0,0.0,850000.0,0,500000,500000,0,0.0,0,90000.0,0.0,90000.0,14000,0,1000000,0
4,1275000.0,0.0,0,0.0,0.0,20400.0,0.0,58800.0,86240.0,0.0,425000.0,0,1500000,0,0,0.0,0,120000.0,100000.0,70000.0,98000,0,500000,0
5,637500.0,920000.0,0,0.0,0.0,56100.0,0.0,52080.0,61600.0,0.0,0.0,0,750000,1000000,0,0.0,0,330000.0,300000.0,62000.0,70000,0,0,0
6,425000.0,460000.0,0,0.0,0.0,45900.0,0.0,44520.0,86240.0,0.0,425000.0,0,500000,500000,0,0.0,0,270000.0,0.0,53000.0,98000,0,500000,0
7,1062500.0,0.0,0,1786050.0,108000.0,56100.0,0.0,67200.0,49280.0,0.0,0.0,0,1250000,0,0,2205000.0,450000,330000.0,100000.0,80000.0,56000,0,0,0
8,1062500.0,920000.0,0,0.0,120000.0,25500.0,0.0,75600.0,36960.0,0.0,425000.0,0,1250000,1000000,0,0.0,500000,150000.0,0.0,90000.0,42000,0,500000,0
9,1062500.0,0.0,0,0.0,0.0,10200.0,0.0,72240.0,36960.0,0.0,0.0,0,1250000,0,0,0.0,0,60000.0,100000.0,86000.0,42000,0,0,0
10,1487500.0,460000.0,0,1773900.0,84000.0,15300.0,0.0,84000.0,86240.0,440000.0,425000.0,0,1750000,500000,0,2190000.0,350000,90000.0,100000.0,100000.0,98000,500000,500000,0
